SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RMB
428,MODEL1,PARMS,RMB,1.324185207,7.850674941,0.376604786,-0.925615162,2.362570802,0.118086543,1.605046972,-3.927524399,-1
429,MODEL1,PARMS,RMB,1.367758116,-1.057358413,0.138436241,-0.580423799,2.914833149,0.778708286,-0.598800511,0.416593578,-1
430,MODEL1,PARMS,RMB,1.511868654,3.6921502,0.085550504,-0.681167391,3.110191373,0.489114197,0.703384552,-2.056943322,-1
431,MODEL1,PARMS,RMB,1.391705601,6.112185647,0.001476078,-0.034523553,0.182000941,0.332819588,1.281371052,-3.547058928,-1
432,MODEL1,PARMS,RMB,1.563718656,6.531721145,0.391052405,-1.167529062,3.376211875,0.224511864,0.504258377,-1.359628089,-1
433,MODEL1,PARMS,RMB,1.513154916,4.893826002,0.188971741,-0.111870566,-0.977839862,0.368593543,0.613786273,-1.385713476,-1
434,MODEL1,PARMS,RMB,1.413329252,-1.370569946,0.223026616,-0.243396184,-0.033620224,0.762917839,0.08985527,-1.263542314,-1
435,MODEL1,PARMS,RMB,1.449476675,6.667891181,0.102739264,-0.688373398,3.176895064,0.284226831,2.132835201,-5.92198278,-1
436,MODEL1,PARMS,RMB,1.364497734,9.171937095,0.429359238,-1.685796121,6.676430894,0.021640299,2.061294605,-5.158450916,-1
437,MODEL1,PARMS,RMB,1.36818584,8.22991316,-0.188798602,-0.20328959,1.402666253,0.287057823,1.467605396,-4.764224634,-1
438,MODEL1,PARMS,RMB,1.274304109,2.639552215,0.619783362,-1.978772167,7.201993781,0.412758026,1.124394297,-3.67322508,-1
439,MODEL1,PARMS,RMB,1.573759209,24.95584524,0.162653172,-0.511230018,1.125375814,-0.937611915,5.1990653,-12.92645584,-1
440,MODEL1,PARMS,RMB,1.336115552,3.312654121,0.298533759,-1.502099416,6.069832062,0.461374116,1.210599656,-4.089595455,-1
441,MODEL1,PARMS,RMB,1.461156358,24.54071597,0.081663459,0.151440198,-1.201300651,-0.905695676,4.484146021,-9.948934682,-1
442,MODEL1,PARMS,RMB,1.296017497,8.759369312,0.209205428,-0.743326088,3.019086945,0.128422641,0.99356462,-2.831579977,-1
443,MODEL1,PARMS,RMB,1.349110468,17.09598082,-0.084795697,0.167113068,-0.722043911,-0.364731096,3.532647737,-8.380898464,-1
444,MODEL1,PARMS,RMB,1.430610346,-1.490836323,0.273116608,-0.667471398,1.778006971,0.771948057,-0.596885968,0.915310354,-1
445,MODEL1,PARMS,RMB,1.464571921,9.741379437,0.198724126,-1.061382454,3.972355124,0.059506711,2.623472358,-7.538044093,-1
446,MODEL1,PARMS,RMB,1.250161031,8.494113384,0.145404882,-0.509185733,1.756641917,0.139668475,1.657209831,-3.970434075,-1
447,MODEL1,PARMS,RMB,1.371414403,4.241776092,0.183682536,-0.033321273,-0.950449385,0.401193084,0.680652853,-1.915800081,-1
448,MODEL1,PARMS,RMB,1.397263565,-5.734237419,0.276574052,-0.886204708,3.010238261,1.044262736,-1.435573804,3.445836656,-1
449,MODEL1,PARMS,RMB,1.476086011,9.331819812,0.151920533,-0.382504676,0.87346117,0.06687704,3.392537743,-8.916137775,-1
450,MODEL1,PARMS,RMB,1.378765372,9.21289009,0.473648174,-1.494051128,4.827842288,0.028635695,1.585108485,-4.149448494,-1
451,MODEL1,PARMS,RMB,1.359255133,11.45764619,0.278761903,-0.739708763,3.090068223,-0.112274286,2.943049594,-6.909892727,-1
452,MODEL1,PARMS,RMB,1.409750139,5.354527142,0.186808447,-0.542397161,2.053063864,0.331617851,1.832024812,-5.69129745,-1
453,MODEL1,PARMS,RMB,1.366525149,-0.231785335,0.297503653,-0.915754324,2.607755409,0.695968319,0.109277284,-1.656508741,-1
454,MODEL1,PARMS,RMB,1.395288604,8.97088228,0.509802057,-1.207062467,3.918258174,-0.028890745,3.34226247,-8.21973872,-1
455,MODEL1,PARMS,RMB,1.415597086,4.979880632,0.21819386,-0.763521015,3.310159903,0.337073381,2.77870032,-7.654768145,-1
456,MODEL1,PARMS,RMB,1.49147796,2.465400515,-0.17665839,-0.180815576,1.05412111,0.661657633,0.436744252,-2.388833395,-1
457,MODEL1,PARMS,RMB,1.571864517,3.919999537,0.60663704,-1.92738061,7.445422498,0.331740636,0.336435674,-1.158826094,-1
458,MODEL1,PARMS,RMB,1.288763869,5.17400419,0.230324625,-1.11199338,3.350333329,0.364371333,1.64806514,-5.207155388,-1
