SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB1
300,MODEL1,PARMS,RB1,0.931056498,0.004630679,0.07584748,-0.17540132,0.612336275,0.224694158,0.138336377,-0.022949555,-1
301,MODEL1,PARMS,RB1,1.428942583,-9.263660505,0.69276573,-1.37023089,4.339252033,0.648899748,-2.499112368,8.669652002,-1
302,MODEL1,PARMS,RB1,0.856513982,-1.337951001,0.165937391,-0.240167278,0.488730867,0.280101574,0.116285954,-0.427177218,-1
303,MODEL1,PARMS,RB1,1.319493335,5.839781386,0.453700471,-1.015597098,3.261347247,-0.274910569,1.020953819,-0.450805757,-1
304,MODEL1,PARMS,RB1,0.936484766,0.254755212,0.128644042,-0.434669046,1.769608968,0.203327548,0.102881593,0.00708943,-1
305,MODEL1,PARMS,RB1,0.867239384,-1.472330286,0.285557483,-0.840101127,3.068517094,0.267948842,-0.131069729,0.800034831,-1
306,MODEL1,PARMS,RB1,1.370776855,-0.154874449,0.441950433,-1.01758835,2.831702665,0.148067937,-0.940959779,4.169974121,-1
307,MODEL1,PARMS,RB1,1.018478282,1.998042252,0.00697465,-0.154567356,0.770633515,0.123341675,0.512214769,-0.759394638,-1
308,MODEL1,PARMS,RB1,0.839612072,-6.979294934,0.039846032,-0.352312298,1.221392932,0.710971203,-0.964613033,1.486901235,-1
309,MODEL1,PARMS,RB1,1.029371299,-1.481424108,0.280367138,-0.495424732,1.25881422,0.249670579,0.803419524,-1.688890152,-1
310,MODEL1,PARMS,RB1,0.921427408,-4.230295952,0.063533897,-0.404440669,1.858011537,0.509084325,0.164522799,-0.762956783,-1
311,MODEL1,PARMS,RB1,0.884137823,-3.625065349,0.314517064,-0.690315256,2.27534737,0.383002208,0.42714326,-1.097277714,-1
312,MODEL1,PARMS,RB1,0.937923107,2.062987304,0.052252768,-0.049433854,-0.197383714,0.097135598,1.193185527,-3.148613865,-1
313,MODEL1,PARMS,RB1,0.878144936,-4.39805688,0.163794528,-0.353628782,0.993384203,0.49290528,-0.9977512,2.621630983,-1
314,MODEL1,PARMS,RB1,0.878820406,-0.77070934,0.173842559,-0.251825719,0.519078505,0.232457078,0.909512055,-2.575485316,-1
315,MODEL1,PARMS,RB1,0.878714715,-6.202423724,0.11153571,-0.232381318,0.575682835,0.621582998,-0.710685266,1.786811717,-1
316,MODEL1,PARMS,RB1,1.020421385,-4.037352582,0.09633228,-0.267289079,1.510179069,0.479414988,-0.245070959,0.510800468,-1
317,MODEL1,PARMS,RB1,1.249080741,-3.655738647,0.422906061,-0.8227079,2.660990376,0.36620411,-0.824091889,2.439461937,-1
318,MODEL1,PARMS,RB1,0.947430204,0.697218033,-0.013906087,0.073840423,-0.232290391,0.202595489,1.171580294,-2.915917183,-1
319,MODEL1,PARMS,RB1,0.921308571,-3.043687594,0.164680739,-0.42666558,1.641002143,0.397928531,-0.135594802,0.382398399,-1
320,MODEL1,PARMS,RB1,0.991186823,-8.646146718,0.237216704,-0.420603065,1.060605374,0.744668633,-1.167116856,2.45388777,-1
321,MODEL1,PARMS,RB1,0.91501092,-6.003173921,0.137846736,-0.28307752,1.113489276,0.599659478,-0.263511012,0.242356636,-1
322,MODEL1,PARMS,RB1,0.990673904,-9.395773362,0.093382112,-0.026679884,-0.25356625,0.839111553,-0.923972866,1.085197495,-1
323,MODEL1,PARMS,RB1,1.14650183,-6.853928501,0.389764997,-0.753870436,2.241460178,0.582809842,-1.15768695,3.518001848,-1
324,MODEL1,PARMS,RB1,0.925393643,-8.667858973,0.081280316,-0.243920072,1.090410744,0.792007365,-1.25657144,2.357818563,-1
325,MODEL1,PARMS,RB1,0.970578486,4.462203878,0.092899228,0.070209359,-0.908641966,-0.069767293,0.481867864,-0.27187574,-1
326,MODEL1,PARMS,RB1,1.294268441,-10.4346606,0.63134671,-1.304098608,4.060130735,0.737255883,-2.15518359,7.25552175,-1
327,MODEL1,PARMS,RB1,1.025708108,6.791243339,0.278710016,-0.440921466,1.089695075,-0.286281927,1.693173595,-3.308253739,-1
328,MODEL1,PARMS,RB1,0.872024825,-6.55237235,0.105021399,-0.289624346,1.459353758,0.644761452,-1.118180014,2.542483656,-1
329,MODEL1,PARMS,RB1,0.940143715,-1.49277568,0.066125815,0.01610333,-0.082495866,0.31086988,0.562328456,-1.354333583,-1
