SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sRB4
626,MODEL1,PARMS,sRB4,0.550096963,1.395977407,0.116826663,-0.011615594,-0.469548402,0.04534275,0.215222105,-0.796197126,-1
627,MODEL1,PARMS,sRB4,0.511147357,3.030695902,0.055843245,0.047293817,-0.528246345,-0.04507976,0.800837194,-2.159955369,-1
628,MODEL1,PARMS,sRB4,0.524561462,6.536800894,0.019765327,-0.052508158,0.092845986,-0.253208937,1.29762977,-3.096820009,-1
629,MODEL1,PARMS,sRB4,0.551880972,3.810055817,0.091944726,-0.002235305,-0.405221838,-0.107155061,1.042706811,-2.59131428,-1
630,MODEL1,PARMS,sRB4,0.528099877,7.332582902,0.016259186,0.17214902,-0.833763973,-0.312450998,0.817731398,-1.370017804,-1
631,MODEL1,PARMS,sRB4,0.543623064,-0.067915314,0.037818532,-0.203756984,0.938101052,0.175329176,0.053432056,-0.455747739,-1
632,MODEL1,PARMS,sRB4,0.512528829,5.834196062,0.083277234,-0.155831967,0.342411353,-0.225875564,1.024510933,-2.303026072,-1
633,MODEL1,PARMS,sRB4,0.578260941,-5.021138722,0.012130651,0.05724993,-0.376042615,0.493047968,-0.267314157,-0.198308256,-1
634,MODEL1,PARMS,sRB4,0.542877723,1.30543217,0.017924203,0.085335677,-0.662360885,0.084710017,0.361778071,-1.260909077,-1
635,MODEL1,PARMS,sRB4,0.530805966,5.275533521,-0.012820966,0.120685107,-0.788382939,-0.161897693,0.891385149,-1.991260101,-1
636,MODEL1,PARMS,sRB4,0.545693313,-0.567038163,0.03219135,0.084040846,-0.506401765,0.205428792,-0.293715651,0.550702177,-1
637,MODEL1,PARMS,sRB4,0.506358594,-5.792373035,0.09297514,-0.255217214,0.746475199,0.540788235,-1.403991051,2.610549726,-1
638,MODEL1,PARMS,sRB4,0.496656742,5.876057294,0.076959294,-0.214373823,0.805576676,-0.230771974,1.14501582,-2.662200575,-1
639,MODEL1,PARMS,sRB4,0.513455549,-0.120699053,0.078438611,-0.215864943,0.667485623,0.163707932,0.175847898,-0.885151201,-1
640,MODEL1,PARMS,sRB4,0.51383363,2.988817627,0.148145919,-0.448811082,1.45077804,-0.057360221,0.757040148,-1.98231009,-1
641,MODEL1,PARMS,sRB4,0.513636655,3.247942494,0.090808144,-0.165752369,0.363165667,-0.062385801,0.936475739,-2.49808826,-1
642,MODEL1,PARMS,sRB4,0.519017423,4.856604749,-0.017786969,0.280097183,-1.592625386,-0.140449696,0.849801648,-2.139111253,-1
643,MODEL1,PARMS,sRB4,0.53231299,5.124276698,0.105027669,-0.158229763,0.252175506,-0.200514762,1.486157849,-3.816225994,-1
644,MODEL1,PARMS,sRB4,0.491904353,-1.013947216,-1.15088E-05,-0.06505488,0.265551298,0.250484398,-0.485401192,0.785167391,-1
645,MODEL1,PARMS,sRB4,0.492673325,-3.475678322,0.086205634,-0.073408508,-0.116608846,0.378834525,-0.68117364,1.108639338,-1
646,MODEL1,PARMS,sRB4,0.512409622,1.778490399,0.189532144,-0.305436452,0.769686122,0.000474428,0.519604963,-1.262503644,-1
647,MODEL1,PARMS,sRB4,0.531472639,-1.027243515,0.051429316,-0.024054926,-0.062901093,0.229846251,-0.049895779,-0.317668548,-1
648,MODEL1,PARMS,sRB4,0.529420453,-0.485130051,0.132225404,-0.234244378,0.352400074,0.17285142,-0.114052012,-0.086922746,-1
