SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LB10
371,MODEL1,PARMS,LB10,0.991171357,8.765148792,0.19562705,-0.445590644,1.287132191,-0.344866494,1.586244688,-2.939339653,-1
372,MODEL1,PARMS,LB10,0.899842732,-1.820196129,-0.110335928,0.195605725,-0.280960288,0.440137954,-0.463994824,0.695385036,-1
373,MODEL1,PARMS,LB10,0.914043614,0.349930658,-0.138777364,0.274995141,-0.769005759,0.325650528,-0.874311555,1.89010307,-1
374,MODEL1,PARMS,LB10,0.972381402,-3.274246072,0.02404192,-0.189006209,1.135336443,0.496419905,0.041672558,-0.861819324,-1
375,MODEL1,PARMS,LB10,0.968586282,0.365093523,-0.003577288,0.143116243,-0.847816713,0.247958276,0.645039121,-1.290715823,-1
376,MODEL1,PARMS,LB10,0.876032715,1.818976825,-0.01293944,-0.041998532,0.21329654,0.174607253,0.451670183,-1.635914062,-1
377,MODEL1,PARMS,LB10,0.984440197,0.366131298,-0.325243192,0.869052838,-3.149861002,0.353787922,0.503095715,-2.295773792,-1
378,MODEL1,PARMS,LB10,0.922393932,-2.356805992,0.080511605,-0.551941574,2.445600847,0.441410221,-0.599355153,0.193157757,-1
379,MODEL1,PARMS,LB10,0.925900177,-10.34281474,0.03539846,-0.303855131,1.774196154,0.951959037,-1.332581265,2.165978265,-1
380,MODEL1,PARMS,LB10,0.916365866,-1.450950414,-0.128900958,0.415350325,-1.848411552,0.42334431,-0.101251572,-0.816222416,-1
381,MODEL1,PARMS,LB10,0.949705205,0.609835401,-0.038817235,-0.136153106,0.972071917,0.2701983,-0.759003364,2.168704826,-1
382,MODEL1,PARMS,LB10,0.931216665,-3.03922806,0.073155236,-0.575878744,1.925270034,0.483705087,-0.877547544,1.785989511,-1
383,MODEL1,PARMS,LB10,0.916383895,6.461304908,0.086742924,-0.300327187,1.425749752,-0.16934014,1.881631585,-4.544725391,-1
384,MODEL1,PARMS,LB10,0.880697574,0.988603276,-0.09085138,0.168595717,-0.454579681,0.251372186,0.08887766,-0.995384454,-1
385,MODEL1,PARMS,LB10,0.947381948,1.039867623,-0.140514175,0.211581181,-0.313213337,0.263772856,-0.233597843,0.233131125,-1
386,MODEL1,PARMS,LB10,0.957389779,-1.313022058,-0.234099358,0.339624926,-0.578458548,0.461288772,-1.044689383,2.471549557,-1
387,MODEL1,PARMS,LB10,0.918847141,-5.210364588,0.088743849,-0.147469243,0.173034476,0.611088556,-1.217251111,1.950325918,-1
388,MODEL1,PARMS,LB10,0.951395096,0.304984716,0.028922127,-0.178098549,0.681392042,0.268239683,0.036391872,-0.571489991,-1
389,MODEL1,PARMS,LB10,0.903322223,6.259494868,-0.22106646,0.699685849,-2.657124115,-0.060116401,0.632300636,-1.108379095,-1
390,MODEL1,PARMS,LB10,1.044632689,7.699055931,-0.166888617,0.353245606,-0.927133426,-0.168949335,2.583354409,-6.821805287,-1
391,MODEL1,PARMS,LB10,0.919456318,2.840353425,-0.114943957,0.115969175,0.048224822,0.143323114,0.845209656,-2.924547184,-1
392,MODEL1,PARMS,LB10,0.910257709,-7.639907319,-0.112143255,0.169909405,-0.622342253,0.835890065,-2.401873633,5.130485062,-1
393,MODEL1,PARMS,LB10,0.898300046,0.65789106,-0.111774021,0.031282155,0.081535071,0.295763905,-0.532292585,1.120410496,-1
394,MODEL1,PARMS,LB10,0.929662637,0.469268926,0.004088462,-0.062368684,0.159002522,0.257665352,-0.343052471,0.570601807,-1
395,MODEL1,PARMS,LB10,0.933270784,2.986669711,-0.156441242,0.154959837,0.153916808,0.145504211,0.473894243,-1.123685038,-1
396,MODEL1,PARMS,LB10,0.8957776,-1.545379618,0.061525478,-0.523741172,2.240471092,0.383315214,-0.885122053,2.140237351,-1
397,MODEL1,PARMS,LB10,0.954399213,2.593081159,-0.168804762,0.429769435,-1.047210054,0.160935612,0.443697384,-1.222903352,-1
398,MODEL1,PARMS,LB10,0.916186069,-1.19507555,-0.077949329,0.18761125,-0.958509786,0.405082865,-0.816674221,1.400445271,-1
399,MODEL1,PARMS,LB10,0.972884552,-5.140485808,-0.035030324,0.219091299,-0.226570814,0.626888075,-1.303391394,2.847452109,-1
400,MODEL1,PARMS,LB10,0.97709735,4.131272595,-0.170425865,0.484835701,-1.735226694,0.066990209,0.754382823,-1.976241025,-1
401,MODEL1,PARMS,LB10,0.884428041,-3.295677566,-0.19043449,0.354477713,-0.70948853,0.576530007,-1.110862821,1.662872506,-1
402,MODEL1,PARMS,LB10,0.928991124,-6.19749536,-0.200281762,0.529436496,-1.560909931,0.756329667,-1.692197454,3.444181337,-1
403,MODEL1,PARMS,LB10,0.919619365,-7.444677973,-0.1163539,-0.376966571,2.703036119,0.823936063,-1.183973308,1.898607119,-1
404,MODEL1,PARMS,LB10,1.018521063,-0.446616749,0.040213182,-0.406159587,1.099562646,0.336203641,-1.520657929,3.537976561,-1
405,MODEL1,PARMS,LB10,0.987319671,-0.592054374,0.110751066,-0.405351802,1.821047465,0.296726664,-0.134028388,0.111458598,-1
406,MODEL1,PARMS,LB10,0.87513066,-8.242055986,-0.104350559,0.416605587,-1.629936064,0.86647671,-1.959776471,3.836045648,-1
407,MODEL1,PARMS,LB10,0.889193141,-2.409620898,-0.018389092,0.132824406,-0.831339658,0.456186503,-1.228386968,2.978731792,-1
408,MODEL1,PARMS,LB10,0.99743522,6.591742138,-0.14248153,0.330862397,-1.533515634,-0.096264865,1.154701992,-2.811748312,-1
409,MODEL1,PARMS,LB10,0.930574481,3.388807852,0.130721341,-0.187663817,0.144823102,0.02779116,0.606845877,-1.915587347,-1
410,MODEL1,PARMS,LB10,0.931011274,6.942612446,-0.119068106,0.130595427,-0.200894636,-0.116685676,0.700623492,-1.482680811,-1
411,MODEL1,PARMS,LB10,0.901513239,5.817780735,0.019485142,-0.014606365,0.067753586,-0.104252965,1.596656261,-3.883304589,-1
412,MODEL1,PARMS,LB10,0.875214819,2.030981761,-0.115955136,0.453143061,-1.40070633,0.177545877,0.113836022,-0.443256048,-1
413,MODEL1,PARMS,LB10,0.913407026,3.491492063,0.046138185,-0.394484134,1.834978939,0.057269316,0.025610836,0.176144139,-1
414,MODEL1,PARMS,LB10,0.896417418,4.295016669,-0.012209396,-0.292314879,1.436361807,0.015616287,1.146328263,-2.900655178,-1
415,MODEL1,PARMS,LB10,0.977609065,8.039173553,-0.215324326,0.509160968,-1.675185273,-0.173755329,0.941902791,-2.355141991,-1
416,MODEL1,PARMS,LB10,0.936205611,-1.434512356,-0.045143454,0.324388682,-1.815270426,0.39711708,-1.186420031,2.870947622,-1
417,MODEL1,PARMS,LB10,0.97673692,-2.068674709,-0.177047946,0.219382884,-0.325503209,0.494561048,-1.846988986,4.381172665,-1
418,MODEL1,PARMS,LB10,0.947511089,3.058549395,-0.099139677,0.21093185,-0.653462734,0.132699254,-0.669931596,1.75712574,-1
419,MODEL1,PARMS,LB10,0.885214034,1.337899519,-0.022798604,-0.005455947,0.240456964,0.205000993,0.014791553,-0.304656718,-1
420,MODEL1,PARMS,LB10,0.953037181,3.034756281,-0.012734612,0.095896798,-0.043465737,0.081068592,1.342538006,-3.541244662,-1
421,MODEL1,PARMS,LB10,0.998531615,0.6261954,-0.028676899,0.334663188,-1.568925461,0.256060314,-0.713326612,1.979853255,-1
422,MODEL1,PARMS,LB10,0.982960988,-0.691350627,-0.119889549,-0.10101293,1.066707954,0.388256206,-0.580476348,0.768568565,-1
423,MODEL1,PARMS,LB10,0.940946438,0.543786139,-0.098526267,-0.048514858,0.643124033,0.306030245,-0.995066683,1.978665538,-1
424,MODEL1,PARMS,LB10,1.055825457,-0.334978375,-0.049117212,0.012781748,-0.08260542,0.335792989,-0.375757209,0.541101677,-1
425,MODEL1,PARMS,LB10,1.006127433,7.14376782,-0.126278574,0.328155448,-1.269348156,-0.133208636,0.922173347,-2.346169649,-1
426,MODEL1,PARMS,LB10,1.024963173,3.880493328,-0.188840654,0.411941196,-1.308297534,0.085230314,0.544312527,-1.240459178,-1
427,MODEL1,PARMS,LB10,1.023833939,6.780706499,0.04777343,-0.346368184,1.357574673,-0.165264228,0.822047195,-1.568095293,-1
428,MODEL1,PARMS,LB10,0.841816066,8.621197857,-0.144752153,0.368432428,-1.356072996,-0.232858476,1.040846589,-1.896696246,-1
429,MODEL1,PARMS,LB10,0.975403127,-2.279781527,-0.252078266,0.46355824,-0.855714624,0.513865321,-1.105879331,2.407554756,-1
430,MODEL1,PARMS,LB10,0.974454941,-2.16243262,-0.230654513,0.413944436,-1.250845782,0.51254713,-0.799906704,0.9350687,-1
431,MODEL1,PARMS,LB10,0.901100475,2.251272813,-0.136421659,0.288463499,-0.84384102,0.178362981,0.258141651,-0.932113679,-1
432,MODEL1,PARMS,LB10,0.918387345,-2.086735967,0.026420376,-0.259829149,0.972967154,0.437872831,-1.00195114,1.816212232,-1
433,MODEL1,PARMS,LB10,0.984015949,3.012810536,0.022689107,0.033559749,-0.607830291,0.083286577,0.469329093,-0.916913327,-1
434,MODEL1,PARMS,LB10,0.958081513,-0.768676263,-0.096649453,-0.033014437,0.334463119,0.380367897,-0.337249351,0.051795483,-1
435,MODEL1,PARMS,LB10,0.893598584,-1.48464254,-0.192350948,0.362145207,-0.968835025,0.443489999,-0.506084875,0.759117127,-1
436,MODEL1,PARMS,LB10,0.931785286,3.790073246,-0.262301447,0.554052915,-1.844163641,0.129429867,-0.539108488,1.753383143,-1
437,MODEL1,PARMS,LB10,0.912111058,3.750048527,0.016186714,-0.15337364,0.63119166,0.043285129,0.610271484,-1.573115958,-1
438,MODEL1,PARMS,LB10,0.879522586,1.155485807,-0.012198777,-0.346706077,1.763816922,0.246052978,-0.536153426,0.805833367,-1
439,MODEL1,PARMS,LB10,0.972460133,3.594067768,-0.00063925,0.14521304,-0.930323029,0.054289095,0.652484522,-2.117935874,-1
440,MODEL1,PARMS,LB10,0.957289385,1.430465737,0.148788784,-0.562264523,1.608704886,0.162891233,0.234193105,-1.035755994,-1
441,MODEL1,PARMS,LB10,0.940001702,7.84013819,-0.16392277,0.557062218,-2.166657038,-0.184355146,1.5948066,-3.801315822,-1
442,MODEL1,PARMS,LB10,0.977853465,0.340732169,-0.05711841,-0.032632742,0.376688741,0.305490372,-0.836031181,1.731865913,-1
443,MODEL1,PARMS,LB10,0.919798343,5.163237919,-0.312611692,0.765644763,-2.843681374,0.054486781,0.116511247,-0.353708591,-1
444,MODEL1,PARMS,LB10,1.020589978,-0.58793962,-0.118375755,0.279622131,-0.757778931,0.366733432,-0.728179353,1.630514075,-1
445,MODEL1,PARMS,LB10,0.989301842,0.413976445,-0.044216427,-0.108489883,0.211220642,0.292339114,-0.334830094,0.149134036,-1
446,MODEL1,PARMS,LB10,0.940857936,2.722257033,-0.37247833,0.921874903,-3.113262928,0.227964925,-0.672370272,1.624745147,-1
447,MODEL1,PARMS,LB10,0.926170953,0.163889572,-0.127303476,0.277453097,-0.769610217,0.314796632,-0.074808774,-0.28800994,-1
448,MODEL1,PARMS,LB10,0.887857526,-2.721046291,0.047120717,-0.278802528,0.830608796,0.470519661,-0.875502132,1.762289826,-1
449,MODEL1,PARMS,LB10,0.954406757,1.069908442,-0.209537302,0.475805582,-1.230020466,0.26746506,0.378018103,-0.980445471,-1
450,MODEL1,PARMS,LB10,0.958047596,-0.512546857,-0.221765222,0.226226558,-0.523903153,0.418690613,-1.359784487,2.713385537,-1
451,MODEL1,PARMS,LB10,0.896923476,2.256258862,0.184995759,-0.568478895,2.36352372,0.080054231,0.692377188,-1.768317491,-1
452,MODEL1,PARMS,LB10,0.972876854,-0.117901972,-0.129797678,0.275052472,-0.594692216,0.341662561,-0.527967056,0.916407832,-1
453,MODEL1,PARMS,LB10,0.909960636,3.176712453,-0.168947883,0.275982827,-0.855056617,0.130328911,0.123398764,-0.034863043,-1
454,MODEL1,PARMS,LB10,0.993154143,-5.926358384,-0.171195719,0.169887062,-0.415402053,0.739389825,-1.718176144,3.344990271,-1
455,MODEL1,PARMS,LB10,0.931906528,3.0015586,-0.113423936,0.167317163,-0.358032563,0.127851536,0.213384414,-0.218229227,-1
456,MODEL1,PARMS,LB10,0.94547839,-7.798172368,-0.102759967,0.082450347,-0.299784102,0.840942611,-1.987626945,3.999270707,-1
457,MODEL1,PARMS,LB10,1.03736449,-1.529191328,-0.029893282,-0.300407793,2.125757817,0.415218282,-0.071040437,-1.332619596,-1
458,MODEL1,PARMS,LB10,0.915712551,-0.626660313,0.011810668,-0.152361687,0.24473335,0.333636942,0.173683677,-1.136992849,-1
459,MODEL1,PARMS,LB10,0.870749147,2.232212976,0.124094192,-0.690889115,3.221533287,0.105475737,0.629167575,-1.522972907,-1
460,MODEL1,PARMS,LB10,0.876057811,2.02010426,-0.154463369,0.200635061,-0.362258825,0.217744697,-0.83677721,2.175467113,-1
461,MODEL1,PARMS,LB10,0.896621629,-4.62662859,-0.147817585,0.302000698,-1.04748711,0.626144816,0.037504927,-1.153987623,-1
462,MODEL1,PARMS,LB10,0.962643597,-5.299938035,0.026876346,-0.20930365,1.461511169,0.633411885,-0.854950297,1.572536322,-1
463,MODEL1,PARMS,LB10,0.904612754,-2.716934376,-0.030647546,-0.316933061,1.772267503,0.49343018,-0.98451036,1.541218246,-1
464,MODEL1,PARMS,LB10,0.912711576,-5.276002408,-0.247170879,0.469803728,-0.914050881,0.710009403,-0.813559889,1.002891193,-1
465,MODEL1,PARMS,LB10,0.912706459,4.191723598,-0.141821145,0.110239327,-0.145724169,0.063365248,0.834764371,-2.304674052,-1
466,MODEL1,PARMS,LB10,0.934095364,-4.504172364,-0.096116664,-0.026293792,0.809210235,0.626230869,-1.196620708,2.048170226,-1
467,MODEL1,PARMS,LB10,0.981996136,6.583155457,0.017865327,0.026999043,-0.375848418,-0.164796632,2.051831121,-4.746013789,-1
