SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB4_5
595,MODEL1,PARMS,RB4_5,0.885065379,3.793725422,-0.068110618,0.031850604,-0.205089552,0.12416895,-0.078233816,0.358489313,-1
596,MODEL1,PARMS,RB4_5,0.880029683,5.304749936,0.052900305,-0.025254535,-0.186018214,-0.010895306,0.434098903,-1.185844398,-1
597,MODEL1,PARMS,RB4_5,0.936366761,-3.771335547,-0.029219195,0.030728061,-0.67646019,0.626996399,-2.143201979,4.694904587,-1
598,MODEL1,PARMS,RB4_5,0.949219263,9.429246593,0.074216529,-0.136010675,-0.180189706,-0.285104555,1.211023122,-3.012113128,-1
599,MODEL1,PARMS,RB4_5,0.950769103,12.13507077,0.013566248,-0.302790305,1.233640168,-0.435270613,1.18514788,-2.308439412,-1
600,MODEL1,PARMS,RB4_5,0.859601824,6.004814837,-0.027495699,-0.001711288,-0.284899857,-0.021153283,-0.290822423,1.155505474,-1
601,MODEL1,PARMS,RB4_5,0.911325986,9.066340036,0.131637367,-0.61579812,2.1020809,-0.270722569,0.741602229,-1.221010148,-1
602,MODEL1,PARMS,RB4_5,0.975319995,6.95385353,-0.099636809,0.337759075,-1.693929853,-0.065160373,-0.477420711,1.737203746,-1
603,MODEL1,PARMS,RB4_5,0.852016358,6.104168569,0.06566785,-0.312968804,1.287779143,-0.075017701,0.458147263,-0.638273438,-1
604,MODEL1,PARMS,RB4_5,0.896306023,4.904335796,0.122908749,-0.576032894,2.227272373,-0.016526675,0.905369963,-1.980892781,-1
605,MODEL1,PARMS,RB4_5,0.872632994,-0.202459901,0.080924753,-0.372511203,0.817389298,0.358211157,-1.485599567,3.704200963,-1
606,MODEL1,PARMS,RB4_5,0.881795553,-0.798753178,-0.044555379,0.108436517,-0.574594457,0.415230363,0.104533203,-1.291790014,-1
607,MODEL1,PARMS,RB4_5,0.89964519,0.126274888,-0.014370979,-0.266821673,0.825669551,0.360480903,-0.712413157,0.890730131,-1
608,MODEL1,PARMS,RB4_5,0.952982371,5.956024265,-0.032594836,0.016359512,-0.632635029,-0.015935009,-0.018344769,0.146622654,-1
609,MODEL1,PARMS,RB4_5,0.834914693,4.60227808,0.061545563,-0.356410825,1.110870409,0.027168758,0.643177524,-1.580768943,-1
610,MODEL1,PARMS,RB4_5,0.899704024,8.299473719,0.031728428,0.073853909,-1.096942499,-0.188066076,-0.030129669,0.590972173,-1
611,MODEL1,PARMS,RB4_5,0.928183707,3.061385384,-0.149279057,0.199693287,-0.794172262,0.193437836,0.130233584,-0.688815223,-1
612,MODEL1,PARMS,RB4_5,0.832562674,9.794628836,0.032060365,-0.142595144,0.387088411,-0.305739169,0.951965003,-2.036082037,-1
613,MODEL1,PARMS,RB4_5,0.883281167,3.272608164,-0.10143013,0.178389161,-1.128707848,0.177541558,-0.82565309,2.093335828,-1
614,MODEL1,PARMS,RB4_5,0.941594174,7.695587617,-0.128977161,0.132879664,-0.258310981,-0.111283885,0.681402296,-2.023165575,-1
615,MODEL1,PARMS,RB4_5,0.926962133,5.838256052,0.021473413,0.15632202,-1.371738225,-0.048569714,-0.319367474,1.375007936,-1
616,MODEL1,PARMS,RB4_5,0.882965689,8.379181813,-0.043603458,-0.08135766,0.068436724,-0.178795031,1.081470659,-2.445562496,-1
617,MODEL1,PARMS,RB4_5,0.854979406,8.580601108,0.058112446,-0.45435909,1.338892986,-0.206916546,0.617934203,-1.352353436,-1
618,MODEL1,PARMS,RB4_5,0.889075189,-7.948105678,-0.081721694,0.201125068,-0.91094231,0.902651095,-3.331725712,7.391186977,-1
619,MODEL1,PARMS,RB4_5,0.939143768,-0.161628238,0.02505652,-0.254935195,1.062182452,0.366946085,-1.213887443,2.482256304,-1
620,MODEL1,PARMS,RB4_5,0.897476714,5.316601797,-0.133661211,0.111002502,-0.515216573,0.065324146,-1.268634051,3.446333036,-1
621,MODEL1,PARMS,RB4_5,0.967210024,8.724400163,0.088062353,-0.632033409,2.124446583,-0.230767501,0.516517663,-0.783061025,-1
622,MODEL1,PARMS,RB4_5,0.863582353,4.331443088,0.078559005,-0.460887981,1.791550694,0.04432414,0.390127716,-0.882331576,-1
623,MODEL1,PARMS,RB4_5,0.946661924,7.808844524,0.164188939,-0.458443618,0.81819871,-0.209568605,1.572341588,-3.630138935,-1
624,MODEL1,PARMS,RB4_5,0.898990562,4.622162003,0.018036573,0.06683463,-0.463713266,0.037014928,0.048021205,0.094197277,-1
625,MODEL1,PARMS,RB4_5,0.914092766,5.441313349,-0.108448402,0.179595381,-0.830303431,0.042538708,-0.344259399,0.790127162,-1
626,MODEL1,PARMS,RB4_5,0.893029783,10.7464836,0.047228361,-0.115445985,-0.33905225,-0.350001549,0.253183203,-0.238313432,-1
627,MODEL1,PARMS,RB4_5,0.90916398,5.832714345,0.004876167,0.083330885,-0.553714378,-0.052848703,1.64499231,-4.392519745,-1
628,MODEL1,PARMS,RB4_5,0.960941445,6.22343115,-0.093842964,-0.124993452,0.361877056,-0.005634624,0.159686812,-0.789913518,-1
629,MODEL1,PARMS,RB4_5,0.919955858,10.27186384,0.195595097,-0.679519772,2.393399847,-0.380068134,1.617693048,-3.363018728,-1
630,MODEL1,PARMS,RB4_5,0.864984262,6.244897938,-0.057009533,0.083394506,0.006442716,-0.031765357,-0.515065906,1.723092359,-1
631,MODEL1,PARMS,RB4_5,0.878571409,7.655332132,-0.002421185,-0.12087204,0.255138221,-0.147799325,1.467418729,-4.018743845,-1
632,MODEL1,PARMS,RB4_5,0.91591075,6.796918502,0.09882465,-0.545203904,1.70663023,-0.108678976,0.456231257,-0.605696055,-1
633,MODEL1,PARMS,RB4_5,0.890411678,2.439328247,0.052756181,-0.28161167,0.324128197,0.181862656,0.190227632,-0.787976825,-1
634,MODEL1,PARMS,RB4_5,0.900844753,7.295774184,0.106553079,-0.028731315,-0.468009652,-0.171387261,1.318373419,-2.988095677,-1
635,MODEL1,PARMS,RB4_5,0.904871715,4.838967573,-0.078734241,-0.133886534,0.522009256,0.065782909,0.526392855,-1.349152501,-1
636,MODEL1,PARMS,RB4_5,0.864798897,-4.027043659,0.216011114,-0.739856844,2.319445525,0.576920011,-2.127788322,4.925046899,-1
637,MODEL1,PARMS,RB4_5,0.889913296,0.754632561,0.121784362,-0.328117905,0.774219411,0.269175041,-0.544770107,1.140494346,-1
638,MODEL1,PARMS,RB4_5,0.850146307,3.964179874,0.029142264,-0.192363312,0.650852629,0.080931555,0.499168904,-1.645436161,-1
639,MODEL1,PARMS,RB4_5,0.935244183,1.014825655,0.023941678,-0.332473883,0.939098364,0.290042634,-0.585892119,0.651650804,-1
640,MODEL1,PARMS,RB4_5,0.889303737,7.791708431,-0.020643206,-0.084853071,0.114801022,-0.149266465,0.754656457,-1.864745987,-1
641,MODEL1,PARMS,RB4_5,0.875005919,7.713835813,0.014059848,-0.145737954,-0.12663422,-0.146134952,0.201181589,-0.087908301,-1
642,MODEL1,PARMS,RB4_5,0.89866775,3.461198675,0.010609904,-0.087351494,-0.336277247,0.129919181,0.18974887,-0.864859146,-1
643,MODEL1,PARMS,RB4_5,0.915705002,6.417755948,0.010791057,-0.285682946,0.834018248,-0.069428752,0.92747455,-2.361170747,-1
644,MODEL1,PARMS,RB4_5,0.857638836,3.354520994,-0.119086277,0.006577459,0.163930015,0.170293563,-0.493844218,1.301084083,-1
645,MODEL1,PARMS,RB4_5,0.951549058,5.573576602,0.032833536,0.069575944,-1.25036952,-0.037831232,1.071523798,-2.313402958,-1
646,MODEL1,PARMS,RB4_5,0.845652109,3.951310933,-0.036714192,0.178296042,-1.221821078,0.101012665,-0.091059602,0.451239536,-1
647,MODEL1,PARMS,RB4_5,0.944777579,5.349516297,0.047264242,-0.133030111,0.239580717,-0.012791415,-0.184073615,0.908735241,-1
648,MODEL1,PARMS,RB4_5,0.805251917,-0.798810162,-0.063723533,0.00720595,-0.328132985,0.433322781,-1.083677032,2.148294859,-1
649,MODEL1,PARMS,RB4_5,0.848484096,-1.759587805,0.066158409,-0.21983331,0.68214596,0.445889406,-0.648532765,0.93426527,-1
650,MODEL1,PARMS,RB4_5,0.827652248,13.61345539,-0.153556301,0.458114366,-2.061746843,-0.504833863,1.982158695,-4.436014476,-1
651,MODEL1,PARMS,RB4_5,0.85710228,10.97502679,0.085556784,-0.180486384,0.42121372,-0.404315605,1.746071277,-3.581077577,-1
652,MODEL1,PARMS,RB4_5,0.883134083,10.14664609,-0.166912415,0.590447214,-2.932449829,-0.261293923,0.789874324,-1.732226994,-1
653,MODEL1,PARMS,RB4_5,0.925500525,3.692484615,0.08805093,-0.457546075,1.502400797,0.091473236,0.259128678,-0.81413263,-1
654,MODEL1,PARMS,RB4_5,0.886160511,-1.550547755,0.035360265,-0.223732721,0.788386493,0.448689418,-1.088484415,2.378829583,-1
655,MODEL1,PARMS,RB4_5,0.905130174,7.629562035,0.106789427,-0.387615659,0.519480208,-0.169789384,0.35229806,-0.386288355,-1
656,MODEL1,PARMS,RB4_5,0.898972081,9.701459537,-0.14026151,0.077243554,-0.157100857,-0.238400299,1.124920664,-2.503756336,-1
657,MODEL1,PARMS,RB4_5,0.81451356,6.91026392,0.171901317,-0.639638194,2.018775691,-0.143897555,0.539752974,-1.044651312,-1
658,MODEL1,PARMS,RB4_5,0.944782753,3.463792289,0.021884355,-0.342436474,1.245348164,0.130878767,-1.084654638,3.516032553,-1
659,MODEL1,PARMS,RB4_5,0.895724679,-0.230792027,0.063928665,-0.47088164,1.502364328,0.36849135,-0.903503276,1.747724868,-1
660,MODEL1,PARMS,RB4_5,0.889612605,12.82458804,0.151814169,-0.547075721,1.439032638,-0.522816382,1.587617425,-3.113122971,-1
661,MODEL1,PARMS,RB4_5,0.981018043,3.988715836,0.021060724,-0.173465719,0.242922748,0.089443596,-0.063682889,0.235500113,-1
662,MODEL1,PARMS,RB4_5,0.846139721,7.57280997,0.015899001,0.073914282,-0.685548663,-0.150878078,0.413994038,-0.690211204,-1
663,MODEL1,PARMS,RB4_5,0.968291385,8.249406811,0.120496601,-0.460992465,1.362823948,-0.231081469,1.101009392,-1.876637673,-1
664,MODEL1,PARMS,RB4_5,0.828713261,11.7395165,0.077258667,-0.285025966,0.186572247,-0.439985659,1.384333818,-2.592565468,-1
665,MODEL1,PARMS,RB4_5,0.880597869,-4.615121479,0.112977256,-0.36355814,1.346156636,0.624566902,-1.517571209,2.951690725,-1
666,MODEL1,PARMS,RB4_5,0.846829653,0.746452896,0.126114205,-0.78143115,3.207556923,0.287947149,-0.981698408,2.334899746,-1
667,MODEL1,PARMS,RB4_5,0.854894783,8.057451635,0.098249374,-0.369614946,0.978000466,-0.196174864,0.30576406,-0.6224907,-1
668,MODEL1,PARMS,RB4_5,0.956018405,3.738495523,0.010884338,-0.13291828,0.218381193,0.114246578,-0.283296757,0.938155653,-1
669,MODEL1,PARMS,RB4_5,0.904105436,10.27022003,0.033401821,-0.209997846,0.153930536,-0.318706742,0.843863665,-1.750223349,-1
670,MODEL1,PARMS,RB4_5,0.940088688,7.660689222,-0.005171372,0.004878036,-0.760728884,-0.140946717,0.669888138,-1.621910981,-1
671,MODEL1,PARMS,RB4_5,0.896264132,9.527485326,-0.058048588,0.07775774,-0.444451354,-0.2442887,0.465740821,-0.428844688,-1
672,MODEL1,PARMS,RB4_5,0.828211932,-6.516023575,0.06959153,-0.141821931,0.440171733,0.751259778,-1.738493175,3.430121048,-1
673,MODEL1,PARMS,RB4_5,0.83781373,0.049458675,-0.073623342,0.15160754,-0.928498026,0.38560218,-1.484852948,3.551222567,-1
674,MODEL1,PARMS,RB4_5,0.848666728,6.169222289,0.049128237,-0.30927211,0.491954022,-0.04858703,0.414805767,-1.123792205,-1
675,MODEL1,PARMS,RB4_5,0.935561434,1.328849904,0.151415492,-0.407900566,0.645023576,0.216351002,0.9021414,-3.328232918,-1
676,MODEL1,PARMS,RB4_5,0.897061233,-4.683275329,0.11532872,-0.289062443,0.710631935,0.623002031,-1.002537585,1.511388858,-1
677,MODEL1,PARMS,RB4_5,0.894935963,9.977518037,-0.07827006,-0.111798471,0.169923536,-0.26366846,0.569589871,-0.622920904,-1
678,MODEL1,PARMS,RB4_5,0.856709458,-0.190245835,-0.127987554,0.233871371,-0.735282298,0.391915543,-0.279848552,0.109023511,-1
