SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LLB6
359,MODEL1,PARMS,LLB6,0.973477458,8.468831085,0.267485682,-0.419316541,0.941055091,-0.138811122,0.690719789,-1.14045946,-1
360,MODEL1,PARMS,LLB6,1.024990064,5.584365325,0.203887918,-0.720051595,2.997118668,0.060784038,1.203069537,-2.668980982,-1
361,MODEL1,PARMS,LLB6,1.138023969,8.36342874,0.089647731,-0.126103351,-0.479921246,-0.084253202,1.444726809,-3.417006882,-1
362,MODEL1,PARMS,LLB6,1.068092482,0.98349263,0.163007272,-0.533868464,2.103583983,0.375498044,0.240951345,-0.80250642,-1
363,MODEL1,PARMS,LLB6,1.109619235,-15.9590084,0.310753068,-1.02565669,3.655382517,1.468792381,-4.432125933,9.676384241,-1
364,MODEL1,PARMS,LLB6,1.162471662,0.640790815,0.100458216,0.361792647,-2.326578118,0.394411821,0.739543889,-2.396815707,-1
365,MODEL1,PARMS,LLB6,1.179098545,-3.271676287,-0.0502363,-0.160058558,1.235961148,0.734463603,-0.465434079,0.116151921,-1
366,MODEL1,PARMS,LLB6,1.07910852,1.073512491,0.198585925,-0.756680182,2.981733399,0.369443361,0.090560261,-0.737431305,-1
367,MODEL1,PARMS,LLB6,0.989005259,1.165102534,0.0904481,0.206785633,-0.989210489,0.362839901,0.987619086,-2.806516704,-1
368,MODEL1,PARMS,LLB6,0.96971624,-11.04117979,0.124101284,-0.251691767,0.792354467,1.176285131,-2.247720342,4.336676381,-1
369,MODEL1,PARMS,LLB6,1.17789145,-1.243519918,0.152412445,-0.327636329,0.479324012,0.533305341,-0.831019734,1.734481184,-1
370,MODEL1,PARMS,LLB6,1.082087716,-4.049337932,0.246484256,-0.875839074,3.916740276,0.689428975,-1.394961681,2.852605714,-1
371,MODEL1,PARMS,LLB6,1.178127331,1.357103165,0.05711412,0.024507204,-0.599390899,0.378148831,0.01909309,-0.085283294,-1
372,MODEL1,PARMS,LLB6,1.066952115,-10.73464448,-0.034822074,0.008673166,0.213285643,1.189640447,-1.372148124,2.324001877,-1
373,MODEL1,PARMS,LLB6,1.017401443,-7.990299139,0.305385679,-0.571750977,1.720369044,0.921507835,-1.575214583,3.095117342,-1
374,MODEL1,PARMS,LLB6,1.065933388,4.815386692,0.300476634,-0.735223768,2.174198537,0.090738187,1.001059225,-2.442515884,-1
375,MODEL1,PARMS,LLB6,1.065771419,-16.89572431,0.029066682,0.138551808,-1.104763758,1.586561362,-3.381500586,6.952771384,-1
376,MODEL1,PARMS,LLB6,1.04576213,-1.635700045,0.280809021,-0.820208614,2.944517503,0.523589632,-1.438240385,3.101374671,-1
377,MODEL1,PARMS,LLB6,1.099016992,3.109047381,-0.17301198,0.472169877,-1.968232408,0.32474074,0.711621937,-2.339836914,-1
378,MODEL1,PARMS,LLB6,1.029629916,2.573421526,-0.012269808,-0.090823012,0.093769976,0.338563089,0.053760471,-0.993115791,-1
379,MODEL1,PARMS,LLB6,0.936154267,0.517976392,0.241507284,-0.441509204,1.166918972,0.361733911,1.25696865,-3.713366727,-1
380,MODEL1,PARMS,LLB6,1.117661322,8.604465666,-0.040707233,0.456558034,-3.022038747,-0.068859637,1.260931344,-2.993571204,-1
381,MODEL1,PARMS,LLB6,1.022174766,-7.356934798,0.549967327,-1.101197568,3.40353518,0.798103689,-1.616475979,3.733757947,-1
382,MODEL1,PARMS,LLB6,1.128338246,-13.06406629,0.24947767,-0.561609723,1.009889266,1.282654964,-3.055518469,6.327799253,-1
383,MODEL1,PARMS,LLB6,1.0867515,-2.149754874,0.257037484,-0.852176764,3.139940842,0.571373666,-0.987036844,2.027942455,-1
384,MODEL1,PARMS,LLB6,1.052534148,-0.769137986,0.163386989,-0.581175391,2.297399214,0.492602943,-0.205580301,0.031033746,-1
385,MODEL1,PARMS,LLB6,1.093771668,6.073242703,0.10241779,-0.413731181,2.044458429,0.049295709,0.979556675,-2.080627797,-1
386,MODEL1,PARMS,LLB6,1.078195603,-2.366809633,-0.021490384,-0.152737454,0.835947673,0.660254476,-0.40151512,-0.073067857,-1
387,MODEL1,PARMS,LLB6,1.062096895,-4.872461573,0.02937445,-0.223768585,0.067482095,0.817893977,-1.259099881,2.514085074,-1
388,MODEL1,PARMS,LLB6,1.112148926,-4.318497527,0.190638365,-0.105487834,-0.202065164,0.706559962,-1.299403475,2.681140521,-1
389,MODEL1,PARMS,LLB6,1.082570771,7.844296737,0.035133706,0.051226214,-1.051368621,-0.027389424,0.741590036,-1.524576068,-1
