SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RUL
588,MODEL1,PARMS,RUL,1.201119035,-1.319127773,0.328712726,-0.909275007,3.802240159,0.421914147,0.385156408,-1.68657433,-1
589,MODEL1,PARMS,RUL,1.131064266,13.59490236,0.143149673,-0.268531813,0.616976065,-0.49999346,3.230051538,-7.684069215,-1
590,MODEL1,PARMS,RUL,0.986289818,0.048410601,-0.051683155,0.265370668,-1.040513132,0.441943952,-0.307917358,0.321149133,-1
591,MODEL1,PARMS,RUL,1.120680771,0.110289016,0.109927163,-0.426560216,1.617558053,0.408729774,-0.24803724,0.647180448,-1
592,MODEL1,PARMS,RUL,1.225623751,2.862104119,0.138950852,0.277946802,-1.7512518,0.190957895,0.285849407,-0.612918847,-1
593,MODEL1,PARMS,RUL,1.102178742,-1.105264467,0.281685214,-0.248123671,0.110381903,0.409597888,0.304781932,-1.149735517,-1
594,MODEL1,PARMS,RUL,1.089920943,0.187447507,0.380980085,-0.719060978,2.271632493,0.301882849,-0.173032069,0.609694077,-1
595,MODEL1,PARMS,RUL,1.173081029,4.273973041,0.037616481,0.161890293,-0.522530524,0.143660646,0.05355957,0.089380009,-1
596,MODEL1,PARMS,RUL,1.037692616,-2.499771251,0.149249107,-0.06760387,0.003360473,0.549541335,-0.110798504,-0.550638752,-1
597,MODEL1,PARMS,RUL,1.202339312,5.809298791,0.19941993,0.028344463,-1.075772452,-0.0066284,0.503397769,-0.72624651,-1
598,MODEL1,PARMS,RUL,1.173793894,1.493343443,0.387324189,-0.471225737,0.768057828,0.202706007,1.01244375,-2.58093134,-1
599,MODEL1,PARMS,RUL,1.146897233,2.234195415,0.098846929,-0.000952669,0.106668643,0.251341435,0.604918323,-1.881966731,-1
600,MODEL1,PARMS,RUL,1.245440776,5.668268585,0.224969183,-0.353141817,1.26307819,-0.005697563,1.318505989,-3.220132775,-1
601,MODEL1,PARMS,RUL,1.075042196,6.729780177,0.49416094,-1.15723339,4.2855827,-0.15699499,1.083329282,-1.654594645,-1
602,MODEL1,PARMS,RUL,0.987751975,-9.044438091,0.001264555,0.212475839,-1.248231053,1.038058981,-3.039322957,6.870890405,-1
603,MODEL1,PARMS,RUL,0.998618046,11.31743467,0.370111378,-0.727684868,2.349293138,-0.423093571,1.952903336,-3.922544321,-1
604,MODEL1,PARMS,RUL,1.068879712,5.082203655,0.265172641,-0.427678563,1.403998724,0.005693796,1.730950064,-4.422587168,-1
605,MODEL1,PARMS,RUL,1.079575891,-8.472774763,0.42954353,-0.864358236,2.817730553,0.863668326,-1.941799014,4.522116051,-1
606,MODEL1,PARMS,RUL,1.062265564,1.195770064,0.291348197,-0.52453992,1.711507069,0.262171569,0.633216512,-1.378639329,-1
607,MODEL1,PARMS,RUL,1.15092783,0.121538496,0.147616266,-0.194477506,0.83276815,0.375592398,-0.391627314,0.761216729,-1
608,MODEL1,PARMS,RUL,1.079912068,0.684951916,0.156219374,-0.064063517,-0.224123708,0.336080739,-0.232455866,0.521150657,-1
609,MODEL1,PARMS,RUL,1.030715835,6.436082369,0.117834632,-0.245427989,0.765048115,-0.022262252,1.094026269,-2.640774796,-1
610,MODEL1,PARMS,RUL,1.164227126,3.08964186,0.178773617,-0.327548271,1.352984322,0.188286803,-0.048317474,0.197206275,-1
611,MODEL1,PARMS,RUL,1.115693995,10.13831988,0.012248471,-0.005040445,-0.41870909,-0.218278163,0.775057882,-1.273751867,-1
612,MODEL1,PARMS,RUL,1.145952493,20.61445824,0.187171217,-0.270427679,0.509879926,-0.979491507,3.43909624,-6.912263311,-1
613,MODEL1,PARMS,RUL,1.179411362,9.428698261,-0.025132532,0.260180015,-1.353722298,-0.170035944,0.828513933,-1.550891603,-1
614,MODEL1,PARMS,RUL,1.043858765,6.377231136,-0.025041934,0.247053668,-1.121753641,0.027914194,1.785294112,-5.339608188,-1
615,MODEL1,PARMS,RUL,1.106870249,1.449251138,0.34360874,-0.370955645,0.629013142,0.221895347,-0.458474115,1.599674647,-1
616,MODEL1,PARMS,RUL,1.229399029,-3.128111666,0.356705878,-0.711396948,3.0249994,0.520897404,-0.891868471,2.410490618,-1
617,MODEL1,PARMS,RUL,1.176305383,6.461193223,0.403121285,-1.014734647,3.763688911,-0.108430271,1.269600027,-3.086286062,-1
618,MODEL1,PARMS,RUL,1.124325812,-0.181105981,0.120917426,0.126692672,-0.779613875,0.403591802,-1.202771099,3.163126874,-1
619,MODEL1,PARMS,RUL,1.063854817,-1.317296609,0.355041928,-0.637077375,2.337677002,0.407414439,0.248622206,-0.875209297,-1
620,MODEL1,PARMS,RUL,1.204929186,-4.788107062,0.147160073,-0.298035327,0.681049485,0.721332183,-2.465314819,5.788683585,-1
621,MODEL1,PARMS,RUL,1.024411039,0.91563286,0.320363761,-0.667730354,2.602267066,0.260807822,1.376449231,-3.743406129,-1
622,MODEL1,PARMS,RUL,1.072288613,2.413752322,0.128467254,-0.059963444,0.06024278,0.22566065,0.740547683,-2.081048957,-1
623,MODEL1,PARMS,RUL,1.097606585,-1.269060973,0.391570081,-0.808026684,2.499920793,0.399491094,-0.12579814,0.092947552,-1
624,MODEL1,PARMS,RUL,1.074188334,-0.361269421,0.291788744,-0.841139964,3.425228341,0.37482587,-0.069139919,-0.237555224,-1
625,MODEL1,PARMS,RUL,1.111288192,7.268180939,0.103639134,-0.168872464,0.42664778,-0.056649154,-0.179992736,1.600556552,-1
626,MODEL1,PARMS,RUL,1.027286301,5.006214518,0.031360808,-0.038671359,0.058314375,0.11108834,-0.21315153,0.631471942,-1
627,MODEL1,PARMS,RUL,1.04242779,1.427853935,0.127904871,-0.129795889,0.499870282,0.29109871,0.383695865,-1.091857432,-1
628,MODEL1,PARMS,RUL,1.132392382,8.528633865,0.086433215,-0.11985528,0.131452365,-0.145969437,1.52356448,-3.955305365,-1
629,MODEL1,PARMS,RUL,1.039862643,10.58075458,0.165757299,-0.145596549,-0.041757941,-0.30804131,1.474766708,-3.214723165,-1
630,MODEL1,PARMS,RUL,1.024105952,6.35431708,0.112813046,-0.041276012,0.196767336,-0.019343657,0.056843339,0.527711428,-1
