SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LUL
902,MODEL1,PARMS,LUL,1.035645345,4.907896183,0.338159005,-0.777139861,3.122086677,0.033524366,0.907291419,-1.757000264,-1
903,MODEL1,PARMS,LUL,0.887141647,10.36934772,0.28031445,-0.405821592,0.725179799,-0.288442057,1.533778808,-3.044626262,-1
904,MODEL1,PARMS,LUL,1.008991342,3.204245544,0.443301667,-1.089329593,3.604438825,0.125551211,1.245200459,-3.205904443,-1
905,MODEL1,PARMS,LUL,0.966345356,-0.857716559,0.230879201,-0.425430276,1.388731402,0.457918082,-0.804110943,2.484382281,-1
906,MODEL1,PARMS,LUL,0.992081157,14.73753695,0.28241851,-0.317547434,0.396379645,-0.599747807,3.222222012,-7.353009031,-1
907,MODEL1,PARMS,LUL,0.972963686,4.840194258,-0.091895213,0.56992408,-2.833930182,0.176421283,0.482109144,-1.995815895,-1
908,MODEL1,PARMS,LUL,0.959314409,7.365730615,0.272544691,-0.33354754,0.374652403,-0.10122416,1.029147762,-2.425572996,-1
909,MODEL1,PARMS,LUL,0.887439389,4.948514123,0.316878921,-0.359825396,0.536950863,0.041036156,0.617791213,-1.313244874,-1
910,MODEL1,PARMS,LUL,0.99847499,2.408943918,0.054196836,0.469269154,-2.514510401,0.27609779,0.403836665,-0.926600861,-1
911,MODEL1,PARMS,LUL,0.931412608,0.405304298,0.392658226,-0.551124186,1.119825056,0.302410841,0.493127673,-0.991849131,-1
912,MODEL1,PARMS,LUL,0.992745075,8.675604806,0.219445602,-0.144188155,-0.284678263,-0.166287015,0.614512796,-0.883345821,-1
913,MODEL1,PARMS,LUL,0.967905716,8.855881044,0.306485752,-0.361953115,0.780199252,-0.210494217,1.113789187,-1.744324019,-1
914,MODEL1,PARMS,LUL,0.972814167,10.72035887,0.051013985,-0.023146628,-0.552381582,-0.242134408,1.628580933,-3.948626646,-1
915,MODEL1,PARMS,LUL,1.02017505,6.295490931,0.19778255,-0.052355701,-0.326801316,0.004631661,0.162079494,0.021148871,-1
916,MODEL1,PARMS,LUL,0.965266022,4.631574771,0.198154063,-0.175715434,-0.018034099,0.102625375,0.470004942,-0.72100702,-1
917,MODEL1,PARMS,LUL,1.045632163,0.914538022,0.357650807,-0.239797374,-0.871849496,0.292836596,-0.605221895,1.587515138,-1
918,MODEL1,PARMS,LUL,1.071226072,0.571895525,0.228747679,-0.338180492,0.829086308,0.360941355,-1.227836723,3.180305965,-1
919,MODEL1,PARMS,LUL,0.99069668,10.75602751,0.219860059,0.183367569,-1.788891143,-0.323509868,1.395443546,-3.073386238,-1
920,MODEL1,PARMS,LUL,1.006921875,6.54982706,0.191583442,-0.532761205,2.147125386,-0.017627023,0.634833647,-0.898074109,-1
921,MODEL1,PARMS,LUL,0.96847646,5.915297215,0.172028854,-0.330940468,1.360740944,0.046461043,-0.396972069,1.188723219,-1
922,MODEL1,PARMS,LUL,0.986247414,9.25363199,0.136136803,-0.466737003,1.839001753,-0.172818131,1.367427953,-2.829929621,-1
923,MODEL1,PARMS,LUL,0.96608871,2.114415697,0.203305615,0.019723843,-1.255422037,0.247973349,0.261185361,-0.482562752,-1
924,MODEL1,PARMS,LUL,1.031079437,-1.483110995,0.175614502,-0.127517847,-0.048968532,0.50975675,-0.799154941,1.525367113,-1
