SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RLL
217,MODEL1,PARMS,RLL,0.851576113,1.777141292,0.141793193,-0.412432567,1.131839605,0.243634572,0.000133945,-0.407565556,-1
218,MODEL1,PARMS,RLL,0.846019156,-3.798406426,-0.085629209,-0.027617689,0.395396283,0.68887654,-2.202963026,4.945300857,-1
219,MODEL1,PARMS,RLL,0.920736244,-2.987102294,0.245008155,-0.62208046,2.163980912,0.512943912,-0.312083951,-0.075518059,-1
220,MODEL1,PARMS,RLL,0.82812142,-3.838885268,-0.040401447,-0.128650472,0.082315404,0.666121001,-0.903207143,1.041603699,-1
221,MODEL1,PARMS,RLL,0.874031971,4.517481696,0.108145433,-0.273723218,1.151124575,0.056696556,0.908116307,-2.389258879,-1
222,MODEL1,PARMS,RLL,0.937026025,1.730787284,-0.063839551,-0.194722035,1.122266535,0.317639014,-0.378164545,0.464038999,-1
223,MODEL1,PARMS,RLL,0.889346327,3.473251487,-0.091748619,0.020114114,0.017264243,0.202530756,-0.085489549,0.146830589,-1
224,MODEL1,PARMS,RLL,0.921238377,0.523932743,0.020606549,-0.080590453,0.231920039,0.37089542,-0.812812275,1.512999181,-1
225,MODEL1,PARMS,RLL,0.96040729,-2.445703959,-0.09214884,0.06011947,-0.447719888,0.605608068,-1.66691569,3.296716782,-1
226,MODEL1,PARMS,RLL,0.915330148,3.423130745,0.132508179,-0.191351831,0.023003841,0.131715095,0.03656887,-0.089346475,-1
227,MODEL1,PARMS,RLL,0.894715302,2.434457163,0.089979886,-0.25457677,1.314747148,0.191060782,1.313235538,-3.927117631,-1
228,MODEL1,PARMS,RLL,0.937395137,-10.78505068,-0.030768043,0.318806358,-2.212489682,1.100040533,-1.597144901,2.058884836,-1
229,MODEL1,PARMS,RLL,0.931921827,-6.556429829,0.234256035,-0.445593179,1.285848018,0.748322663,-0.926874466,0.863227712,-1
230,MODEL1,PARMS,RLL,0.905361633,3.122672199,0.011477194,-0.144098086,0.320774119,0.19277729,0.215513382,-0.896398649,-1
231,MODEL1,PARMS,RLL,0.876515146,-6.10985718,0.097597517,-0.451803569,1.88467348,0.784552255,-1.815140614,3.363097542,-1
232,MODEL1,PARMS,RLL,0.885952947,8.031949349,-0.14036437,0.130461696,0.120051282,-0.082341654,0.949747886,-2.176411615,-1
233,MODEL1,PARMS,RLL,0.887818173,-0.390164113,-0.017844734,-0.036991505,0.365642036,0.437527982,-1.615043917,3.485231141,-1
234,MODEL1,PARMS,RLL,0.840908987,3.806507209,0.002579196,0.054975747,-0.713611858,0.14153173,0.73043728,-2.083087914,-1
235,MODEL1,PARMS,RLL,0.848197602,-8.026910606,0.155385302,-0.835147654,3.273235574,0.905355013,-2.637894908,5.433343002,-1
236,MODEL1,PARMS,RLL,0.896330282,-3.877871843,-0.075847121,0.183540601,-0.504650141,0.673866436,-1.376388739,2.439872547,-1
237,MODEL1,PARMS,RLL,0.850832679,-5.684357142,0.04264818,-0.146695908,0.519610099,0.75430204,-1.459400936,2.665813268,-1
238,MODEL1,PARMS,RLL,0.830055774,-10.92616906,0.052013888,-0.096287337,0.121489166,1.104443274,-2.837381618,5.681975426,-1
239,MODEL1,PARMS,RLL,0.870439063,-1.200529762,0.23265177,-0.788888332,2.947277899,0.407959353,-0.009299297,-0.504558783,-1
240,MODEL1,PARMS,RLL,0.907354786,2.160025299,0.113048226,-0.406695198,1.68271525,0.232990603,-0.294480086,0.606098938,-1
241,MODEL1,PARMS,RLL,0.872250248,2.462656475,0.152453929,-0.450344722,1.794651315,0.186022274,0.192344018,-0.696535091,-1
242,MODEL1,PARMS,RLL,0.908598795,-1.331789017,-0.174568826,0.570303285,-2.482721112,0.531952799,-0.761625695,1.39133103,-1
243,MODEL1,PARMS,RLL,0.958142037,4.294294093,-0.058026843,0.305606216,-1.593458351,0.13143136,0.186637214,-0.592660774,-1
244,MODEL1,PARMS,RLL,0.871668526,2.610482687,0.094892708,-0.063053228,-0.025316016,0.190789595,0.675915077,-1.978098313,-1
245,MODEL1,PARMS,RLL,0.884799563,-3.34280002,-0.00986069,0.100939987,-0.502154054,0.606205852,0.52940887,-3.067030417,-1
246,MODEL1,PARMS,RLL,0.906736596,-1.259103052,0.171734489,-0.607213871,1.976175871,0.441363805,-0.619978874,0.967560925,-1
