SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,BronInt
615,MODEL1,PARMS,BronInt,1.08145765,6.295081714,0.351184135,-0.566872031,1.282061096,0.002321006,0.230257623,-0.623061592,-1
616,MODEL1,PARMS,BronInt,1.158054839,1.833340252,0.075730458,-0.194412973,1.051933164,0.399941014,-1.407588724,3.53345785,-1
617,MODEL1,PARMS,BronInt,1.108299661,9.365024693,0.25569229,-0.793154995,2.550806068,-0.141938135,-0.057244398,0.17612394,-1
618,MODEL1,PARMS,BronInt,1.192344729,6.393238262,0.004534233,0.198382515,-0.842931832,0.09241452,-0.10167908,0.286330042,-1
619,MODEL1,PARMS,BronInt,1.048501988,3.429735505,0.555583346,-1.407920379,5.17147862,0.140096748,0.499179602,-1.812803427,-1
620,MODEL1,PARMS,BronInt,1.216085635,-0.253004055,0.112843969,-0.550928049,2.101827148,0.528376582,-1.564576282,3.111582244,-1
621,MODEL1,PARMS,BronInt,1.112543682,18.38895016,0.362231047,-0.731706156,2.484988349,-0.792601654,3.003695524,-6.463400682,-1
622,MODEL1,PARMS,BronInt,1.100641873,2.502080287,0.195888913,-0.393471862,1.611701288,0.288323956,0.630242908,-2.166447351,-1
623,MODEL1,PARMS,BronInt,1.134754467,5.057384977,0.116106694,-0.26357405,0.798669471,0.170903123,0.114025957,-0.551024175,-1
624,MODEL1,PARMS,BronInt,1.079069333,-2.65001583,0.289116858,-1.120752501,4.443942972,0.64986363,-1.969369799,3.897734552,-1
625,MODEL1,PARMS,BronInt,1.197153824,12.13779044,-0.019014229,0.091172201,-0.189382651,-0.259806054,0.915637911,-2.069025682,-1
626,MODEL1,PARMS,BronInt,1.089210665,12.42610022,0.251405185,-0.462277609,1.240061933,-0.36743249,1.744242519,-4.345575813,-1
627,MODEL1,PARMS,BronInt,1.106330147,6.656655926,0.192652231,-0.312274183,0.627140175,0.023352876,0.917535177,-2.539466655,-1
628,MODEL1,PARMS,BronInt,1.222416254,8.97279909,-0.025474562,-0.370717673,1.849404739,-0.026774098,0.243479789,-0.96102064,-1
629,MODEL1,PARMS,BronInt,1.042152676,16.33090712,0.147991372,-0.271183551,0.033173115,-0.580508485,1.539792008,-3.073069339,-1
630,MODEL1,PARMS,BronInt,1.03256133,14.198773,0.239667642,-0.74646028,3.006087036,-0.474538046,1.553596874,-3.309349423,-1
631,MODEL1,PARMS,BronInt,1.116550343,-0.489070138,0.065497029,-0.09149673,0.894561626,0.531917011,0.232298499,-1.945203056,-1
632,MODEL1,PARMS,BronInt,1.128057288,5.531254269,0.112873442,-0.438517846,1.898019286,0.13988549,0.020908601,-0.387891154,-1
633,MODEL1,PARMS,BronInt,1.199643453,2.15724796,0.370166761,-0.986878191,3.473977529,0.276116156,0.556274944,-2.08430377,-1
634,MODEL1,PARMS,BronInt,1.21764133,3.419493331,0.282736566,-0.592916791,1.849123796,0.22295659,-0.224628805,0.199351045,-1
635,MODEL1,PARMS,BronInt,1.084159354,13.4669755,-0.040461798,-0.094099967,0.218238592,-0.324055039,1.119313161,-2.75997911,-1
