SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB1
194,MODEL1,PARMS,RB1,0.91320653,-1.90693735,0.302943324,-0.978445805,4.164290496,0.181882896,0.465931312,-2.145167467,0.420931137,-0.809886304,2.001468439,-1
195,MODEL1,PARMS,RB1,0.936440285,-0.399032036,0.161803497,-0.688030444,3.05236392,0.124029117,-0.025033764,-0.664968758,0.475322606,-1.049817634,2.487873856,-1
196,MODEL1,PARMS,RB1,0.857811363,0.80956165,0.064410321,-0.589681441,2.47265968,0.084147539,0.215921934,-1.510567237,0.479338619,-0.701532287,1.363417791,-1
197,MODEL1,PARMS,RB1,0.7728408,1.002036753,0.185000397,-0.798853576,3.37828382,0.079591677,0.136764915,-0.773860369,0.29614857,0.210071375,-0.781250023,-1
198,MODEL1,PARMS,RB1,0.910952853,-5.679322706,0.260536573,-0.582187668,2.151573834,0.488955567,-1.822211103,3.838216587,0.187973494,0.282532086,-0.825185932,-1
199,MODEL1,PARMS,RB1,0.864626169,1.818196816,0.237040746,-0.552313645,2.144387302,0.041054368,1.535618126,-4.14763185,0.131684179,-0.211599414,0.796604651,-1
200,MODEL1,PARMS,RB1,0.834363684,-5.666817077,0.168188033,-0.28753344,0.05034657,0.451461791,-1.257415942,1.519372022,0.454123396,-1.086961437,3.022619114,-1
201,MODEL1,PARMS,RB1,0.917408854,9.582646905,0.343102267,-1.136559596,4.062952729,-0.559589914,1.813728931,-4.369351849,0.582040391,-1.350585365,3.566187117,-1
202,MODEL1,PARMS,RB1,0.860356749,5.098124208,0.223876516,-0.643493313,2.62016018,-0.199209222,0.368555331,-1.073049356,0.312122934,0.321837378,-0.858498926,-1
203,MODEL1,PARMS,RB1,0.799311183,-6.420141401,0.374221484,-1.321775572,5.344827513,0.524555014,-0.918684302,0.762110132,0.102306887,0.440548219,-0.824634239,-1
204,MODEL1,PARMS,RB1,0.852132084,-2.459881188,0.046113937,0.024040142,-0.278745591,0.32305343,0.294588965,-1.355787639,0.220037445,-0.11673612,0.03874918,-1
205,MODEL1,PARMS,RB1,0.891002146,-1.24095808,0.01295173,-0.429936607,1.879619407,0.322568295,-1.149998913,2.285486306,0.145584823,0.34582246,-0.88736555,-1
206,MODEL1,PARMS,RB1,0.836845262,-11.52169444,0.057255634,-0.464037819,2.424489558,0.725859519,-2.528504961,5.378981567,0.836812343,-1.421043339,2.446713366,-1
207,MODEL1,PARMS,RB1,0.800336085,-4.09366097,0.050914583,-0.288690519,1.205093519,0.327375208,-1.341040214,2.01509379,0.715952129,-1.491664712,3.347230996,-1
208,MODEL1,PARMS,RB1,0.92067632,-11.06223424,0.034201536,-0.335632507,1.663099686,0.815772098,-3.086848762,5.946589767,0.450573064,-0.001463663,-0.500533277,-1
209,MODEL1,PARMS,RB1,0.800369849,-6.649909881,0.180682473,-0.726360224,3.175601208,0.513696583,-0.881595269,1.110356303,0.378056975,-0.019524278,-0.295793846,-1
210,MODEL1,PARMS,RB1,0.828318273,-17.02107555,0.063454159,-0.369808325,1.773922821,1.103754793,-3.906013415,7.745854831,0.674702509,-1.374423195,3.225142867,-1
211,MODEL1,PARMS,RB1,0.896420112,14.24270998,0.183688881,-0.669929319,2.617830707,-0.67448177,1.875795071,-3.687224678,0.134114867,0.538586434,-1.525564946,-1
212,MODEL1,PARMS,RB1,0.946782119,16.51200144,0.192243912,-0.714779821,3.121007771,-0.920357737,2.679630839,-6.088568112,0.495252084,-0.30535931,0.486632318,-1
213,MODEL1,PARMS,RB1,1.034127059,-2.034866322,0.235244999,-1.099508216,5.069101089,0.418998745,-1.528325763,3.093121979,-0.302301806,2.018567041,-4.571066068,-1
214,MODEL1,PARMS,RB1,0.850755267,-5.26317051,0.396017098,-0.867979325,2.967737182,0.353711073,-0.077388536,-0.729844233,0.410189437,-0.666348354,1.441929242,-1
215,MODEL1,PARMS,RB1,0.971247182,0.339059423,0.083804869,-0.479823959,1.648330181,0.10798617,0.234097256,-1.651903278,0.501160643,-1.184004099,3.105786517,-1
216,MODEL1,PARMS,RB1,0.842763372,0.033111193,0.438873942,-1.110902349,3.86406034,0.126330023,0.935543092,-3.389234235,0.021804113,0.883264989,-1.765580332,-1
217,MODEL1,PARMS,RB1,0.783807074,-0.479571429,0.100936015,-0.506690597,1.884778705,0.127549692,0.889108724,-3.444731095,0.540439998,-1.109588777,2.726512096,-1
218,MODEL1,PARMS,RB1,0.938690524,5.902261575,0.31625518,-0.719962211,2.295814598,-0.239510133,1.130180241,-2.556781403,0.16010883,1.255615032,-3.428531307,-1
219,MODEL1,PARMS,RB1,0.856429507,9.089623074,0.307722237,-1.006322402,3.768905831,-0.530518974,3.203214977,-7.789921107,0.578973593,-1.511392734,3.292406027,-1
220,MODEL1,PARMS,RB1,0.906202551,0.056885334,0.02302398,-0.71669603,3.764085792,0.064722604,-0.096895259,-0.164049838,0.819015776,-2.280044797,5.307654259,-1
221,MODEL1,PARMS,RB1,0.856368685,5.666374712,0.113197902,-0.675067897,2.600903052,-0.197493027,0.409939595,-1.029096268,0.394184348,-0.408995493,0.659676438,-1
222,MODEL1,PARMS,RB1,0.91709505,-6.297098811,0.309251795,-1.165774761,4.927595024,0.399333546,-1.139645504,1.778301453,0.667956564,-1.268093259,2.742733056,-1
223,MODEL1,PARMS,RB1,0.87067878,-1.123714314,0.323497796,-0.992575303,3.798202724,0.072984664,-1.448685301,3.367434808,0.656168734,-0.160568781,-0.491745954,-1
224,MODEL1,PARMS,RB1,0.828956204,-1.433325579,0.480880197,-1.109265625,3.723479482,0.113357813,0.185033709,-1.126813918,0.359016727,-0.65112851,1.703253328,-1
225,MODEL1,PARMS,RB1,0.855211887,20.37994433,0.276667094,-0.798561398,3.280134669,-1.161558066,3.141765946,-6.565800636,0.446300655,-0.3776404,0.411737386,-1
226,MODEL1,PARMS,RB1,0.959850593,8.688568938,-0.005696286,-0.235431523,1.010483715,-0.3429476,1.263236712,-3.330405786,0.369835565,-0.947204105,2.605786806,-1
227,MODEL1,PARMS,RB1,0.947710341,0.415056435,0.065278846,0.106346131,-0.577174716,0.057807607,0.232498946,-1.754490913,0.525778146,0.195106125,-1.236816457,-1
228,MODEL1,PARMS,RB1,0.898730678,-19.88185329,0.156625016,-0.413956834,1.878653633,1.432484213,-4.31290425,8.077868749,-0.032904869,1.084653792,-2.547561115,-1
229,MODEL1,PARMS,RB1,0.851666922,-0.684639541,0.136035676,-0.577145123,2.256727808,0.157444787,-0.42061735,0.527354232,0.438836759,-0.274281266,0.271053307,-1
230,MODEL1,PARMS,RB1,0.971741172,-8.285564515,0.279619893,-0.810013073,2.752050862,0.59850194,-1.157906563,1.640915175,0.367752634,-0.456491936,1.20458023,-1
231,MODEL1,PARMS,RB1,0.834278127,-13.30484916,-0.020182992,-0.105041788,0.412675638,0.973538333,-4.11875897,9.194094012,0.388428272,0.544132518,-1.853180593,-1
232,MODEL1,PARMS,RB1,0.799172593,-9.378076037,-0.071858809,-0.013854971,0.611816381,0.689954619,-1.551725502,2.712194365,0.572853231,-1.077389778,2.665010402,-1
233,MODEL1,PARMS,RB1,0.822579678,2.779089578,0.274902167,-0.586114003,2.117786791,-0.119168391,0.699497626,-2.193964205,0.517578083,-1.177496008,2.917338758,-1
234,MODEL1,PARMS,RB1,0.895202447,-1.395436295,0.322071399,-0.626401915,1.942716774,0.132013785,0.64164741,-1.977501773,0.416960655,-0.230017738,-0.003756971,-1
235,MODEL1,PARMS,RB1,0.90303153,-4.489676766,0.344056581,-0.899241298,3.046112915,0.459914535,-1.302842249,2.336100301,-0.09037292,1.431604587,-3.352955698,-1
236,MODEL1,PARMS,RB1,0.901366111,4.491793554,0.073258144,-0.539296046,2.862709478,-0.157103268,1.49565085,-3.450796713,0.475835459,-0.773957408,1.412747797,-1
