SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LUL
172,MODEL1,PARMS,LUL,1.070440505,3.345005312,-0.132615988,0.506615474,-1.716806598,0.178021048,-2.355313141,6.181051939,0.547157578,-0.016705954,-0.581948571,-1
173,MODEL1,PARMS,LUL,1.138541896,-0.532862455,0.104800776,-0.347894284,1.346568178,0.322517112,-1.879153984,4.043599377,0.693686649,-0.699400014,1.199424987,-1
174,MODEL1,PARMS,LUL,1.14359734,1.496631391,0.058357299,0.27323523,-1.175617678,0.292542954,-1.708137256,4.559876745,0.338876703,-0.006683546,-0.489978431,-1
175,MODEL1,PARMS,LUL,1.034992028,2.546486192,0.139934241,-0.385756915,1.865525767,0.234286273,-1.544786316,3.564011422,0.333910564,-0.038068646,-0.118427615,-1
176,MODEL1,PARMS,LUL,1.057440528,13.57442843,0.259466914,-0.269890495,1.088309531,-0.534956935,0.624686467,-1.019519973,0.437888971,0.579979516,-1.662988557,-1
177,MODEL1,PARMS,LUL,1.021544532,3.688697215,0.391068744,-0.573401309,2.74475832,-0.034984637,-0.58909938,1.580973432,0.598338124,0.283217955,-1.325894712,-1
178,MODEL1,PARMS,LUL,0.973951893,21.13410716,-0.175569197,0.90224624,-3.151505228,-0.737761314,1.261771833,-1.497675526,-0.05681048,1.264961847,-3.103432861,-1
179,MODEL1,PARMS,LUL,1.010718966,-5.328763701,0.207033361,-0.173947633,1.181814947,0.582279797,-3.652421735,8.843097394,0.594526246,-0.071439207,-0.38874174,-1
180,MODEL1,PARMS,LUL,1.106071302,5.518912067,-0.40817269,1.011442609,-3.05119045,0.216932643,-1.551637098,3.219409013,0.257674307,0.693081272,-2.018100197,-1
181,MODEL1,PARMS,LUL,1.201345632,25.8806208,-0.270568319,1.03597668,-3.748653449,-1.171853196,2.413550861,-3.612089243,0.658849074,-0.751404521,0.998581123,-1
182,MODEL1,PARMS,LUL,0.996152352,1.211007846,0.292282164,-0.252647082,0.577513855,0.196143774,-0.650273993,0.880012257,0.519753863,-0.583052569,0.964658709,-1
183,MODEL1,PARMS,LUL,1.048456847,8.119679109,0.078515554,0.070160716,-0.334668499,-0.146340778,-0.477773095,1.669133335,0.470955976,-0.244388532,-0.045438761,-1
184,MODEL1,PARMS,LUL,1.00194316,-1.112986043,0.103169781,0.276564995,-1.221062237,0.576632461,-1.358788615,2.605728987,-0.205489037,1.430299793,-3.389586616,-1
185,MODEL1,PARMS,LUL,1.136431776,13.26115487,0.25961761,-0.535048823,2.118379935,-0.679678771,2.249947857,-4.190067497,1.076190261,-1.861024523,3.246308881,-1
186,MODEL1,PARMS,LUL,1.095096015,9.877607996,0.225497741,0.115490094,-1.051022842,-0.43548787,1.061138698,-1.896996639,0.906553149,-1.107044012,1.608145254,-1
187,MODEL1,PARMS,LUL,1.030461982,5.649791728,0.120123244,-0.172810239,0.83462776,0.046554357,0.273600003,-1.047626715,0.262164209,0.147874652,-0.404429019,-1
188,MODEL1,PARMS,LUL,1.005226822,-3.744059668,0.122596762,0.110725214,-0.035062363,0.613899997,-3.194653673,7.454468853,0.226321858,1.056733075,-3.166067858,-1
189,MODEL1,PARMS,LUL,1.018500259,0.14643686,0.083589121,-0.16917958,0.772912574,0.283126506,-2.586199864,6.563339818,0.71374416,-1.178458882,2.472390605,-1
190,MODEL1,PARMS,LUL,1.065879687,-2.049684031,-0.020871659,0.344962987,-0.871279326,0.454752246,-2.089535665,5.352889074,0.579194545,-0.478552038,0.447857626,-1
191,MODEL1,PARMS,LUL,0.97842797,5.448394129,0.009167357,0.096765843,0.056612247,-0.042044368,-0.330664081,0.968035816,0.703729105,-0.795488377,1.324733048,-1
192,MODEL1,PARMS,LUL,0.996034058,-10.71967322,0.123272618,-0.213832063,1.000088555,0.90824952,-3.903433089,8.683621693,0.804321262,-1.204691723,2.278023015,-1
193,MODEL1,PARMS,LUL,1.098482581,-0.389782481,0.186120831,-0.015236314,-0.625019608,0.546503975,-2.46423976,5.80941315,-0.347036997,2.550504795,-6.217673639,-1
194,MODEL1,PARMS,LUL,0.994404709,-1.240968287,0.433839538,-0.455618924,1.608550425,0.300933141,-1.263139014,2.601920482,0.466289927,0.174755396,-1.146630805,-1
195,MODEL1,PARMS,LUL,1.015854748,5.392547747,0.427679164,-0.519229489,1.660535804,-0.114279589,-0.468721518,1.810680662,0.558858648,-0.72159576,1.309272616,-1
196,MODEL1,PARMS,LUL,0.997122992,4.573176362,-0.012051741,-0.19251854,0.972485351,0.051505703,-1.605766927,3.657298337,0.80474316,-1.754935316,3.652720303,-1
197,MODEL1,PARMS,LUL,1.001563104,1.393702028,0.169804053,-0.091122117,-0.098955329,0.321940051,-2.069737933,5.101613292,0.172815848,0.677003098,-1.715373977,-1
198,MODEL1,PARMS,LUL,1.048375647,2.594659944,0.408400995,-0.575279911,1.767747925,0.087353744,-1.13209102,2.70270085,0.468484273,0.202818728,-1.137735947,-1
199,MODEL1,PARMS,LUL,1.041298174,8.273623109,0.177880442,0.058385843,-0.564791217,-0.249131743,-0.182467113,1.025416985,0.69021856,-0.412606541,-0.076100294,-1
200,MODEL1,PARMS,LUL,1.007819723,9.324663865,0.178910044,0.615749321,-3.287443442,-0.200177696,-1.257973684,4.887462798,0.19235777,1.345151594,-4.367969795,-1
201,MODEL1,PARMS,LUL,1.005008682,5.869777841,0.255993274,-0.146249363,0.193424995,-0.133738691,-0.982534909,3.042235256,0.672174593,-0.24728858,-0.204312326,-1
202,MODEL1,PARMS,LUL,1.123688277,14.65034381,0.032777625,0.166116854,-0.992573645,-0.545828116,-0.574284439,2.481421812,0.601617881,-0.467630724,0.399959249,-1
203,MODEL1,PARMS,LUL,1.062318612,6.938859902,-0.024697417,0.333620127,-1.388428031,0.114790446,-1.641142879,4.104022334,-0.12504175,1.609135536,-3.909817073,-1
204,MODEL1,PARMS,LUL,1.172912091,15.61452565,-0.15586021,0.920359554,-3.317350625,-0.501518921,0.463569706,0.323187325,0.270051228,0.979771106,-2.993818772,-1
205,MODEL1,PARMS,LUL,1.063978994,-0.296941254,0.263607054,-0.20426938,0.415911805,0.470388715,-2.278278239,4.664839223,-0.100163345,1.761600772,-4.493950677,-1
206,MODEL1,PARMS,LUL,0.938014325,5.288318977,-0.046174309,0.199286396,-0.22952609,0.060505566,-0.781847914,2.516365918,0.484378196,-0.347189723,0.184819842,-1
207,MODEL1,PARMS,LUL,1.058108315,-3.712711978,0.022981301,0.161019056,-0.203103611,0.543746805,-2.401732735,5.50731548,0.694052838,-1.516090374,3.094103819,-1
208,MODEL1,PARMS,LUL,0.961295345,12.9833428,0.073883333,0.305648672,-1.711538383,-0.379588287,0.816520848,-1.358535387,0.219598317,0.793939438,-2.483260268,-1
209,MODEL1,PARMS,LUL,0.9786924,-3.333465408,0.064764641,-0.069261389,0.845038094,0.637244219,-3.005747264,6.712312319,0.17034611,0.880021813,-2.702213216,-1
210,MODEL1,PARMS,LUL,1.078319021,-5.258876161,0.313655935,-0.718322605,2.778655533,0.682895401,-3.574122603,8.413374765,0.238720953,0.303866486,-0.969339795,-1
211,MODEL1,PARMS,LUL,0.925203661,5.70638747,0.105472976,-0.199698154,1.564873536,-0.072185257,-0.932401916,3.440774649,0.710999108,-0.497768819,-0.390200306,-1
212,MODEL1,PARMS,LUL,1.141148619,8.040402071,0.05035322,0.310113224,-0.914892658,-0.227340359,0.312830267,0.175231195,0.707541618,-0.290808654,-0.469888394,-1
213,MODEL1,PARMS,LUL,1.013141506,6.602534402,0.411248301,-0.963841173,4.399519719,-0.228868139,1.36344818,-2.958169204,0.758478056,-1.177334533,1.906367621,-1
214,MODEL1,PARMS,LUL,1.049706753,20.9786418,0.151646597,0.208780179,-1.271031838,-0.868404241,0.921273493,-0.202406021,0.152692101,1.113408569,-3.294494487,-1
215,MODEL1,PARMS,LUL,1.02106663,2.283339279,0.196397859,-0.436612563,1.884719463,0.247216133,-1.792555534,4.148764513,0.256349352,0.134707255,-0.302302471,-1
216,MODEL1,PARMS,LUL,1.128453668,1.790463402,0.389498913,-0.375563101,0.578825916,0.128849348,-1.875232553,4.864001878,0.568541793,-0.120991386,-0.909996877,-1
217,MODEL1,PARMS,LUL,1.117218566,-8.650222341,0.137729374,-0.277282271,1.392350563,0.899166199,-2.198364332,4.123748215,0.267245168,0.522152076,-1.280862405,-1
218,MODEL1,PARMS,LUL,0.999147077,6.446823862,0.120022274,0.024938699,0.214409396,-0.12532004,0.831096659,-2.092066937,0.640226459,-0.361599482,-0.123266593,-1
219,MODEL1,PARMS,LUL,1.024853811,11.69803012,0.47589136,-1.352820951,5.477031809,-0.506369696,1.706258445,-3.614108983,0.695361704,-1.562138441,3.297990612,-1
220,MODEL1,PARMS,LUL,0.945320308,3.079874001,-0.172495387,0.659364535,-1.70902646,0.154377308,-0.434377884,0.959124107,0.708625347,-1.042637075,2.082312064,-1
221,MODEL1,PARMS,LUL,1.036390114,10.86512837,0.223475074,0.014968524,-0.470990075,-0.317602531,0.031652278,0.201475114,0.273756474,1.014813275,-2.77442468,-1
222,MODEL1,PARMS,LUL,1.069958218,19.30869372,0.079422745,-0.204679041,1.225988147,-0.936713946,2.65142474,-5.142390061,0.880696628,-1.325592156,2.249699888,-1
223,MODEL1,PARMS,LUL,0.998844625,3.1125584,-0.194124203,0.686618143,-1.923860195,0.217973786,-1.300090767,3.422012557,0.502202989,-0.823624881,1.987972053,-1
224,MODEL1,PARMS,LUL,1.210130269,-2.200625211,0.061894597,0.36238231,-0.8997817,0.379962917,-0.777779266,1.355550835,0.739494984,-0.986644627,1.669421058,-1
225,MODEL1,PARMS,LUL,1.07059569,14.45569789,-0.061550394,0.667471521,-1.976984309,-0.550009931,1.625886417,-2.75458474,0.621363155,-1.118015955,2.232756774,-1
226,MODEL1,PARMS,LUL,1.0099099,1.296228177,0.084555958,0.16925807,-0.921835816,0.292557242,0.018545472,-0.511855165,0.350761417,-0.065175723,-0.278208492,-1
227,MODEL1,PARMS,LUL,1.088674464,-1.008483531,0.20605972,-0.256959088,1.289528251,0.324722222,-0.932438975,2.273998075,0.62591202,-0.674815338,0.557844244,-1
228,MODEL1,PARMS,LUL,1.079320945,9.515486559,0.229936243,-0.196960508,0.411474102,-0.353475559,-0.315870107,1.252188176,0.73422396,-0.627646628,0.831850138,-1
229,MODEL1,PARMS,LUL,1.029098946,-9.837596,0.098272776,0.432519533,-2.533095767,0.847905791,-2.7983605,5.993685047,0.747273183,-1.184035309,1.838353546,-1
230,MODEL1,PARMS,LUL,1.086597904,-2.682537178,0.256452016,-0.525355454,2.045945792,0.411534128,-1.870750232,3.978000701,0.673137335,-0.679863086,0.892954819,-1
231,MODEL1,PARMS,LUL,1.089387291,-12.5015699,-0.088620569,0.880971714,-3.836800122,1.111595415,-4.153959533,8.968143849,0.579705724,-0.39925628,0.201657637,-1
232,MODEL1,PARMS,LUL,1.095586412,3.388504714,-0.113168126,0.372103772,-0.742031842,0.111006688,-1.511390068,4.41078629,0.726520348,-0.654606848,1.094299851,-1
233,MODEL1,PARMS,LUL,0.988706512,5.692183097,0.077339763,0.149463538,-0.659003487,0.048077578,-0.931428026,2.201149944,0.264574389,0.480626844,-1.132328735,-1
234,MODEL1,PARMS,LUL,1.094170011,-1.194722546,0.450489189,-1.083042838,4.455983277,0.205667933,-0.544921576,1.787467029,0.859738387,-1.247832899,1.687255423,-1
