SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sLB10
613,MODEL1,PARMS,sLB10,0.958637024,-8.288618229,-0.062629501,0.16740013,0.273740072,0.604497506,-2.774779472,6.599583354,0.507644546,-1.001067818,1.752930738,-1
614,MODEL1,PARMS,sLB10,0.772894654,-0.461321241,0.090197634,-0.15965685,0.71558221,0.163624217,-1.246879386,3.403314257,0.221937361,-0.298082995,0.408013335,-1
615,MODEL1,PARMS,sLB10,0.900898109,3.209146927,0.068046762,-0.057544731,0.286093728,-0.194594232,0.533667471,-0.918044406,0.695509912,-1.481890887,2.951603064,-1
616,MODEL1,PARMS,sLB10,1.001847424,2.057189543,-0.321655762,0.597632317,-1.414516098,0.00939963,-0.606397642,1.493545755,0.650434806,-0.986605795,1.465347149,-1
617,MODEL1,PARMS,sLB10,0.93667348,2.802996015,0.087297967,-0.27045792,1.481423333,-0.064952255,0.774217628,-1.372087046,0.278219526,-0.112211861,-0.657129956,-1
618,MODEL1,PARMS,sLB10,0.92535266,-1.101726095,-0.422236324,1.192206216,-4.399772157,0.404573119,-2.521983983,6.168304541,0.006826694,0.769936376,-2.106308351,-1
619,MODEL1,PARMS,sLB10,0.911565365,-1.896045134,-0.083690208,0.378543974,-0.868355597,0.325115648,-2.71559932,6.731937859,0.161805198,-0.16648962,0.067422967,-1
620,MODEL1,PARMS,sLB10,0.944660982,14.16280903,-0.391327109,0.955780482,-2.959719427,-0.675220807,2.032634565,-4.258135929,0.504272695,-1.314282651,2.871813557,-1
621,MODEL1,PARMS,sLB10,0.902660329,-1.494943633,-0.033009622,0.26946131,-1.452649601,0.123268433,-0.900973314,2.21004385,0.696511696,-1.323538672,2.321413608,-1
622,MODEL1,PARMS,sLB10,0.987810319,11.50587461,-0.013624131,-0.156165094,1.827817554,-0.556025448,1.849852449,-3.933589989,0.362823974,-1.579740408,4.105891898,-1
623,MODEL1,PARMS,sLB10,1.00899161,5.988594718,-0.221992575,0.204956619,0.324735078,-0.189993485,0.953756008,-2.397896472,0.409351585,-0.384889143,0.107462184,-1
624,MODEL1,PARMS,sLB10,0.883127822,19.95031686,-0.018600494,0.355544427,-1.527549465,-1.085972164,2.041408244,-3.099100763,0.363049604,-0.466267364,0.578155568,-1
625,MODEL1,PARMS,sLB10,0.955819191,4.090707453,-0.065231563,0.235105634,-0.837583318,-0.201181767,0.280485162,-0.112449639,0.667611901,-0.996907742,1.456121588,-1
