SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LB1
716,MODEL1,PARMS,LB1,0.79886217,13.30875504,0.066421078,-0.245306608,1.046436909,-0.631380465,1.49608768,-2.335492892,0.137752612,0.129333504,-0.52842741,-1
717,MODEL1,PARMS,LB1,0.783344035,20.69676262,0.138858714,-0.290503935,0.786055171,-1.013058513,3.214121831,-6.663185821,-0.213025747,1.582066745,-3.643335681,-1
718,MODEL1,PARMS,LB1,0.749445138,-0.017840627,0.311484729,-0.593619451,1.585209751,0.145238726,-1.021272469,2.329851889,-0.015685993,1.002162656,-2.331259067,-1
719,MODEL1,PARMS,LB1,0.741323536,11.79250665,0.158764309,-0.208509828,0.18774514,-0.570545256,1.337327817,-2.372129963,0.113257077,0.62353978,-1.548466039,-1
720,MODEL1,PARMS,LB1,0.769679414,13.2010724,-0.040190784,0.396460821,-1.751229385,-0.632977151,1.453483724,-2.522406081,0.228122713,0.02762597,-0.169679606,-1
721,MODEL1,PARMS,LB1,0.832484946,8.498071414,0.327426122,-0.719499778,2.432444728,-0.244730428,0.586741093,-1.188283555,-0.485287001,2.359930927,-5.198810636,-1
722,MODEL1,PARMS,LB1,0.722587656,10.71536649,0.10954167,-0.115788068,-0.123270324,-0.531815149,1.317154723,-2.11225388,0.257967446,0.12949792,-0.929105732,-1
723,MODEL1,PARMS,LB1,0.738892884,18.63643921,0.033787549,0.063636818,-0.586323058,-0.888416389,2.396081414,-4.32221746,-0.050043439,0.221392024,-0.128822187,-1
724,MODEL1,PARMS,LB1,0.721706718,9.174733225,0.053947744,-0.28378026,0.634296958,-0.414037961,1.040202624,-1.665820272,0.30689247,-0.340891293,0.552040644,-1
725,MODEL1,PARMS,LB1,0.719861288,2.046253711,-0.004685247,0.156885952,-0.897499291,0.053127995,-0.798747766,2.225808799,0.174859416,0.282020705,-1.076958993,-1
726,MODEL1,PARMS,LB1,0.69440102,11.20103778,0.124399465,-0.376167124,1.282273333,-0.546006801,1.672996346,-3.378709349,0.254580317,-0.295419733,0.569606038,-1
727,MODEL1,PARMS,LB1,0.770170807,19.7010165,-0.165688169,0.570453291,-2.590105454,-0.988628395,2.770336121,-5.438475672,0.282903229,-0.60222853,1.458216788,-1
728,MODEL1,PARMS,LB1,0.767632332,15.61031656,0.094480881,-0.430658889,2.111134466,-0.745451551,2.576317755,-4.470485224,-0.042387743,1.052611588,-2.800154189,-1
729,MODEL1,PARMS,LB1,0.71928965,21.04173199,0.090675788,-0.117066843,0.14763294,-1.026051123,2.82781794,-5.978151498,-0.197758696,1.309938408,-2.803640172,-1
730,MODEL1,PARMS,LB1,0.780326671,9.296660401,0.159132042,-0.148246369,-0.378179748,-0.374110768,0.888321904,-1.524630766,-0.065233481,1.435914066,-3.688486067,-1
731,MODEL1,PARMS,LB1,0.794757052,17.30316783,0.200520683,-0.522192573,1.871348043,-0.882271108,2.469294165,-4.70248915,0.033715912,0.371612451,-0.523666126,-1
732,MODEL1,PARMS,LB1,0.67300764,3.159031871,0.033552894,0.013349778,-0.60645183,0.051501543,-0.553827501,1.136496681,-0.088887151,1.151270072,-2.75609665,-1
733,MODEL1,PARMS,LB1,0.730004311,6.497904025,0.086728261,-0.18938707,0.4480282,-0.270144662,0.990648485,-2.6444718,0.261795867,0.306608551,-1.240441107,-1
734,MODEL1,PARMS,LB1,0.739823456,6.698902682,0.038205535,0.051037827,-0.68279527,-0.341047222,1.186530063,-2.137376425,0.526007588,-0.764350657,0.990478812,-1
735,MODEL1,PARMS,LB1,0.761618459,7.521139779,0.132060696,-0.266440793,0.291721969,-0.221186777,1.273370784,-2.94343252,-0.142052939,0.585760532,-1.19089679,-1
736,MODEL1,PARMS,LB1,0.738242121,3.463008683,-0.027067992,0.189292523,-0.915324609,-0.021055842,0.307272971,-0.862373455,0.180662933,0.069797469,-0.378718343,-1
737,MODEL1,PARMS,LB1,0.688112541,3.711151869,0.274161328,-0.604866086,2.009290539,-0.07705797,0.668809625,-1.508785571,-0.019647239,0.932741164,-2.361334798,-1
738,MODEL1,PARMS,LB1,0.708282968,11.4392239,0.02776998,-0.323840623,1.550705164,-0.5345914,2.699292615,-6.262267998,0.227392638,-0.594309983,1.559515587,-1
739,MODEL1,PARMS,LB1,0.788673864,7.701617804,0.067740834,-0.098391744,0.072531551,-0.214206871,0.710586333,-1.477832065,-0.197128737,1.477310481,-3.413278399,-1
740,MODEL1,PARMS,LB1,0.734130977,19.96656703,0.250747613,-0.707784588,2.537304192,-1.035124926,2.611787375,-5.359836871,-0.035384371,0.792135856,-1.730035751,-1
741,MODEL1,PARMS,LB1,0.697356092,15.40766381,0.104156509,-0.240136842,0.75535124,-0.766857497,1.735210247,-3.049185068,0.108610722,0.576553683,-1.630059162,-1
742,MODEL1,PARMS,LB1,0.741304653,-2.005854176,-0.009958925,0.202586486,-1.387567241,0.327783223,-1.770955579,4.408315379,0.089378696,0.679252545,-2.125912996,-1
743,MODEL1,PARMS,LB1,0.770302813,4.680563899,0.070805217,-0.09133831,-0.144284941,-0.127637253,-0.823335805,2.526841621,0.171108091,1.013966899,-2.940942514,-1
744,MODEL1,PARMS,LB1,0.723391922,7.097629869,0.339670575,-0.928553379,3.086546858,-0.311478316,1.201528389,-2.346426331,0.026814107,1.001664343,-2.687983489,-1
745,MODEL1,PARMS,LB1,0.75316171,19.48517124,0.04569121,0.141246929,-0.608945768,-1.033513202,2.767087698,-5.614882942,0.209658789,0.196018173,-0.666226672,-1
746,MODEL1,PARMS,LB1,0.835609556,10.2096803,-0.063777058,0.163315198,-0.689148188,-0.40311596,-0.171111855,0.762418717,0.105556948,0.845073275,-2.210799341,-1
747,MODEL1,PARMS,LB1,0.748953457,17.35234415,0.097308023,-0.222782973,0.639576526,-0.785409194,2.378393699,-5.095778209,-0.225828966,1.319507412,-2.841965257,-1
748,MODEL1,PARMS,LB1,0.655413253,12.89301836,-0.018805896,0.133870196,-0.945678033,-0.496028306,1.360773893,-2.731717114,-0.207321859,1.413772157,-3.204662243,-1
749,MODEL1,PARMS,LB1,0.712838411,3.640063693,-0.028741875,-0.093037403,0.323003337,-0.025890515,-0.286459082,0.347260998,0.198282798,0.319598088,-1.273820324,-1
750,MODEL1,PARMS,LB1,0.719043503,8.580174691,0.036965866,0.012091797,-0.065254017,-0.383919087,1.915306443,-4.117980789,0.229656751,-0.283278284,0.431643364,-1
751,MODEL1,PARMS,LB1,0.772733332,3.957467488,0.174991995,-0.549482078,2.169770956,0.027501641,-0.629342195,1.395698451,-0.303339145,1.457714334,-2.986426643,-1
752,MODEL1,PARMS,LB1,0.746223429,5.078053073,-0.026576075,-0.085971469,0.127341826,-0.194536814,0.980775635,-2.601618705,0.500053869,-1.081638159,2.309435954,-1
753,MODEL1,PARMS,LB1,0.805937122,18.94902654,0.041963476,-0.049451893,-0.474175024,-0.870948538,1.430439668,-2.605488621,-0.153731822,1.157082748,-2.551837146,-1
754,MODEL1,PARMS,LB1,0.715454154,5.771309121,0.18775392,-0.4865537,1.511605933,-0.265336241,1.296686597,-2.984993851,0.333578947,-0.411816514,0.816191339,-1
755,MODEL1,PARMS,LB1,0.758778106,-4.456653899,-0.007742689,-0.079622149,0.53041526,0.46581853,-1.722992689,3.417785443,0.120105872,0.511966207,-1.334118026,-1
756,MODEL1,PARMS,LB1,0.729652838,7.129664119,-0.044790922,-0.166552086,0.895591043,-0.292007657,0.734581207,-1.421899944,0.408833307,-0.654920816,1.181589356,-1
757,MODEL1,PARMS,LB1,0.83494349,1.670094695,0.101349529,-0.137086473,0.281183569,0.214580049,-1.304600834,3.143670006,-0.403920003,2.048855253,-4.822278782,-1
758,MODEL1,PARMS,LB1,0.681731536,13.90610952,0.117853724,-0.48972801,2.025088428,-0.711730874,1.713493231,-3.006676739,0.262213799,0.183045885,-0.756283564,-1
759,MODEL1,PARMS,LB1,0.756168067,20.24777994,-0.001809885,-0.120082974,0.654519278,-1.012777625,2.823349022,-5.772448828,0.071682852,0.537346207,-1.159069099,-1
760,MODEL1,PARMS,LB1,0.709825198,13.71953735,0.046381452,-0.313736741,1.276650093,-0.676831847,1.722179088,-3.411476041,0.262598528,-0.173881022,0.10808106,-1
761,MODEL1,PARMS,LB1,0.785335859,15.56029311,-0.063279521,0.466536428,-2.121485688,-0.783210575,1.363117512,-2.009445494,0.294997904,-0.144481692,0.119881498,-1
762,MODEL1,PARMS,LB1,0.689115204,0.533731675,0.141390802,-0.485221258,2.168375545,0.146067053,-0.183168456,0.240318024,0.017802117,0.797461034,-2.174316818,-1
763,MODEL1,PARMS,LB1,0.900041313,11.04842282,-0.079193719,0.112483008,0.083911372,-0.496271156,1.749108276,-3.723009904,0.32120757,-0.734613424,1.729049503,-1
764,MODEL1,PARMS,LB1,0.759653757,9.887729345,0.178025216,-0.538014932,1.998487934,-0.471480903,1.138680753,-2.187712129,0.176046919,0.410732863,-1.065650182,-1
765,MODEL1,PARMS,LB1,0.761308838,7.081454625,0.196475597,-0.856600103,3.203957335,-0.227214066,0.915913251,-2.207078367,-0.072535105,0.882105666,-1.924720798,-1
766,MODEL1,PARMS,LB1,0.704110123,8.216358259,0.29195546,-0.85292725,3.31956723,-0.397187612,0.721727927,-1.65657288,0.213105458,0.060880368,-0.013358445,-1
