SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,BronInt
815,MODEL1,PARMS,BronInt,1.224749541,25.0478132,0.135213968,0.137668099,-1.604801004,-1.110537512,4.245343733,-8.609949816,0.457306114,-1.324816611,2.89107024,-1
816,MODEL1,PARMS,BronInt,1.22054642,4.523713437,0.116819111,0.121197592,-1.133832998,0.253005828,0.064225976,-0.01918329,0.034024074,0.089982642,-0.224954801,-1
817,MODEL1,PARMS,BronInt,1.106899229,20.60422076,0.459474975,-1.012956203,3.903591058,-0.908954554,3.026639291,-5.913956055,0.439997711,-0.973624943,1.695500698,-1
818,MODEL1,PARMS,BronInt,1.198894633,-8.527896188,0.216558448,-0.520099471,2.073325923,0.973033942,-1.818824926,2.849124761,0.248495011,-0.639990683,1.44618008,-1
819,MODEL1,PARMS,BronInt,1.19276185,-3.386852792,0.170400581,-0.196979208,0.364786337,0.639379416,-1.622992641,3.630459262,0.302118038,0.288210006,-1.633493474,-1
820,MODEL1,PARMS,BronInt,1.251547494,-7.188071111,0.033380975,-0.240719352,0.926303126,0.873701459,-2.775460841,6.1986317,0.520115627,-0.671159594,1.097166177,-1
821,MODEL1,PARMS,BronInt,1.088765078,4.923139783,0.388141833,-0.871934904,2.489659691,0.152739368,0.226795235,-0.13106277,0.113709332,0.248991478,-1.534927347,-1
822,MODEL1,PARMS,BronInt,1.205452131,7.924320573,-0.082832564,0.39111126,-0.962607388,-0.07588382,0.394566004,-0.519829601,0.713149584,-1.502579635,2.647003185,-1
823,MODEL1,PARMS,BronInt,1.427376443,2.197424721,0.246761987,-0.409347435,0.485251699,0.299220041,-0.292302344,-0.112673233,0.297455677,-0.402864971,0.964844592,-1
824,MODEL1,PARMS,BronInt,1.275548074,8.994265876,0.330005952,-0.271365023,0.585175483,-0.213349723,1.511330933,-3.162236149,0.576853751,-2.050691146,4.391061706,-1
825,MODEL1,PARMS,BronInt,1.326313142,-1.671776552,0.047135403,0.175602697,-1.120648255,0.584654261,-0.381399193,0.28014974,0.320579598,-1.507995067,3.469173361,-1
826,MODEL1,PARMS,BronInt,1.151960915,5.085210469,-0.025091449,0.151909032,-0.273277851,0.119591731,-0.482214882,0.918885676,0.549290839,-0.639629173,0.955461137,-1
827,MODEL1,PARMS,BronInt,1.188826077,-5.413686529,0.396675589,-0.624316489,1.351975436,0.662095249,-1.429589315,2.669096471,0.453761634,-0.906834371,2.244028245,-1
828,MODEL1,PARMS,BronInt,1.239319781,4.627895539,0.311257158,-0.816022077,2.904037284,0.030096971,-0.560761138,1.735619213,0.727935873,-1.197183066,1.66296588,-1
829,MODEL1,PARMS,BronInt,1.194596881,-0.280202297,0.480100961,-0.4647288,0.566578109,0.244317877,0.478988086,-2.415884579,0.734098849,-1.526840348,3.090217432,-1
830,MODEL1,PARMS,BronInt,1.222204236,1.842410265,-0.033310897,0.05299904,0.272496059,0.451719511,-0.834083995,1.206286475,0.1260348,-0.493057647,1.425871382,-1
831,MODEL1,PARMS,BronInt,1.193675496,14.89716215,0.240135986,-0.331809099,0.762756289,-0.316631176,1.219859034,-2.457237588,-0.22193971,0.63444007,-0.902019508,-1
832,MODEL1,PARMS,BronInt,1.159996726,-0.199362062,0.212141262,-0.272408221,0.461441034,0.633413987,-1.551107664,3.864201768,-0.405882745,1.849232151,-4.616108392,-1
833,MODEL1,PARMS,BronInt,1.168399691,-9.446659034,0.159588867,-0.198492577,1.197935669,0.796390122,-1.131066312,1.117059558,1.164469668,-3.72004199,7.969599981,-1
834,MODEL1,PARMS,BronInt,1.156638681,-1.878211888,0.057754878,0.184152074,-0.776798081,0.593671215,-1.667104543,3.977567981,0.351178471,-1.396822396,2.997465409,-1
835,MODEL1,PARMS,BronInt,1.219944394,14.58396733,-0.013406507,0.308844165,-1.097730357,-0.388804295,2.210164498,-4.39376295,0.254446799,-0.158756445,-0.45318915,-1
836,MODEL1,PARMS,BronInt,1.188971309,-1.140518065,0.176852911,-0.011748329,-1.41379605,0.477074606,-1.304969926,3.082812072,0.423901383,-0.948852813,1.875163338,-1
837,MODEL1,PARMS,BronInt,1.145374239,1.67610243,0.172752868,-0.14762334,0.181431672,0.226737579,0.049402147,0.314636326,0.69119444,-1.297011428,2.122952454,-1
838,MODEL1,PARMS,BronInt,1.172410471,-1.684789807,0.045836061,-0.003705734,-0.431750808,0.610383253,-1.265408993,2.322705157,0.284658184,-0.575579674,0.901570515,-1
