SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sRB4
275,MODEL1,PARMS,sRB4,0.563071654,3.108094299,0.032351787,0.187741567,-1.351377808,-0.126649964,0.369582227,-1.008808879,0.365665889,-0.760692087,1.707974721,-1
276,MODEL1,PARMS,sRB4,0.459093507,3.996863418,-0.135369251,0.61032918,-2.955302073,-0.094714542,0.308757622,-0.718102165,0.239507627,-0.6668445,1.637303444,-1
277,MODEL1,PARMS,sRB4,0.574462817,4.95875055,0.051032278,-0.144386502,0.276402689,-0.246075718,1.253670206,-2.748826551,0.39290627,-0.920178484,1.790076334,-1
278,MODEL1,PARMS,sRB4,0.498753328,7.000187454,0.174966201,-0.280798377,0.412828546,-0.336301248,0.847935475,-1.681083238,0.105161031,0.342378052,-0.910601416,-1
279,MODEL1,PARMS,sRB4,0.495040928,0.926199722,0.133982204,-0.396118999,1.22743763,0.03201837,0.063790699,-0.539316499,0.187605558,-0.219975347,0.444420381,-1
280,MODEL1,PARMS,sRB4,0.95985964,-3.237103063,0.059901923,0.200501046,-1.650373741,0.209230818,-0.343555657,-0.078206171,0.55794006,-1.499103409,3.249326542,-1
281,MODEL1,PARMS,sRB4,0.588091897,1.887684109,0.002661069,0.029803234,-0.456722569,-0.033855023,-0.101661356,0.078760914,0.343603295,-0.404823724,0.540730942,-1
282,MODEL1,PARMS,sRB4,0.555884783,9.527858965,0.02315725,-0.059331201,0.409243339,-0.484360377,2.190145061,-4.9702202,0.237168322,-0.438661233,0.940050885,-1
283,MODEL1,PARMS,sRB4,0.525854571,1.912684187,0.037889161,-0.0754079,-0.35845927,0.005209826,-0.0548119,-0.193009665,0.182405698,-0.314282849,0.813966636,-1
284,MODEL1,PARMS,sRB4,0.543911339,-1.762192673,0.080655112,0.087979863,-0.684401612,0.155778356,-0.238331981,0.183031926,0.324261582,-0.637041137,1.433038476,-1
285,MODEL1,PARMS,sRB4,0.51045485,5.428942284,0.061259468,-0.155131491,0.404360672,-0.223078257,1.099194212,-2.91835184,0.173947667,-0.112239605,0.207598002,-1
286,MODEL1,PARMS,sRB4,0.580871259,-2.20866195,-0.006357715,-0.014794754,-0.133521408,0.272323596,-1.038087848,1.671364178,0.139972171,0.307851583,-0.757937151,-1
287,MODEL1,PARMS,sRB4,0.926407932,-1.030167828,-0.024050199,0.30911667,-2.00316064,0.119229041,0.30990622,-1.530016986,0.450109845,-1.110378436,2.532895561,-1
