SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LLB6
227,MODEL1,PARMS,LLB6,1.105591496,6.294916464,0.199759621,-0.739669693,2.676809132,0.160861162,-1.361560313,3.007742075,-0.303943554,2.813752667,-7.02086274,-1
228,MODEL1,PARMS,LLB6,1.176638936,-14.38787249,0.460887217,-1.446873651,4.988233156,1.235890612,-5.885545745,12.81529271,0.152527364,0.93047442,-2.355490548,-1
229,MODEL1,PARMS,LLB6,1.072447358,-2.352208798,0.45504994,-1.703280808,6.914494633,0.484829674,-2.848224218,6.216214546,0.221632953,1.049877053,-2.835068389,-1
230,MODEL1,PARMS,LLB6,1.114250303,1.001543683,0.336698348,-1.322630322,5.577002661,0.271257506,-2.177764483,5.344110429,0.341121777,0.547990394,-1.630822363,-1
231,MODEL1,PARMS,LLB6,1.14644914,-3.884682161,0.151870394,-0.723543838,2.449091392,0.665898911,-3.681586113,8.449911996,0.200300425,1.538369489,-4.537169709,-1
232,MODEL1,PARMS,LLB6,1.115151103,8.513370118,0.087936171,-0.068222244,0.024901847,-0.142285228,-0.123465773,0.530612308,0.361330567,0.618801478,-1.933743715,-1
233,MODEL1,PARMS,LLB6,1.075353569,4.390743528,0.528955103,-1.56866624,5.907234049,0.106215003,-0.956392857,2.180991785,-0.081702057,2.012388748,-4.657952071,-1
234,MODEL1,PARMS,LLB6,1.21743269,1.59295813,0.189548846,-0.838143397,2.736495658,0.286426864,-1.863062236,4.604893539,0.335211478,0.265684542,-1.081601088,-1
235,MODEL1,PARMS,LLB6,1.102153828,0.685312989,0.194227825,-0.345941238,0.383573273,0.47831241,-3.097494803,7.569853144,-0.253672423,2.530115475,-6.461624095,-1
236,MODEL1,PARMS,LLB6,1.255974606,12.25616768,0.250228354,-0.882193139,3.333575046,-0.186674617,1.154885347,-1.813014703,-0.432835166,2.009348061,-4.739201644,-1
237,MODEL1,PARMS,LLB6,1.092850754,10.27815897,0.186020685,-0.557210997,1.915101883,-0.027668827,-1.709547428,3.640846788,-0.426256428,2.591111047,-5.805582446,-1
238,MODEL1,PARMS,LLB6,1.048226783,9.274391415,0.109319244,-0.539864914,2.277044248,-0.128294977,-0.38415399,1.273609571,0.166328439,1.018234757,-2.767255164,-1
239,MODEL1,PARMS,LLB6,1.124851437,8.276950036,0.148996166,-0.10735148,-0.691985111,-0.043627327,-1.773757784,5.084547291,0.125347953,0.460341858,-1.520084788,-1
240,MODEL1,PARMS,LLB6,1.113771413,-2.533897186,0.27150676,-0.82201484,3.165734226,0.469853646,-2.55449718,5.760474543,0.501220727,-0.621295122,1.001516575,-1
241,MODEL1,PARMS,LLB6,1.127908427,-9.215085846,0.024270651,-0.431948463,1.294045702,1.116915568,-5.40992333,12.39432423,-0.067560364,1.110894098,-2.790511746,-1
242,MODEL1,PARMS,LLB6,1.032414149,-0.306517785,0.134524327,-0.56507482,2.571417055,0.433533674,-1.741437928,3.909885956,0.254410023,0.361343611,-1.544630142,-1
243,MODEL1,PARMS,LLB6,1.09299204,-0.337897229,0.182138463,-0.823536134,3.823491581,0.3754715,-2.444785179,5.755699308,0.376424095,0.649209524,-2.196613912,-1
244,MODEL1,PARMS,LLB6,1.114751681,0.45893866,0.530538023,-1.592181535,5.708536179,0.238750528,-0.77508456,1.678530195,0.368065332,0.221299247,-1.028067291,-1
245,MODEL1,PARMS,LLB6,1.156605461,-11.89160187,0.262682252,-0.809478021,2.787887311,1.183559255,-4.437529756,9.417063919,-0.04788785,1.117512777,-2.614176999,-1
246,MODEL1,PARMS,LLB6,1.09323616,-3.621483196,0.451437741,-1.268714492,4.582898546,0.594701607,-2.451643638,5.677428272,0.02340184,1.750873954,-4.731827184,-1
247,MODEL1,PARMS,LLB6,1.138457325,3.7031555,0.251720069,-0.573430638,1.69235127,0.057190541,-1.068098767,2.539038388,0.559150049,-0.219425993,0.050196286,-1
248,MODEL1,PARMS,LLB6,1.053696384,7.909669614,0.424079678,-1.019850777,2.994314231,0.034444441,-2.48824623,6.7271726,-0.403452432,2.75781977,-6.473322214,-1
249,MODEL1,PARMS,LLB6,1.117698454,14.01358796,0.501435632,-1.520326555,5.936587061,-0.499836526,0.421240755,0.20934494,0.067276888,1.702090447,-4.577175772,-1
250,MODEL1,PARMS,LLB6,1.05508707,3.712605694,0.29072111,-1.084001841,4.524297282,0.143211348,-1.970639236,5.576198152,0.360557267,-0.141278443,-0.267592713,-1
251,MODEL1,PARMS,LLB6,1.207854803,-8.76357561,0.220732613,-0.268587964,0.450366231,0.944046365,-4.172486286,8.616178943,0.039665092,1.895985231,-4.679880907,-1
252,MODEL1,PARMS,LLB6,1.231942315,11.04511656,0.326015163,-1.628688488,7.399054294,-0.184407106,-1.15598474,3.183686041,-0.173216298,2.414993426,-6.358117652,-1
253,MODEL1,PARMS,LLB6,1.126473281,2.653137694,0.238972301,-0.654086528,2.317298321,0.084228274,-0.68389559,1.958151386,0.682316953,-0.324767746,-0.074102128,-1
254,MODEL1,PARMS,LLB6,1.121516413,8.480019662,0.217988622,-0.693966747,2.50010003,0.110316375,0.037612208,-0.630585629,-0.625340473,2.617159315,-5.606614595,-1
255,MODEL1,PARMS,LLB6,1.159812717,2.26519958,0.496419657,-1.307813985,4.460766716,0.20371581,-2.56155923,5.28077433,0.160707306,1.722164779,-4.339485305,-1
256,MODEL1,PARMS,LLB6,1.101368485,-1.36505411,0.235255487,-0.515447659,1.690348887,0.47424401,-2.34212756,5.457911652,0.215664383,0.849864093,-2.458878896,-1
257,MODEL1,PARMS,LLB6,1.153209875,9.729639394,0.632212921,-1.708009713,5.144427101,-0.209821076,-0.396289816,1.08045244,-0.094941325,1.7332312,-4.054219242,-1
258,MODEL1,PARMS,LLB6,1.244702843,-6.015394835,0.306838984,-1.059116224,3.916192131,0.768199319,-2.906658674,6.025482674,0.121139986,0.947507566,-2.516199804,-1
259,MODEL1,PARMS,LLB6,1.196491253,4.345201876,0.227569369,-0.338569783,0.753103139,0.132075028,-1.456117159,3.376623213,0.113569117,2.044625047,-5.519315564,-1
260,MODEL1,PARMS,LLB6,1.206732113,-2.496742505,0.257241895,-0.662190744,2.203493799,0.565453784,-2.170619227,4.648158914,0.087371248,1.17864558,-2.974328913,-1
261,MODEL1,PARMS,LLB6,1.132849934,0.887803842,0.408388236,-1.193884229,4.643919802,0.336752361,-1.638385512,3.940470453,0.015874568,1.149942403,-2.72882274,-1
262,MODEL1,PARMS,LLB6,1.144724315,0.291637346,0.465857121,-1.641605824,6.687765598,0.250717873,-1.58855101,3.609673959,0.452651667,0.090428356,-0.715071159,-1
263,MODEL1,PARMS,LLB6,1.089184484,-3.06629641,0.583001472,-2.050066138,7.965588546,0.322553385,-1.804818744,2.90952736,0.808849853,-0.499187133,0.712530937,-1
264,MODEL1,PARMS,LLB6,1.286683162,1.665673009,-0.188907824,0.281243859,-1.033685073,0.456868933,-1.713704738,3.087616072,0.080571652,0.457063534,-0.770970356,-1
265,MODEL1,PARMS,LLB6,1.024331272,-8.324292756,0.431269026,-1.175433575,3.661955468,0.816500704,-3.651549587,7.651310055,0.333249755,0.450953662,-1.494780737,-1
266,MODEL1,PARMS,LLB6,1.158777637,-1.459621741,0.120103081,-0.497026567,2.011367648,0.412771502,-1.815194667,4.210828613,0.533471841,-0.24661957,0.192082051,-1
267,MODEL1,PARMS,LLB6,1.159114622,-0.133209208,0.428365472,-1.303150696,4.510061229,0.201906556,-1.611507252,3.197605616,0.755864975,-0.848277194,1.695479759,-1
268,MODEL1,PARMS,LLB6,1.15301117,8.375383258,0.312659187,-0.788462063,2.36164916,-0.220358146,-0.648528394,1.689056816,0.464655951,0.429970425,-1.583992706,-1
269,MODEL1,PARMS,LLB6,1.076335298,4.489776715,0.047959455,-0.153625015,0.448445745,0.110002359,0.504926195,-1.252072996,0.317397225,0.839465538,-3.12509615,-1
270,MODEL1,PARMS,LLB6,1.126159342,7.94592664,0.217067093,-0.722114983,1.965604838,-0.197747456,-0.037213614,-0.056714049,0.617382399,-0.578909849,1.373981292,-1
271,MODEL1,PARMS,LLB6,1.149127495,13.07714248,0.482831831,-1.655041298,6.314980548,-0.445546647,0.951459816,-1.769920347,0.07845241,1.632628196,-4.197594822,-1
