SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RUL
771,MODEL1,PARMS,RUL,1.44887689,-13.98524186,-0.351800316,1.117412827,-4.9935244,1.215855176,-3.080553599,6.579878925,0.687578171,-1.331950749,2.113537037,-1
772,MODEL1,PARMS,RUL,1.342173483,20.36994935,0.086994642,-0.308950064,1.382810842,-0.933145739,0.912358072,0.694872292,0.621900335,-0.497969248,-0.817828383,-1
773,MODEL1,PARMS,RUL,1.240283265,8.331430755,0.579429934,-1.549087843,5.668447572,-0.447160191,1.940731973,-4.365323276,0.950292441,-1.875992626,3.298192588,-1
774,MODEL1,PARMS,RUL,1.397639267,-15.44169779,0.242881741,-0.798817018,2.868754387,1.144230894,-2.450894529,4.634544344,0.765059788,-2.225327705,4.730248185,-1
775,MODEL1,PARMS,RUL,1.338992417,-13.77338309,0.063263162,-0.219004916,1.661826698,1.315531558,-3.020220262,5.83864128,-0.139014317,1.297701187,-3.237617647,-1
776,MODEL1,PARMS,RUL,1.353399951,8.056318158,0.249224229,-0.576965316,1.939367485,-0.236057587,0.360291459,-0.739784321,0.57236628,-1.000345162,2.041464011,-1
777,MODEL1,PARMS,RUL,1.237061194,6.269416639,-0.168890407,0.161593025,0.523269347,0.135625321,-1.341075899,3.734866578,0.055738405,0.978552965,-2.842821774,-1
778,MODEL1,PARMS,RUL,1.274093151,-13.76833975,-0.108632717,0.304189923,-0.700936479,1.24759945,-3.280499793,7.10438926,0.276585995,0.036172547,-0.497761365,-1
779,MODEL1,PARMS,RUL,1.196430209,-7.836045379,0.115981567,-0.18462263,0.099618625,0.813491708,-2.195675745,4.625056164,0.426658297,-1.179351733,2.177123096,-1
780,MODEL1,PARMS,RUL,1.304837427,8.199279564,0.035626408,0.0487144,0.50654514,-0.16924195,0.894028065,-2.394217914,0.400064094,-0.156781645,-0.017659481,-1
781,MODEL1,PARMS,RUL,1.318580351,-24.66394162,-0.023325821,0.067067682,-1.429231189,1.794727785,-4.705966211,9.036413207,0.720914092,-1.921036059,3.962070195,-1
782,MODEL1,PARMS,RUL,1.30957633,4.177310745,0.311058553,-0.598376527,1.92538367,0.100762297,0.518182719,-1.618761651,0.159651673,-0.450225725,1.220180239,-1
783,MODEL1,PARMS,RUL,1.350963038,-0.83190368,0.216987059,-0.46201994,0.654550458,0.308760096,-1.141293244,2.895651034,0.59904414,-1.413675332,2.770243406,-1
784,MODEL1,PARMS,RUL,1.25811778,-12.08479635,0.229203734,-1.249061266,6.010447094,1.06610332,-3.268457122,6.963054642,0.381474699,-0.801423924,1.558381158,-1
785,MODEL1,PARMS,RUL,1.351169601,-26.11397927,0.064879118,-0.04621721,-0.156909458,1.907773782,-6.351368798,13.32498073,0.471644934,-0.366490025,-0.110189664,-1
786,MODEL1,PARMS,RUL,1.411368409,3.159136281,-0.021803493,0.327983937,-1.536821699,0.217342923,-0.787687429,2.28584844,0.241040266,0.141905306,-0.78876753,-1
787,MODEL1,PARMS,RUL,1.300120458,-10.96060816,0.076406057,-0.038716445,-0.813595405,0.918809767,-1.826880982,2.646238878,0.718467045,-1.895663457,4.418197225,-1
788,MODEL1,PARMS,RUL,1.250857983,4.572965397,0.210983874,-0.748047835,2.949995549,0.121627095,-0.813425278,1.89326083,0.121231774,0.739666077,-2.328642163,-1
789,MODEL1,PARMS,RUL,1.221916586,-9.631688844,0.25745982,-1.187254022,5.05450017,0.96012551,-1.715855431,2.770695906,0.231520081,-1.917671753,5.23690371,-1
790,MODEL1,PARMS,RUL,1.318075484,10.40040376,0.010195366,0.157597454,-0.553864193,-0.278803102,1.523607932,-3.477417817,0.43574528,-0.619834852,0.792897282,-1
791,MODEL1,PARMS,RUL,1.574058405,0.022001637,0.344221538,-1.037204092,4.926305925,0.26091782,0.077592239,-0.568173421,0.435724534,-0.288049264,-0.402778047,-1
792,MODEL1,PARMS,RUL,1.208980377,-11.11726107,0.52759484,-1.61373618,6.88508675,0.99301533,-1.329762555,1.83906156,0.127698607,-1.113942719,3.022804648,-1
793,MODEL1,PARMS,RUL,1.217542408,14.44236322,0.191076383,-1.016302355,4.028636291,-0.515205797,1.596394761,-3.125928828,0.360007373,-0.914146968,2.131647303,-1
794,MODEL1,PARMS,RUL,1.380151357,5.035437524,0.412085421,-1.280594299,4.41151867,0.108792145,0.047745973,0.574393064,-0.065455325,-0.036190659,0.181957603,-1
795,MODEL1,PARMS,RUL,1.343146761,-1.157917367,0.082759169,-0.643475532,3.061891623,0.561319028,-1.252438073,2.097063788,-0.082596868,0.474921882,-0.834234465,-1
796,MODEL1,PARMS,RUL,1.295693764,7.841475008,-0.098246312,1.196867375,-5.189541711,-0.165642504,1.982734047,-4.675285322,0.581140174,-1.962550387,4.379267601,-1
797,MODEL1,PARMS,RUL,1.25831923,-4.982749504,0.480989738,-1.013852448,3.608619553,0.48526906,-2.01701485,4.505802203,0.523196284,-0.249963996,-0.175796095,-1
798,MODEL1,PARMS,RUL,1.324824799,4.387008392,0.100949356,-0.292112301,1.194605705,0.087058608,1.421513721,-2.913277156,0.305054102,-0.118452718,-0.675478829,-1
