SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RLL
606,MODEL1,PARMS,RLL,1.040633316,-2.551596307,0.177824887,-1.23329346,5.007748702,0.607634865,-0.703289858,0.428906595,-0.343266833,1.103549423,-2.028226483,-1
607,MODEL1,PARMS,RLL,0.889137551,0.53596539,0.051935895,-0.26307857,0.309585668,0.330158514,-1.025759262,1.607500559,0.060103496,1.003332593,-2.563770747,-1
608,MODEL1,PARMS,RLL,0.991742925,14.66979555,0.061789043,-0.363280365,1.012278338,-0.565670653,1.721230721,-3.773095561,0.167464302,0.163167179,-0.106509071,-1
609,MODEL1,PARMS,RLL,1.019569736,6.179934159,0.211735629,-0.631862336,1.324044677,-0.07114725,0.777902847,-2.142749861,0.127357337,0.170701155,-0.599790016,-1
610,MODEL1,PARMS,RLL,0.969269423,8.547976286,0.098040628,-0.467759045,1.434087519,-0.093929318,0.694526819,-1.093349954,-0.199898736,1.282176907,-3.489690967,-1
611,MODEL1,PARMS,RLL,1.033828272,2.184960554,0.171128769,-1.001398578,3.447998674,0.23213674,-1.390519495,3.317646848,0.044163324,0.36469743,-0.788231732,-1
612,MODEL1,PARMS,RLL,1.028265687,17.01139567,0.06515158,-0.64060118,2.019466831,-0.60572616,1.981838814,-4.601151656,-0.172315899,1.663917253,-4.025348964,-1
613,MODEL1,PARMS,RLL,1.100343483,-12.07050653,0.083805331,-0.495172526,1.747366424,1.094700062,-3.130437038,6.663179973,0.085725487,-0.275480915,0.696934228,-1
614,MODEL1,PARMS,RLL,0.974270758,-1.36931178,0.210421856,-0.984703709,3.756156906,0.530088546,-1.388979576,2.068908042,-0.422378981,2.460512152,-5.549486928,-1
615,MODEL1,PARMS,RLL,0.957457129,15.83892958,0.138755612,-0.583204784,1.587557595,-0.646657621,2.212169489,-4.72814823,0.136900521,0.546167651,-1.767288658,-1
616,MODEL1,PARMS,RLL,1.013925201,-1.141685297,0.140653145,-0.310476016,0.41610325,0.452109253,-1.054953544,1.620315167,-0.122147473,1.309554914,-3.244150584,-1
617,MODEL1,PARMS,RLL,0.937287913,15.18912504,0.084900241,-0.269477945,0.331111575,-0.533965893,1.658565857,-2.861014092,-0.143923129,1.693260596,-4.225857627,-1
618,MODEL1,PARMS,RLL,0.918171572,2.83416413,-0.180590193,-0.210801713,0.710429999,0.326064662,-2.015195639,4.860204946,-0.091461659,1.118373148,-3.066626549,-1
619,MODEL1,PARMS,RLL,0.96084317,4.816678513,0.094494477,-0.662190978,2.124543004,0.202124256,-2.18200603,5.023237876,-0.329447398,1.462143267,-3.06390314,-1
620,MODEL1,PARMS,RLL,1.079170926,9.159058663,-0.068303182,-0.076169547,0.41196443,-0.13195955,0.905781169,-2.224737418,-0.098389104,1.535740656,-3.950741811,-1
621,MODEL1,PARMS,RLL,0.973512492,7.330741754,-0.01372919,-0.494640079,2.424253223,-0.123972153,0.570437291,-1.718427258,0.278527803,0.335095814,-1.190956871,-1
622,MODEL1,PARMS,RLL,1.026267311,16.23270299,0.199769368,-0.950523853,3.240001744,-0.613050774,1.873019902,-4.813839475,-0.011412836,0.090950347,0.623661875,-1
623,MODEL1,PARMS,RLL,0.903070888,9.576758774,-0.023622246,0.056555265,-0.735878258,-0.1528688,0.775680767,-1.343007688,-0.155660973,1.789065742,-4.901256023,-1
624,MODEL1,PARMS,RLL,0.993460201,10.98529046,0.069102996,-0.168512367,0.345136698,-0.257778452,1.350816999,-2.927413689,-0.185325995,1.531397487,-3.531607807,-1
625,MODEL1,PARMS,RLL,1.02542365,3.075982299,-0.044429256,-0.152200667,0.132513013,0.245920394,-0.172293076,0.284484394,-0.038332058,0.489535434,-1.391176572,-1
626,MODEL1,PARMS,RLL,1.074929471,0.560604757,0.044723051,-0.547516782,2.200578359,0.324200632,-1.553698398,3.838750764,0.104629898,0.722178695,-2.00286422,-1
627,MODEL1,PARMS,RLL,1.001331958,10.85631803,-0.10856932,0.103283283,-0.736786904,-0.283853449,0.244697773,0.000337488,0.169608692,0.242215962,-0.681078356,-1
628,MODEL1,PARMS,RLL,1.001343847,6.801335903,0.085696936,-0.880879296,3.104676694,0.027358225,-0.210397325,-0.638580206,-0.146552835,1.144680761,-2.165297967,-1
629,MODEL1,PARMS,RLL,1.043426853,4.659378733,0.065828654,-0.407541044,1.213885023,0.202041174,0.553359712,-2.026457949,-0.393131495,1.23281512,-2.705463537,-1
630,MODEL1,PARMS,RLL,0.978090803,0.985176808,0.252620517,-0.651324758,1.61442437,0.339744346,-0.922338163,1.325293839,-0.342687609,2.780339233,-6.534916687,-1
631,MODEL1,PARMS,RLL,1.039268534,16.31504365,-0.039594317,-0.06648266,0.010372345,-0.438091818,1.426010556,-2.943720168,-0.575800554,2.760949393,-6.062697488,-1
632,MODEL1,PARMS,RLL,0.990663276,18.06627905,0.086861504,-0.890973846,3.277779837,-0.67094209,2.384196888,-5.267958424,-0.136886318,1.000694529,-2.295585693,-1
633,MODEL1,PARMS,RLL,1.145649857,8.897809861,0.185331462,-1.008564391,3.9725701,-0.125163032,-0.564613315,1.077095757,-0.217804935,1.403744867,-2.844783781,-1
634,MODEL1,PARMS,RLL,0.985292592,9.219622166,0.028716643,-0.114544612,-0.204748612,-0.159868744,0.91959928,-1.828738564,-0.096550722,1.13562996,-2.742363528,-1
635,MODEL1,PARMS,RLL,0.929208117,3.970145431,-0.010752445,-0.278536001,1.108603635,0.230988598,-1.393878413,3.012724871,-0.239209347,1.631983841,-3.798877715,-1
636,MODEL1,PARMS,RLL,0.956770058,9.434589768,0.16632556,-0.506979793,0.980404844,-0.207445999,1.345708878,-2.828548849,-0.029721588,0.111232844,-0.239694695,-1
637,MODEL1,PARMS,RLL,0.992421075,8.377393311,0.07395221,-0.709222554,2.290508104,-0.152008244,1.432716348,-4.010113581,0.173144771,-0.752137475,1.979585639,-1
638,MODEL1,PARMS,RLL,1.039108839,-6.470134403,0.050482656,-0.373467041,1.074045872,0.839747509,-2.40806504,4.980795899,-0.195496162,0.857963085,-1.886559849,-1
639,MODEL1,PARMS,RLL,1.052376507,-9.264788868,0.050193038,-0.710479893,3.202000577,0.986697067,-4.071897666,8.151228037,-0.064311708,1.275526729,-3.206648726,-1
640,MODEL1,PARMS,RLL,0.957013281,3.699495466,0.046205363,-0.338678401,0.589297504,0.167081134,0.184004566,-0.924237661,-0.034513367,0.649081022,-1.635706019,-1
641,MODEL1,PARMS,RLL,0.951228354,-1.960349009,0.006722251,-0.331961913,1.037056928,0.537998847,-1.873472315,3.994409713,-0.09778034,0.854611825,-1.975402012,-1
642,MODEL1,PARMS,RLL,1.076455142,6.004522165,0.124749077,-0.529390323,1.401159971,-0.038893359,-0.193435785,1.220376356,0.102179192,0.972623065,-2.99766174,-1
643,MODEL1,PARMS,RLL,0.99064365,3.617326843,-0.122788744,-0.314215189,1.104785303,0.179610562,-0.802036133,1.656808644,0.214103799,0.128618863,-0.783879767,-1
644,MODEL1,PARMS,RLL,0.961219354,22.53593085,0.073972141,-0.111199319,-0.694165385,-0.986686777,2.532584631,-4.60023319,-0.117216302,1.891342519,-4.759982502,-1
645,MODEL1,PARMS,RLL,1.017657712,18.20448865,-0.015124902,0.241393072,-1.581379239,-0.744452957,2.16189641,-3.92217642,0.041718194,1.239220547,-3.303858772,-1
646,MODEL1,PARMS,RLL,1.000465237,0.473280121,0.197837846,-1.036349992,3.469843781,0.345481749,-1.311528961,1.825843518,-0.043946476,1.036133178,-2.369466683,-1
647,MODEL1,PARMS,RLL,1.107330796,5.200476367,-0.044915525,-0.183743822,0.363113077,0.255608212,-0.522969557,0.455667492,-0.552768904,2.183107615,-4.639927414,-1
648,MODEL1,PARMS,RLL,0.985756302,16.87233389,0.038859527,-0.420064654,1.152530586,-0.721088955,2.706342166,-6.254651217,0.244916896,0.38871084,-1.349381791,-1
649,MODEL1,PARMS,RLL,1.004587357,15.25535379,0.135300711,-0.133372992,-0.585234904,-0.567002658,1.239910574,-3.358463626,-0.066899401,1.39677309,-3.405899081,-1
650,MODEL1,PARMS,RLL,0.938707529,-0.837866779,0.217548522,-0.844068532,2.833228874,0.381758204,-0.570146041,0.117485638,0.003912564,0.580324286,-0.875373855,-1
651,MODEL1,PARMS,RLL,0.943967392,8.051220336,-0.045635649,-0.42384274,1.454859397,-0.023047375,-0.507975939,1.210734737,-0.13457252,1.007771332,-2.141154542,-1
652,MODEL1,PARMS,RLL,1.027521327,-2.709320264,-0.091553727,-0.023677653,0.191473901,0.595489076,-1.583751595,3.360284894,-0.085279772,1.323476079,-3.426629576,-1
653,MODEL1,PARMS,RLL,0.983825915,13.43120521,0.050871504,-0.503170084,1.344322942,-0.366923328,1.487909365,-3.298233812,-0.200625308,0.523058738,-0.723364392,-1
