SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB4_5
730,MODEL1,PARMS,RB4_5,0.872474112,12.62667472,0.246685535,-0.699167133,1.89898442,-0.59851182,1.582746253,-3.29593723,0.455821123,-0.908018318,1.995100457,-1
731,MODEL1,PARMS,RB4_5,0.888764336,5.841718,0.152288489,-0.684105658,2.638221231,-0.149877874,-0.423547542,1.520275879,0.475773823,-1.133578371,2.348757769,-1
732,MODEL1,PARMS,RB4_5,0.760884721,3.688617363,-0.160621864,0.40089309,-2.218758154,0.112901348,-1.169779332,2.599948049,0.293966638,-0.465924884,0.802978235,-1
733,MODEL1,PARMS,RB4_5,0.939615934,-2.745042785,-0.113281401,-0.02472256,-0.190997797,0.388638439,-1.394849343,2.922646337,0.660392399,-1.522587535,3.151795319,-1
734,MODEL1,PARMS,RB4_5,0.866349576,9.183918165,0.077556353,-0.338859054,0.582376809,-0.374960946,0.789872114,-1.212813681,0.626965512,-1.838105552,4.128462665,-1
735,MODEL1,PARMS,RB4_5,0.943030091,3.119922279,0.162914542,-0.463467522,0.721912685,0.015105065,-0.608055953,1.248569677,0.469349261,-1.449465808,3.28777002,-1
736,MODEL1,PARMS,RB4_5,0.828762019,8.337612286,0.019270817,-0.089368735,-0.082056958,-0.279017713,0.972861989,-1.27616818,0.456714952,-0.867152715,1.134381123,-1
737,MODEL1,PARMS,RB4_5,0.901525376,8.956923364,0.022337535,0.07129426,-1.046565474,-0.256783248,0.248978866,0.018524335,0.278265144,-0.72677276,1.801806881,-1
738,MODEL1,PARMS,RB4_5,0.862596861,7.63902207,-0.005216877,-0.100021917,0.101742364,-0.262142131,1.885072897,-5.00718333,0.615720378,-2.502548812,6.217841701,-1
739,MODEL1,PARMS,RB4_5,0.813329216,15.41730547,0.131539503,-0.429595521,0.866298407,-0.732759488,3.04999267,-6.431506428,0.420584992,-1.168171739,2.420953122,-1
740,MODEL1,PARMS,RB4_5,0.854351002,11.08409631,0.146242928,-0.424866967,1.217462483,-0.390361252,0.973164042,-2.276706692,0.173131465,-0.340261171,0.946721429,-1
741,MODEL1,PARMS,RB4_5,0.810169483,4.96008059,-0.224286839,0.615149458,-2.05327926,-0.124289212,0.81341827,-2.010209714,0.867818531,-2.301497515,4.878480509,-1
