SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RMB
667,MODEL1,PARMS,RMB,1.592513114,3.022447489,0.325554137,-0.407710346,0.732799672,0.345189139,-0.242245614,-0.476573539,0.655804806,-0.502526498,1.156626391,-1
668,MODEL1,PARMS,RMB,1.532617096,23.82099449,0.490336454,-1.54347859,5.066491526,-0.852538337,3.669386272,-7.640413329,0.385719535,-0.107122698,-0.327370214,-1
669,MODEL1,PARMS,RMB,1.395010312,-6.520013719,0.108510646,-0.298676135,1.060891059,1.013219336,-3.653432144,8.550968314,0.574426679,-0.233902612,-0.312176356,-1
670,MODEL1,PARMS,RMB,1.601017105,10.89355562,-0.064746138,-1.109615043,6.335440274,0.073063049,1.709884459,-4.641207939,0.452062712,-0.270602351,0.431779844,-1
671,MODEL1,PARMS,RMB,1.553322954,-13.40212733,0.196094749,-0.55971625,2.173214895,1.628731565,-5.066063923,10.05469762,-0.107647677,1.253093752,-2.942323748,-1
672,MODEL1,PARMS,RMB,1.605232705,3.777197995,0.273575671,-1.062910397,3.502523046,0.518716057,-2.485068751,4.440051665,0.081162007,1.347985976,-3.069025292,-1
673,MODEL1,PARMS,RMB,1.493597762,-0.759771255,0.726000913,-1.81688311,6.118316245,0.516590399,-1.161592779,3.070112725,0.490745375,0.196410812,-1.351699673,-1
674,MODEL1,PARMS,RMB,1.605847596,6.199680705,0.179722008,-0.622258865,1.908014757,0.475578453,-1.132393814,1.734865625,-0.235259272,1.447940821,-3.02947361,-1
675,MODEL1,PARMS,RMB,1.407182196,-1.908149041,0.137831543,-0.300405833,0.487060947,0.95243682,-2.019365256,3.511989221,-0.199451241,1.010834481,-1.767712594,-1
676,MODEL1,PARMS,RMB,1.553242829,-9.912743652,0.476591851,-1.451171984,5.800666014,1.108900692,-5.109527001,12.58351493,0.735934926,-1.11323935,1.80883874,-1
677,MODEL1,PARMS,RMB,1.492681629,11.35290583,0.136028461,-0.249552999,0.66402416,-0.195967183,1.158168571,-1.978186487,1.048263739,-2.853643667,6.716944799,-1
678,MODEL1,PARMS,RMB,1.403429792,6.660154021,0.51310778,-1.65035178,6.016016219,0.274743685,-1.027202036,2.305199232,0.107842246,0.349296569,-0.901593211,-1
679,MODEL1,PARMS,RMB,1.683480342,21.17608284,0.393330561,-1.093275985,3.814951192,-0.635748953,4.697877825,-12.78668937,0.165515829,0.525352995,0.014874502,-1
680,MODEL1,PARMS,RMB,1.455089255,19.03175343,0.163684632,-0.439981427,1.078164424,-0.427019397,1.203792199,-1.852300553,0.103155987,1.789325664,-4.789434119,-1
681,MODEL1,PARMS,RMB,1.523261847,8.844183287,0.364305313,-0.985309258,3.773971802,0.099859114,0.417618081,-0.525972646,0.230212835,0.79461223,-2.029956841,-1
682,MODEL1,PARMS,RMB,1.515513582,-10.54556373,0.250897895,-0.427499855,1.113940783,1.378054808,-6.497528315,14.8291054,0.006746955,3.017167367,-8.109262357,-1
683,MODEL1,PARMS,RMB,1.534000052,-4.679860161,0.499084981,-1.630972858,6.061898169,0.972555113,-1.601313637,2.293794526,0.057670378,0.521228004,-1.165085783,-1
684,MODEL1,PARMS,RMB,1.495745437,-15.0280361,0.489275261,-1.590102233,6.394239074,1.490582181,-5.928180155,13.82264678,0.429851474,0.396240477,-1.706846276,-1
685,MODEL1,PARMS,RMB,1.428321637,7.418466682,-0.229266876,0.874120131,-3.575066119,0.279824141,-0.666938888,1.321196303,0.480091265,0.139687397,-1.062669073,-1
686,MODEL1,PARMS,RMB,1.524657229,13.6518882,0.507132533,-1.488358433,5.25232257,0.010629655,0.200820209,-0.784282012,-0.547889842,2.412580309,-4.457482154,-1
687,MODEL1,PARMS,RMB,1.511465962,-8.902180957,0.238234389,-0.669410911,1.880656102,1.200792953,-3.618842806,9.007040119,0.275069772,1.36850634,-4.694147828,-1
688,MODEL1,PARMS,RMB,1.569979017,5.664558855,0.370690237,-1.681055352,6.802764622,0.292669803,-0.745772796,2.940119779,0.266999775,1.957718078,-6.421268124,-1
689,MODEL1,PARMS,RMB,1.591190074,-6.687922961,0.299946082,-0.981363313,3.833352039,0.90987475,-2.271813737,4.63132358,0.815086374,-1.358610659,2.653703984,-1
690,MODEL1,PARMS,RMB,1.603592721,12.34265393,0.320402026,-1.50224779,6.000744289,-0.176959257,-0.173440984,0.321147598,0.65323871,-0.258635112,0.146220527,-1
691,MODEL1,PARMS,RMB,1.327110747,-22.58990513,0.169331239,-0.366148073,1.16294717,1.975711023,-6.856469868,14.46433115,0.554357573,0.409918952,-1.852685821,-1
692,MODEL1,PARMS,RMB,1.438311912,23.22798112,0.720937921,-1.589005281,5.263053982,-0.781532231,3.558840804,-8.216200413,-0.151990581,2.563747625,-6.299740733,-1
693,MODEL1,PARMS,RMB,1.489377621,24.21465834,0.380061085,-1.202661364,4.869296758,-1.038515281,4.038809293,-8.307484356,0.965536239,-1.188183897,2.077409638,-1
694,MODEL1,PARMS,RMB,1.541779324,11.68174561,0.031142561,-0.275927579,2.014198244,0.077703268,0.208489106,-0.778744367,0.042648853,1.405452115,-3.80784982,-1
695,MODEL1,PARMS,RMB,1.528713108,-0.559351763,0.514813557,-2.100394378,8.4612925,0.639431969,-2.025319706,4.544279144,0.373677319,-0.195958648,0.218556125,-1
696,MODEL1,PARMS,RMB,1.582979127,-12.82955708,-0.022585777,0.557097206,-2.69917476,1.599362359,-4.982416092,11.15831015,-0.073763639,1.345126596,-3.450719401,-1
697,MODEL1,PARMS,RMB,1.473920209,11.22434448,0.022909871,0.222627166,-1.897494415,0.080819907,-1.054291461,3.917159719,0.14364274,0.93836863,-2.397299717,-1
698,MODEL1,PARMS,RMB,1.415087945,8.640733751,0.028338195,0.304000391,-1.731744311,0.400578043,-2.145747626,5.695885093,-0.491227885,2.969882304,-6.695425682,-1
699,MODEL1,PARMS,RMB,1.450524199,15.5818464,0.057237483,-0.269153461,0.906378095,-0.353730818,0.917748393,-0.885694275,0.788648383,-1.029155595,1.614250068,-1
700,MODEL1,PARMS,RMB,1.745109918,18.75080435,0.594323943,-0.946823207,2.608270997,-0.707980942,2.097093693,-5.441404908,0.59847034,1.72557849,-5.053522276,-1
701,MODEL1,PARMS,RMB,1.52850981,-16.0182258,0.448426261,-0.749032537,1.950398451,1.639234657,-5.949625544,14.84443403,-0.033194831,2.26850527,-6.105626226,-1
702,MODEL1,PARMS,RMB,1.527099469,10.19776006,0.545822657,-1.330742481,4.487346356,0.016069139,0.430392277,-1.434403121,0.100890401,0.996176641,-1.887586363,-1
703,MODEL1,PARMS,RMB,1.434553925,-6.338559797,0.261489589,-1.10710742,4.018720506,1.272078433,-3.581261718,6.899214843,-0.453454764,2.387043964,-4.916092268,-1
704,MODEL1,PARMS,RMB,1.44835717,12.55302819,0.161478024,-0.641705835,2.831703291,-0.041949092,0.237034995,0.68146741,0.196808622,0.943211848,-2.884532937,-1
