SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB4_5
235,MODEL1,PARMS,RB4_5,0.835699121,13.95707022,-0.010571693,-0.045882733,-0.466161575,-0.480244088,1.630796886,-2.990941716,-1
236,MODEL1,PARMS,RB4_5,0.85529782,6.725579472,-0.063839994,-0.011149179,0.134185077,-0.028833633,0.12195428,-0.153644814,-1
237,MODEL1,PARMS,RB4_5,0.944567815,11.49687862,0.035990477,-0.316194472,0.897879253,-0.332411102,1.169440674,-2.85491446,-1
238,MODEL1,PARMS,RB4_5,0.912766342,7.398356919,-0.335352499,0.48354885,-1.652968933,0.023343234,-0.716634762,1.979202052,-1
239,MODEL1,PARMS,RB4_5,0.862838046,12.65493816,-0.056018087,0.16147812,-1.01955261,-0.374377465,0.614829796,-0.884391767,-1
240,MODEL1,PARMS,RB4_5,0.850536573,2.904876756,0.229619355,-0.608650939,2.152739603,0.134654466,-0.751337849,1.60033514,-1
241,MODEL1,PARMS,RB4_5,0.830073437,6.964875102,-0.047991408,0.056470995,-0.812343535,-0.036855562,-0.104155702,0.158105711,-1
242,MODEL1,PARMS,RB4_5,0.827342924,18.29203406,-0.132387038,0.357269892,-1.420001609,-0.726129979,2.677228364,-5.513250319,-1
243,MODEL1,PARMS,RB4_5,0.84281116,11.22104557,0.047854907,-0.292843023,0.910027666,-0.321045526,0.781697448,-1.571002795,-1
244,MODEL1,PARMS,RB4_5,0.872758686,13.31560268,0.103493652,-0.376034199,0.808257472,-0.475533969,2.211658771,-4.852403801,-1
245,MODEL1,PARMS,RB4_5,0.896946599,-0.714323763,-0.013552724,-0.051467835,0.335210595,0.413351151,-1.637141647,3.45810829,-1
246,MODEL1,PARMS,RB4_5,0.825943533,-0.282535492,-0.035554258,-0.087226062,0.226407838,0.407528433,-1.566944003,3.337519536,-1
247,MODEL1,PARMS,RB4_5,0.849560798,8.494968926,-0.159051883,0.751493888,-3.722156328,-0.125884971,0.819652329,-1.830273294,-1
248,MODEL1,PARMS,RB4_5,0.975999456,-3.363073233,-0.028865973,0.005404617,0.029508902,0.582599402,-1.912936393,3.879161692,-1
249,MODEL1,PARMS,RB4_5,0.820257319,0.008743856,-0.020755813,-0.227037563,1.040941272,0.373385608,-1.046977892,2.200311269,-1
250,MODEL1,PARMS,RB4_5,0.769836161,10.10468175,-0.097640188,0.145664126,-0.879623541,-0.218038204,0.577906783,-0.568937815,-1
251,MODEL1,PARMS,RB4_5,0.963556104,-0.32625513,-0.198896817,0.930266463,-4.996061213,0.430143508,-1.616789781,3.19069496,-1
252,MODEL1,PARMS,RB4_5,0.942633061,5.672631719,0.070697659,-0.361727363,1.166695181,0.005257862,-0.087685022,0.610419765,-1
253,MODEL1,PARMS,RB4_5,0.887797241,-2.097887513,-0.059634109,-0.074464733,1.005133336,0.506580184,-1.252078342,2.369402845,-1
254,MODEL1,PARMS,RB4_5,0.861644245,12.53437417,0.07240005,-0.433812995,0.884032047,-0.399661656,1.326386649,-3.014652648,-1
255,MODEL1,PARMS,RB4_5,0.814781636,3.703977723,0.102215549,-0.40084302,1.157250261,0.126546533,-0.990809616,2.056656975,-1
256,MODEL1,PARMS,RB4_5,0.856044874,1.441392736,-0.098815303,-0.137956014,0.547700986,0.328241245,-1.882152249,4.596057709,-1
257,MODEL1,PARMS,RB4_5,1.030540304,-6.902012884,-0.197271123,0.193924509,-0.334726557,0.871898125,-3.767125298,8.102630689,-1
258,MODEL1,PARMS,RB4_5,0.920742274,11.38177707,-0.139801819,0.33673753,-1.745663432,-0.281061145,0.736072654,-1.480857194,-1
259,MODEL1,PARMS,RB4_5,0.919423355,2.426186638,-0.304860184,0.531257375,-1.306467426,0.306775517,-1.581030439,3.762717332,-1
260,MODEL1,PARMS,RB4_5,0.859443338,6.770674103,-0.00671081,-0.278009434,1.131686208,-0.035627809,0.174486784,-0.196974626,-1
261,MODEL1,PARMS,RB4_5,0.892193544,-2.349010379,-0.069028038,-0.070474614,0.372378881,0.531729634,-1.414764719,2.789341299,-1
262,MODEL1,PARMS,RB4_5,0.87117993,7.520909109,0.069498935,-0.647849518,2.846840163,-0.095733858,0.345781643,-0.632143601,-1
263,MODEL1,PARMS,RB4_5,0.885510975,4.157689881,0.093443877,-0.7568587,3.097350784,0.11166059,-0.466235578,0.467669948,-1
264,MODEL1,PARMS,RB4_5,0.919913449,7.660738926,0.062999428,-0.329742969,0.959124829,-0.109709734,0.867233373,-2.402622721,-1
265,MODEL1,PARMS,RB4_5,0.817864538,0.808044543,-0.080975572,-0.125508569,0.574356344,0.354544083,-1.382756453,2.692463258,-1
266,MODEL1,PARMS,RB4_5,0.902453431,2.003221392,-0.107950251,0.430108227,-2.113937487,0.262140404,-0.234656218,0.103911293,-1
267,MODEL1,PARMS,RB4_5,0.807205835,15.22861862,-0.101487086,0.187568496,-1.065632362,-0.523153166,0.886577302,-1.34742626,-1
268,MODEL1,PARMS,RB4_5,0.87795011,2.438166326,0.006995597,0.13481098,-0.858803525,0.212186925,-1.402532694,3.286507785,-1
269,MODEL1,PARMS,RB4_5,0.88187757,7.589200777,-0.111447678,0.108046228,-0.065405983,-0.073285301,0.375005093,-0.772734173,-1
270,MODEL1,PARMS,RB4_5,0.828827583,3.841613443,0.037598908,-0.617334716,2.522974424,0.142899708,-0.817336069,1.739460259,-1
271,MODEL1,PARMS,RB4_5,0.873191512,8.597572296,-0.008855339,-0.235709901,1.009910605,-0.136814802,-0.205390713,0.425090891,-1
272,MODEL1,PARMS,RB4_5,0.864069989,6.010214953,0.298461092,-1.045850914,3.381624293,-0.070621737,0.186643749,-0.418782462,-1
273,MODEL1,PARMS,RB4_5,0.808041722,14.10704139,0.056544184,-0.334649856,1.162657642,-0.501202011,1.521780147,-2.959061297,-1
274,MODEL1,PARMS,RB4_5,0.911587929,1.741067614,0.023273455,-0.458722512,1.803864565,0.273352483,-1.592529452,3.946735554,-1
275,MODEL1,PARMS,RB4_5,0.897205906,3.105209473,0.074306761,-0.457639148,1.437236287,0.179016064,-1.088284129,2.293497332,-1
276,MODEL1,PARMS,RB4_5,0.877943794,13.85133289,-0.005982305,0.133878315,-1.567055102,-0.480657522,1.902720727,-4.140738238,-1
277,MODEL1,PARMS,RB4_5,0.909190184,4.280924949,0.131202559,-0.300797279,0.617955982,0.079607196,-1.357327566,3.467006141,-1
278,MODEL1,PARMS,RB4_5,0.75678485,9.805254823,0.000984876,-0.646027902,2.410682327,-0.203209817,0.112043194,0.364326408,-1
279,MODEL1,PARMS,RB4_5,0.900928593,-3.736212774,0.005035377,-0.257564263,0.703637268,0.601017285,-1.912346302,3.674862,-1
280,MODEL1,PARMS,RB4_5,0.954403262,6.761206189,-0.080632107,-0.052677376,0.229720394,-0.00190409,-0.41149148,1.047674892,-1
