SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LMB
242,MODEL1,PARMS,LMB,1.247015413,14.73372341,0.236570306,-0.450163484,2.154167952,-0.273711226,0.895932954,-0.847784344,-1
243,MODEL1,PARMS,LMB,1.33337977,-11.02274764,0.045912326,0.167347849,0.521215713,1.324337385,-3.039274933,6.938167293,-1
244,MODEL1,PARMS,LMB,1.259045064,-9.086225098,0.449164693,-0.793794101,2.653611429,1.095558776,-2.274066133,5.032334373,-1
245,MODEL1,PARMS,LMB,1.289742261,-15.32291019,0.403933959,-0.852904292,3.968113016,1.519716159,-4.825524125,10.64860495,-1
246,MODEL1,PARMS,LMB,1.167297321,-0.932829561,0.236978675,-0.516387719,1.905110373,0.716248488,-2.509140967,5.294906769,-1
247,MODEL1,PARMS,LMB,1.389613658,-10.22598522,0.202372438,-0.051150663,-0.629495473,1.260438618,-3.235351022,6.250322213,-1
248,MODEL1,PARMS,LMB,1.377199779,-0.735088804,0.862005809,-1.838191103,6.518950137,0.493545602,-1.243074546,3.26143741,-1
249,MODEL1,PARMS,LMB,1.183908903,-1.923970481,0.512195605,-0.811832455,3.044283786,0.65826516,-1.870494645,4.596738159,-1
250,MODEL1,PARMS,LMB,1.323558747,-2.454128514,0.498939156,-1.108159025,4.632418675,0.713629384,-3.043170073,8.195777866,-1
251,MODEL1,PARMS,LMB,1.320358112,-0.370941307,0.002787898,0.783598585,-4.037122054,0.683820301,-1.728591476,4.016649281,-1
252,MODEL1,PARMS,LMB,1.196335949,13.75412909,0.438872207,-1.283494979,5.649529154,-0.268993487,1.68398628,-3.12874757,-1
253,MODEL1,PARMS,LMB,1.324649792,-0.752831804,0.475966124,-1.060270808,4.582003607,0.590117805,-1.121248647,3.015004753,-1
254,MODEL1,PARMS,LMB,1.200243775,26.00717228,0.033445817,-0.133690033,0.839911135,-0.886453373,3.601480005,-7.318570517,-1
255,MODEL1,PARMS,LMB,1.368479767,13.25312358,0.114971592,-0.001215568,0.625862183,-0.149914155,1.432656607,-3.483204899,-1
256,MODEL1,PARMS,LMB,1.336948702,-1.439937403,0.088294285,0.380685793,-1.43156253,0.737049841,-0.692834872,0.888444619,-1
257,MODEL1,PARMS,LMB,1.455583988,-5.625608292,0.222557547,-0.706966928,2.638853165,1.009148623,-3.752703387,8.897705916,-1
258,MODEL1,PARMS,LMB,1.499217273,-7.762928716,0.405185793,-0.982363986,3.66479917,1.063057666,-3.130386612,6.965052614,-1
259,MODEL1,PARMS,LMB,1.28573066,7.746802049,-0.343890469,1.307070169,-4.322312316,0.290198659,0.043029139,-0.06835634,-1
260,MODEL1,PARMS,LMB,1.281580583,4.13736201,0.185490761,-0.101467253,-0.06176214,0.393139436,-0.654504276,1.981305753,-1
261,MODEL1,PARMS,LMB,1.308937642,-3.008512815,0.411559847,-0.738212831,3.045587535,0.761626279,-2.263142296,5.834826607,-1
262,MODEL1,PARMS,LMB,1.190474228,-1.403725562,0.27072124,-0.478739378,2.031478589,0.696896432,-2.347661348,5.646505989,-1
263,MODEL1,PARMS,LMB,1.368847217,5.812273589,0.360671079,-0.910691388,3.76099491,0.24544074,-0.119755516,-0.040001644,-1
264,MODEL1,PARMS,LMB,1.278254933,7.910114031,0.000319759,0.342434317,-1.331581262,0.194139726,1.253755852,-2.999164858,-1
265,MODEL1,PARMS,LMB,1.357135934,11.88993651,0.454800536,-0.89341918,3.741733784,-0.162720459,0.652424773,-0.775421777,-1
266,MODEL1,PARMS,LMB,1.419870083,-15.75556579,0.294735702,-0.538969924,1.53018197,1.577945874,-4.926952267,11.46290423,-1
267,MODEL1,PARMS,LMB,1.257528673,6.103856357,0.553797957,-1.058065228,3.502109112,0.171605978,-0.511590159,2.183528651,-1
268,MODEL1,PARMS,LMB,1.301821982,10.24763892,0.248205357,0.042539674,-0.123186112,-0.028730087,0.441036101,-0.120427142,-1
269,MODEL1,PARMS,LMB,1.306066919,3.989733954,0.191447744,0.234930467,-1.049753808,0.358135325,-0.136134957,0.998093136,-1
270,MODEL1,PARMS,LMB,1.332177904,-1.265299803,0.448560116,-1.015537683,3.634726856,0.640215849,-1.286995055,3.090070194,-1
271,MODEL1,PARMS,LMB,1.339347021,-1.858279586,0.468487555,-1.253586996,5.035947531,0.674877803,-0.861874286,1.329780028,-1
272,MODEL1,PARMS,LMB,1.377181422,6.515789263,0.288646557,-0.11586208,-0.781878481,0.217762573,-1.022040101,3.022923248,-1
273,MODEL1,PARMS,LMB,1.315525145,7.125799321,0.332920864,-0.862341075,3.409154808,0.188928923,-1.036321158,3.122354281,-1
274,MODEL1,PARMS,LMB,1.313144464,-1.104453431,0.514064236,-0.546634004,1.610853978,0.590311487,-1.376050945,3.638178574,-1
275,MODEL1,PARMS,LMB,1.335184457,-0.899851398,0.175319832,-0.21622321,1.047337994,0.691473819,-1.133838466,2.524863658,-1
276,MODEL1,PARMS,LMB,1.311469871,3.767828586,0.181296974,0.156180258,-0.822824272,0.386784416,-0.627884007,2.344784661,-1
277,MODEL1,PARMS,LMB,1.3646563,10.84880456,0.459802967,-1.027120013,4.538089842,-0.092845027,-0.182372052,1.971211087,-1
278,MODEL1,PARMS,LMB,1.194444908,1.854760154,0.394296445,-1.323618682,5.949772234,0.477923658,-0.954857455,2.215026006,-1
279,MODEL1,PARMS,LMB,1.298675887,-5.572084466,0.105861158,-0.352436826,1.683809204,0.997528028,-2.389540742,4.823829698,-1
280,MODEL1,PARMS,LMB,1.38306732,18.23304935,0.199308128,-0.37925548,1.23011117,-0.470599889,2.291598528,-4.061262207,-1
281,MODEL1,PARMS,LMB,1.492153373,22.74808592,0.146932504,0.027354349,0.06070127,-0.73684939,1.628117994,-1.441401389,-1
282,MODEL1,PARMS,LMB,1.484846351,-2.116439035,0.410984608,-1.156227272,4.91061644,0.698951904,-1.243631713,2.750263304,-1
283,MODEL1,PARMS,LMB,1.230572533,-3.549392168,0.186036019,-0.141593481,0.006929055,0.84923299,-2.464189496,5.907747009,-1
284,MODEL1,PARMS,LMB,1.379518254,-9.837426933,0.325553947,-0.589820953,1.935926718,1.181058181,-2.627788852,5.484136645,-1
285,MODEL1,PARMS,LMB,1.311183765,5.780868465,0.71544412,-1.690760693,6.272891457,0.129160972,0.511999695,-0.569441503,-1
286,MODEL1,PARMS,LMB,1.236704329,9.433931478,0.315990707,-0.660037266,2.788806339,0.025073667,0.782863456,-0.967073301,-1
287,MODEL1,PARMS,LMB,1.249992154,12.31379398,0.680169191,-1.243036579,3.806645963,-0.244774542,1.671295893,-3.363930815,-1
288,MODEL1,PARMS,LMB,1.262040514,14.09290681,0.082188172,0.274133309,-1.260926418,-0.20448684,0.564704834,1.066189144,-1
289,MODEL1,PARMS,LMB,1.254127554,-8.196650763,0.256967338,-0.524979671,2.409704078,1.121758644,-3.6651217,8.186749118,-1
290,MODEL1,PARMS,LMB,1.304226704,-19.44919294,0.546786933,-1.60650862,6.460890731,1.735866705,-5.205322532,10.7434505,-1
291,MODEL1,PARMS,LMB,1.192311382,-10.3322224,0.531286669,-1.014923751,3.402530624,1.154695601,-2.430326916,5.133593073,-1
292,MODEL1,PARMS,LMB,1.36995012,17.05546732,0.211406183,-0.282677491,0.981124512,-0.405679269,3.165220947,-7.997218199,-1
293,MODEL1,PARMS,LMB,1.457969029,-3.946024756,0.813169223,-1.443097216,4.591284494,0.6882915,-1.574863119,3.563861904,-1
294,MODEL1,PARMS,LMB,1.324505269,16.01707201,0.613775685,-1.049555173,3.149152435,-0.463147268,2.089780612,-3.557372386,-1
295,MODEL1,PARMS,LMB,1.288033687,-5.290989224,0.048006546,0.079942782,0.376172039,0.994433123,-2.553163728,5.64132522,-1
296,MODEL1,PARMS,LMB,1.373817675,19.05035532,0.412606058,-0.605045923,1.856396156,-0.580656088,3.053568219,-6.111221089,-1
297,MODEL1,PARMS,LMB,1.349721284,15.01568671,0.52890526,-1.218199971,4.702663584,-0.357925501,1.354248846,-2.636866028,-1
298,MODEL1,PARMS,LMB,1.25956334,-7.156801697,0.539176082,-1.503048647,6.159844972,0.99632119,-2.721607917,6.484235938,-1
299,MODEL1,PARMS,LMB,1.418053729,10.05940142,0.353908571,-0.808650115,2.90062291,0.000997693,-1.193100489,4.624141093,-1
300,MODEL1,PARMS,LMB,1.335190965,-18.19586902,0.425205845,-1.147547356,4.628753573,1.701252759,-5.877530086,13.09664201,-1
301,MODEL1,PARMS,LMB,1.466392796,-0.300688422,0.297255292,-0.501550153,1.838874738,0.625036183,-1.586401678,3.945037616,-1
302,MODEL1,PARMS,LMB,1.199986197,6.299522363,0.306428192,0.033941837,-0.900309094,0.207427008,-0.525812885,2.054581947,-1
303,MODEL1,PARMS,LMB,1.255572357,-14.53622871,0.623581178,-1.517912935,5.922174931,1.386856943,-2.893600427,5.945777349,-1
304,MODEL1,PARMS,LMB,1.244413499,-2.096814622,0.003795998,0.465295556,-1.024193003,0.801025173,-2.058321491,4.975674602,-1
305,MODEL1,PARMS,LMB,1.411385772,20.19285021,0.119910224,-0.268338989,1.477050342,-0.558882556,0.970696622,-0.14226095,-1
306,MODEL1,PARMS,LMB,1.381008492,-0.58118724,0.029660151,0.11034904,0.250764663,0.722424233,-2.722693954,6.639249712,-1
307,MODEL1,PARMS,LMB,1.332413662,2.694722723,0.573400904,-1.58927419,6.26910109,0.402595164,-3.043165751,8.322053956,-1
308,MODEL1,PARMS,LMB,1.297338225,6.407938206,0.51838023,-1.204161691,5.213467225,0.147903831,1.193353847,-2.587984839,-1
309,MODEL1,PARMS,LMB,1.272591032,8.472966201,0.450848682,-0.82108904,3.539677802,0.023715603,1.206819729,-1.788163653,-1
310,MODEL1,PARMS,LMB,1.306524968,-10.39909265,0.366293149,-0.289642567,-0.096403614,1.216299984,-4.536814701,10.8459229,-1
311,MODEL1,PARMS,LMB,1.239033839,-2.823767318,0.054345745,-0.051281895,0.927525381,0.852135229,-3.016239937,7.393300537,-1
312,MODEL1,PARMS,LMB,1.317317071,11.03026185,-0.026588472,0.586262972,-1.739044749,0.009848667,0.828983556,-0.837968914,-1
313,MODEL1,PARMS,LMB,1.318302322,-1.009448457,0.499448563,-1.361507672,5.520765479,0.633189442,-2.175279118,5.424413785,-1
314,MODEL1,PARMS,LMB,1.413978305,-11.19036234,0.216844022,-0.140321791,0.614735203,1.301565235,-3.255719116,7.003232681,-1
