SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,BronInt
415,MODEL1,PARMS,BronInt,1.287380296,-3.534680378,0.323586334,-0.554696411,1.592473968,0.719266681,-2.702928665,6.763037686,-1
416,MODEL1,PARMS,BronInt,1.129396561,8.127653596,0.064615819,-0.425294932,1.660562451,0.084605742,0.861337804,-2.164198531,-1
417,MODEL1,PARMS,BronInt,1.213439595,-0.414993634,-0.371649061,1.158718296,-5.257753304,0.725987611,-2.423012419,5.438786878,-1
418,MODEL1,PARMS,BronInt,1.277917903,-8.613654847,0.364209117,-1.048197773,4.021147634,1.013048652,-2.492824516,5.368855593,-1
419,MODEL1,PARMS,BronInt,1.122036144,-11.08024747,-0.044372495,0.313443434,-1.81187322,1.25997526,-2.395490908,4.352605989,-1
420,MODEL1,PARMS,BronInt,1.177815869,-7.609133151,0.303059468,-0.623479781,2.785019576,0.956495074,-2.018667532,4.156261715,-1
421,MODEL1,PARMS,BronInt,1.158555577,8.504428174,0.079182533,0.292864314,-1.590505136,0.038240411,0.61145768,-1.062344253,-1
422,MODEL1,PARMS,BronInt,1.244912429,7.541829166,-0.002149473,0.196048866,-0.584689056,0.131137672,-0.114693954,0.533882718,-1
423,MODEL1,PARMS,BronInt,1.167668757,-27.74339869,0.557139498,-1.377426581,5.470351394,2.117515297,-5.441378071,11.07931177,-1
424,MODEL1,PARMS,BronInt,1.374522532,5.505267977,0.268843637,-0.249315074,-0.033673272,0.157514625,0.96070388,-2.307449278,-1
425,MODEL1,PARMS,BronInt,1.30779416,-10.38753204,-0.210938071,0.310713791,-0.5021129,1.282127564,-3.650307837,7.762397556,-1
426,MODEL1,PARMS,BronInt,1.224048692,15.44563069,0.317572371,-0.729165381,1.925937728,-0.42766342,1.370734887,-2.173427803,-1
427,MODEL1,PARMS,BronInt,1.150895219,-2.747826487,-0.003998746,-0.121226501,1.346124802,0.75805633,-1.34324276,2.332237161,-1
428,MODEL1,PARMS,BronInt,1.244140594,8.533094407,0.331761635,-1.068596759,4.493370481,0.005074234,-0.563790779,1.841707151,-1
429,MODEL1,PARMS,BronInt,1.187464455,11.3574695,0.14717908,0.136751791,-1.165505198,-0.165406619,2.36563951,-5.78419364,-1
430,MODEL1,PARMS,BronInt,1.255764761,-4.766916688,-0.097107035,-0.029972081,0.403256867,0.927667664,-2.720515134,6.277067031,-1
431,MODEL1,PARMS,BronInt,1.162780956,-23.56020403,0.27696948,-0.481696752,1.360843778,1.934578546,-5.025335928,10.00081668,-1
432,MODEL1,PARMS,BronInt,1.138833372,4.516229832,0.386322804,-0.817551503,2.296225199,0.219627719,0.210975098,-1.069763745,-1
