SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RUL
249,MODEL1,PARMS,RUL,1.313662734,-8.892239826,0.142285068,-0.51955975,2.679065098,0.981032067,-2.045237224,3.889750956,-1
250,MODEL1,PARMS,RUL,1.467534837,7.898644737,0.235591767,-0.769371535,3.35638074,-0.029023402,-1.243084278,4.294459164,-1
251,MODEL1,PARMS,RUL,1.419407076,-0.292292833,-0.101018796,1.265856535,-6.661008683,0.47269195,0.276954671,-0.639310272,-1
252,MODEL1,PARMS,RUL,1.237824195,-7.134791774,-0.007373437,-0.346434046,2.355958545,0.925183702,-2.015249817,3.50018768,-1
253,MODEL1,PARMS,RUL,1.503179011,-11.68227284,0.109097732,-0.215065859,1.51702037,1.148771561,-1.421602852,2.295555179,-1
254,MODEL1,PARMS,RUL,1.361267727,0.394790804,0.081677318,-0.4893151,1.88027104,0.435156093,1.693522588,-5.852136946,-1
255,MODEL1,PARMS,RUL,1.261966156,1.254152938,0.18443747,-0.446161079,1.705724809,0.366988789,-0.772427429,1.175237723,-1
256,MODEL1,PARMS,RUL,1.203737719,0.018262391,-0.287247982,0.55355638,-1.164446982,0.560194381,-1.25950865,3.084672907,-1
257,MODEL1,PARMS,RUL,1.355324661,-8.117697593,0.068159816,-0.448965204,1.739423799,0.974329868,-2.256887387,3.808462059,-1
258,MODEL1,PARMS,RUL,1.426108983,14.96222202,0.133266442,0.066242932,-1.60307893,-0.46128948,2.706694727,-6.119379891,-1
259,MODEL1,PARMS,RUL,1.264109185,-5.336761784,-0.132436533,-0.022903588,1.240720236,0.841556066,-2.034741686,3.805026056,-1
260,MODEL1,PARMS,RUL,1.418726694,-12.38648301,0.154358535,-0.343097349,1.66612922,1.200525089,-3.29795784,6.919160791,-1
261,MODEL1,PARMS,RUL,1.32604032,-14.75835192,0.119505131,0.165947571,-0.509427667,1.330545084,-2.629744116,4.323457689,-1
262,MODEL1,PARMS,RUL,1.3186482,-4.058847426,0.266567754,-1.106882192,4.977507498,0.672641023,-3.016438203,7.719305518,-1
263,MODEL1,PARMS,RUL,1.435211891,9.137575482,0.127219869,-0.413352624,2.307419866,-0.122067337,1.678288643,-3.71530534,-1
264,MODEL1,PARMS,RUL,1.481406508,5.38166541,-0.327532725,0.137505785,-0.005178735,0.271511015,1.53984791,-5.106664976,-1
265,MODEL1,PARMS,RUL,1.437224652,-6.240718458,-0.148596172,0.038446286,0.352853372,0.919133498,-2.436128156,5.096566317,-1
266,MODEL1,PARMS,RUL,1.343298061,12.74422609,-0.041883676,0.013822131,-0.039857521,-0.267930499,0.890510227,-1.39736457,-1
267,MODEL1,PARMS,RUL,1.355528177,14.57187609,-0.104774593,0.094769764,0.807762294,-0.379868167,1.446525286,-2.431303239,-1
268,MODEL1,PARMS,RUL,1.327469166,-1.803643757,0.207641873,-0.013157692,-0.249691851,0.518499883,-1.072471147,1.993445863,-1
269,MODEL1,PARMS,RUL,1.338031975,0.665579983,0.11062375,-0.227768995,0.921343419,0.39904641,-0.517629827,1.064811105,-1
270,MODEL1,PARMS,RUL,1.113499001,-3.914817847,0.273115229,-0.802215746,3.66858682,0.640224454,-2.097171781,4.703450316,-1
271,MODEL1,PARMS,RUL,1.267391627,-1.616841849,0.205603789,-0.63376672,1.990366203,0.544222448,-1.413969709,2.718817752,-1
272,MODEL1,PARMS,RUL,1.379423754,-11.6259582,0.235019633,-0.801647308,3.044437742,1.169214655,-4.817246797,10.43922578,-1
273,MODEL1,PARMS,RUL,1.332477533,-5.119494903,0.029825215,-0.464982694,2.405871948,0.818115188,-3.272750901,7.100055973,-1
274,MODEL1,PARMS,RUL,1.243545141,-9.404449114,0.122590244,-0.652726715,3.760057392,1.008782382,-1.603049636,3.118323474,-1
275,MODEL1,PARMS,RUL,1.43687857,-11.56872997,0.043819616,-0.030705669,0.857327558,1.164944021,-3.118428962,6.816982522,-1
276,MODEL1,PARMS,RUL,1.430045937,7.155433136,0.272428331,-0.034403841,-1.457156867,-0.057004652,1.574522161,-3.148338362,-1
