SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LB1
287,MODEL1,PARMS,LB1,0.799046644,7.267131151,0.095745001,-0.194457526,0.635860502,-0.240526022,1.993544789,-4.59781828,-1
288,MODEL1,PARMS,LB1,0.794473281,-0.348791945,-0.149608005,0.443438888,-1.992393395,0.306181571,-1.196490654,3.345345574,-1
289,MODEL1,PARMS,LB1,0.749573855,1.926477695,0.079978737,-0.14336648,0.433239998,0.098462977,0.003145619,-0.193635817,-1
290,MODEL1,PARMS,LB1,0.766114287,11.59817632,0.158536618,-0.219969858,0.253519761,-0.511259143,1.716899947,-3.371147396,-1
291,MODEL1,PARMS,LB1,0.819349976,3.438830615,0.149802304,-0.667784689,2.572385548,-0.010069213,0.862105482,-2.000748529,-1
292,MODEL1,PARMS,LB1,0.778168588,13.33350993,0.040489772,-0.285525649,1.03653519,-0.579018181,2.841300919,-6.727752589,-1
293,MODEL1,PARMS,LB1,0.738565301,6.971146236,-0.030738791,-0.248762368,1.327170534,-0.16828537,0.902320725,-1.941245759,-1
294,MODEL1,PARMS,LB1,0.727868505,8.089614165,0.027745312,-0.291135018,0.960780244,-0.253698163,1.623792626,-3.512992896,-1
295,MODEL1,PARMS,LB1,0.800141732,-3.866939867,0.126602791,-0.227148605,0.68911655,0.431021756,-0.356687377,0.258760648,-1
296,MODEL1,PARMS,LB1,0.783470723,4.314971662,0.015106779,-0.046929518,-0.237598511,-0.013715455,0.80051266,-2.455525632,-1
297,MODEL1,PARMS,LB1,0.723611626,16.43551258,0.150530302,-0.271658148,0.5890624,-0.804399602,2.799066584,-5.822562503,-1
298,MODEL1,PARMS,LB1,0.764466547,3.327080704,0.000393793,-0.410591822,2.141540955,0.048678269,-0.19132707,0.749351199,-1
299,MODEL1,PARMS,LB1,0.730045238,10.89063214,-0.056064146,0.093878231,-0.891753399,-0.397260952,1.153486892,-2.004307844,-1
300,MODEL1,PARMS,LB1,0.825030263,9.257343844,-0.00909032,0.108385825,-0.770238548,-0.310812593,1.031109422,-1.648161509,-1
301,MODEL1,PARMS,LB1,0.758110562,12.33140214,0.104591585,-0.12050414,0.029751031,-0.538882026,2.02898337,-4.144020185,-1
302,MODEL1,PARMS,LB1,0.735960765,6.622433087,0.012730235,0.243806205,-1.389081422,-0.181241347,1.5135767,-3.624021132,-1
303,MODEL1,PARMS,LB1,0.872502114,23.53878022,0.148772142,-0.465241192,1.380007613,-1.220565788,4.617669589,-9.89467897,-1
304,MODEL1,PARMS,LB1,0.846140301,4.474731412,-0.252320961,0.788670502,-3.265827907,0.031523698,0.304264765,-0.659983014,-1
305,MODEL1,PARMS,LB1,0.813212288,10.63157382,-0.111537177,0.295745262,-1.159289281,-0.361650924,0.346072841,0.213234428,-1
306,MODEL1,PARMS,LB1,0.756105609,8.852611529,0.033048157,-0.172059626,0.425552895,-0.292636249,-0.134701397,1.467370724,-1
307,MODEL1,PARMS,LB1,0.823987804,1.856211272,0.21875204,-0.869122074,3.149263628,0.088685523,-0.673665443,1.747093582,-1
308,MODEL1,PARMS,LB1,0.757107443,7.015069603,0.251875976,-0.729589329,2.421892575,-0.254063831,1.719086498,-4.136578387,-1
309,MODEL1,PARMS,LB1,0.704067497,12.50320168,0.131290753,-0.422417181,1.451726337,-0.564186791,2.308188771,-4.336633199,-1
310,MODEL1,PARMS,LB1,0.781651757,-2.651785707,-0.032407507,0.082690542,-0.918600001,0.41676458,-1.048103693,2.366744666,-1
311,MODEL1,PARMS,LB1,0.776755087,3.276592357,-0.113619889,0.009470204,-0.166955001,0.083122961,0.436735182,-1.012211412,-1
312,MODEL1,PARMS,LB1,0.774550638,9.240139233,-0.066282652,0.095806229,-0.150574906,-0.317255375,1.881859148,-3.75890333,-1
313,MODEL1,PARMS,LB1,0.8148633,-3.462376498,-0.03999655,-0.346141031,1.740716509,0.481523379,-1.482687053,3.530495937,-1
314,MODEL1,PARMS,LB1,0.750060415,0.555180523,-0.053638692,-0.152355163,0.737379489,0.222350567,0.422495097,-1.574805098,-1
315,MODEL1,PARMS,LB1,0.731348967,1.310105969,0.015365201,0.247145489,-1.65888239,0.15463448,-0.547181285,1.405991904,-1
316,MODEL1,PARMS,LB1,0.797566007,9.285533628,-0.093719374,0.246581916,-1.111840468,-0.294703354,1.110446572,-2.083199061,-1
317,MODEL1,PARMS,LB1,0.743979154,6.878452967,0.041733739,0.102549549,-0.499858302,-0.207916092,1.224721505,-2.542354803,-1
318,MODEL1,PARMS,LB1,0.84030479,7.339743742,-0.072356776,0.150997966,-0.545155411,-0.193369987,1.292198958,-2.380016867,-1
319,MODEL1,PARMS,LB1,0.727146672,8.349497761,-0.048678942,0.221832629,-0.97847609,-0.263327343,1.280923701,-2.87165839,-1
320,MODEL1,PARMS,LB1,0.821763206,4.301558287,-0.003681771,0.183663014,-1.004132455,-0.017939501,-0.254919644,0.869535475,-1
321,MODEL1,PARMS,LB1,0.739593062,8.491404711,0.024921585,0.142585486,-0.926005956,-0.294566901,1.455640359,-3.030790202,-1
322,MODEL1,PARMS,LB1,0.815873479,7.307525734,0.044982946,0.037395188,-0.708982172,-0.212014532,0.761598219,-1.742404143,-1
323,MODEL1,PARMS,LB1,0.738625358,8.974986789,0.109827249,-0.216305189,0.30695111,-0.333626045,1.173315372,-2.314157977,-1
324,MODEL1,PARMS,LB1,0.793053074,14.85237372,-0.214941084,0.972675263,-3.876789719,-0.621884266,1.861687386,-3.315884619,-1
325,MODEL1,PARMS,LB1,0.711974532,-0.959100013,-0.239653985,0.973510959,-4.092611405,0.33360694,0.132572395,-0.645105021,-1
326,MODEL1,PARMS,LB1,0.811981964,1.93159321,-0.035557202,0.539354722,-2.808197493,0.121961074,-0.123184798,0.320968192,-1
327,MODEL1,PARMS,LB1,0.78938536,11.54288137,-0.045655962,0.175553749,-1.482641197,-0.434748143,1.12962487,-2.123516141,-1
328,MODEL1,PARMS,LB1,0.780122141,6.742145743,0.072046684,-0.268152461,0.449395693,-0.177434559,0.524202243,-0.840097045,-1
