SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LUL
123,MODEL1,PARMS,LUL,1.093477914,2.373625288,-0.142409741,0.361032805,-1.009731909,0.417387666,-1.484539046,3.688195335,-1
124,MODEL1,PARMS,LUL,1.1285643,0.809735641,0.157613584,-0.531122017,2.585065485,0.433822905,-0.858114733,1.996404722,-1
125,MODEL1,PARMS,LUL,1.183582627,14.67161772,-0.240464742,0.668973515,-2.271900034,-0.310808281,1.658466771,-3.394474025,-1
126,MODEL1,PARMS,LUL,1.09240201,9.735824057,0.217833938,-0.511437191,1.51515805,-0.127804865,0.704449767,-1.190904366,-1
127,MODEL1,PARMS,LUL,1.243000059,1.232648477,0.228398307,-0.286052937,0.832250584,0.381546667,-1.231483047,2.923175353,-1
128,MODEL1,PARMS,LUL,1.064613975,3.640724122,-0.046119347,0.421776883,-1.521336214,0.290130889,-0.741714305,2.090215535,-1
129,MODEL1,PARMS,LUL,1.082890198,14.13357556,0.121098177,-0.102783399,0.736839276,-0.373697551,0.756111042,-0.570857049,-1
130,MODEL1,PARMS,LUL,1.106672914,-4.038108902,0.027725581,0.228359622,-0.678132873,0.73522771,-1.47128094,2.985369657,-1
131,MODEL1,PARMS,LUL,1.06752836,7.895143141,0.014719174,0.409244891,-0.842728724,0.000403132,1.227682095,-2.263365165,-1
132,MODEL1,PARMS,LUL,1.137097929,15.31800198,0.206958308,-0.450856962,1.731328936,-0.47228198,2.011296957,-3.700443973,-1
133,MODEL1,PARMS,LUL,1.242242871,-4.887357261,-0.090222944,-0.012949177,0.935629796,0.862194719,-2.874034154,6.409277262,-1
134,MODEL1,PARMS,LUL,1.166047416,12.09233342,0.007074575,-0.084895334,1.310501776,-0.217624703,0.670113972,-0.540307844,-1
135,MODEL1,PARMS,LUL,1.101884311,-0.048743188,0.11190119,-0.185401763,1.369065494,0.483568541,-1.524171092,3.496044582,-1
136,MODEL1,PARMS,LUL,0.957704214,5.56031692,-0.355373336,1.155251161,-3.75337242,0.27885992,-1.981966479,4.891163103,-1
137,MODEL1,PARMS,LUL,1.070512872,-1.276685124,-0.186857374,0.211630702,0.416693668,0.659117173,-2.366990544,5.374277533,-1
138,MODEL1,PARMS,LUL,1.118943417,-0.474797254,0.016225044,0.222210238,-1.099861775,0.540412311,-1.314801137,2.892831219,-1
139,MODEL1,PARMS,LUL,1.262457808,-2.16192461,-0.034487284,0.423153161,-1.130285535,0.635766101,-1.218044542,2.519288401,-1
140,MODEL1,PARMS,LUL,1.052741205,-8.214435958,0.061412859,-0.107133211,0.824817757,1.006746951,-3.522469023,7.73736868,-1
141,MODEL1,PARMS,LUL,1.14426256,12.1666758,0.157849136,0.010404252,-0.40319269,-0.267061989,0.212012355,0.416907109,-1
