SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sLB1
408,MODEL1,PARMS,sLB1,0.539397553,1.044435029,0.106439139,-0.054973203,-0.117011901,0.085541398,-0.107700525,0.231430466,-1
409,MODEL1,PARMS,sLB1,0.609336052,-4.488011618,0.020769949,0.088690957,-0.424344577,0.446245883,-0.952579477,1.82919179,-1
410,MODEL1,PARMS,sLB1,0.615334829,1.031443659,0.064012941,0.085372756,-0.625871591,0.100580513,0.169951121,-0.646798605,-1
411,MODEL1,PARMS,sLB1,0.609860792,0.524236461,0.09417983,-0.021397873,-0.349912259,0.120198345,-0.508281804,1.690641875,-1
412,MODEL1,PARMS,sLB1,0.572551464,4.693634825,0.053119595,0.113441989,-0.745864576,-0.130955478,0.777885213,-1.239551048,-1
413,MODEL1,PARMS,sLB1,0.550380998,-3.275806589,0.167168547,-0.611351943,2.943287628,0.342733395,-0.929814431,2.063294487,-1
414,MODEL1,PARMS,sLB1,0.580808205,8.737295684,-0.068728303,0.185221455,-0.685897461,-0.32463992,1.221716283,-2.689624796,-1
415,MODEL1,PARMS,sLB1,0.594624662,6.484891609,0.0958491,-0.232577999,0.637088254,-0.244693422,1.487622695,-3.238901136,-1
416,MODEL1,PARMS,sLB1,0.570126323,-3.399210678,0.047281207,-0.146977678,0.765904412,0.370852685,-0.192135049,-0.130425694,-1
417,MODEL1,PARMS,sLB1,0.642748985,11.07807556,-0.094876268,0.351665163,-1.573615511,-0.459874991,1.196972705,-1.892586539,-1
418,MODEL1,PARMS,sLB1,0.531343961,6.751979526,-0.056610691,0.037683767,-0.05492694,-0.20705043,0.754455395,-1.353492919,-1
419,MODEL1,PARMS,sLB1,0.588731974,-2.034974525,-0.034852177,0.061662584,-0.10728489,0.317147611,-0.292798221,0.181727083,-1
420,MODEL1,PARMS,sLB1,0.55911079,3.213623663,-0.093587349,0.206826832,-0.335939402,0.003700629,0.786172182,-1.946819448,-1
421,MODEL1,PARMS,sLB1,0.567632523,5.579029498,0.075098037,0.123400742,-1.118825493,-0.186134617,0.921690068,-1.880986737,-1
422,MODEL1,PARMS,sLB1,0.59932816,5.262605079,0.0421318,0.277993862,-1.707836653,-0.157685066,0.47060934,-0.773578895,-1
423,MODEL1,PARMS,sLB1,0.651662065,0.680037663,0.000981047,0.121570291,-0.283499844,0.133958633,-0.377411092,1.112577753,-1
