SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RLL
224,MODEL1,PARMS,RLL,0.979387252,11.65522966,0.104441832,-0.228139549,-0.125081088,-0.342918231,2.108780714,-5.357453769,-1
225,MODEL1,PARMS,RLL,0.951531228,5.89662388,-0.098749939,0.140255239,-0.64582281,0.066673682,0.827169476,-2.484145956,-1
226,MODEL1,PARMS,RLL,1.098098669,11.2168737,-0.07235544,-0.135225228,0.44501008,-0.240406124,0.370736593,-0.333241906,-1
227,MODEL1,PARMS,RLL,0.994463262,13.92720927,-0.087571423,0.201687753,-1.686462033,-0.419239453,2.099540057,-4.928305908,-1
228,MODEL1,PARMS,RLL,1.104543853,-13.29111244,0.034323206,-0.456295069,1.779506279,1.19435412,-2.911355074,5.795339455,-1
229,MODEL1,PARMS,RLL,0.964200998,10.02093105,0.051020058,-0.690166236,2.585884696,-0.218613838,1.576580808,-3.653663818,-1
230,MODEL1,PARMS,RLL,1.047574554,1.821621,0.05232191,-0.711340039,2.939152342,0.291880899,-0.208936293,-0.046680301,-1
231,MODEL1,PARMS,RLL,0.999486399,-10.60480935,-0.104824978,-0.186097434,0.173417808,1.094230804,-2.878109435,5.46804041,-1
232,MODEL1,PARMS,RLL,0.943683118,15.31677808,-0.095688141,0.131516659,-0.878200029,-0.509716998,2.580468533,-5.588984022,-1
233,MODEL1,PARMS,RLL,0.981808357,10.11338812,0.094768334,-0.623908017,1.862293321,-0.228631579,1.172439648,-2.584987066,-1
234,MODEL1,PARMS,RLL,1.040940451,6.184495853,-0.126721885,0.255110747,-1.952446372,0.060151681,1.205154065,-3.369414689,-1
235,MODEL1,PARMS,RLL,1.049693036,6.017254588,-0.037899206,-0.149832981,-0.059133126,0.052474936,-0.070103945,0.461421192,-1
236,MODEL1,PARMS,RLL,1.027366738,17.83923059,0.05357698,-0.579897417,1.609809955,-0.6930154,2.89636655,-6.055306288,-1
237,MODEL1,PARMS,RLL,1.118892987,18.36305336,0.131582808,-0.746472168,2.663047325,-0.729649179,2.809840751,-6.516485195,-1
238,MODEL1,PARMS,RLL,0.958643175,4.560990748,-0.132467858,-0.210014665,0.785999624,0.192834639,-1.241109231,2.902825052,-1
239,MODEL1,PARMS,RLL,0.936175626,3.822669564,-0.179351059,0.343207727,-1.785474127,0.228032148,-0.623776233,1.235047422,-1
240,MODEL1,PARMS,RLL,1.015730449,4.49416802,-0.0698498,-0.107542363,0.435106344,0.157076928,-0.170560682,0.093753314,-1
241,MODEL1,PARMS,RLL,0.967605732,-3.085678099,-0.351329961,0.91831399,-4.473976764,0.680379379,-1.269825517,2.029849474,-1
242,MODEL1,PARMS,RLL,1.080419234,4.550543398,-0.060514388,-0.328694298,1.346252925,0.135351439,0.87766548,-2.259744827,-1
243,MODEL1,PARMS,RLL,1.094372515,1.954320436,-0.06144622,0.063661281,-0.428274432,0.284394905,0.888914266,-2.718001176,-1
244,MODEL1,PARMS,RLL,1.088359271,2.55035951,0.00366779,-0.503585821,1.247343057,0.261132277,0.087706266,-0.930844792,-1
245,MODEL1,PARMS,RLL,1.015502034,0.314893198,0.106230645,-0.354540322,0.697613244,0.36391797,-0.943987634,1.846951034,-1
246,MODEL1,PARMS,RLL,0.933092526,-3.6552713,0.246908882,-1.104786937,3.635372358,0.579888854,-1.31856897,2.307629564,-1
247,MODEL1,PARMS,RLL,0.990748273,5.901961313,0.023546126,-0.081549545,-0.410634454,0.032944898,0.612475718,-1.49772452,-1
248,MODEL1,PARMS,RLL,0.985686921,-2.938255604,0.191480716,-0.833006484,2.55614295,0.535689903,-1.175220541,2.323833418,-1
249,MODEL1,PARMS,RLL,1.046687983,-2.753528839,-0.017421733,-0.372937029,1.067032461,0.593902352,-1.17045772,2.006655042,-1
250,MODEL1,PARMS,RLL,1.039972448,10.21444233,0.068997292,-0.689434908,2.282568266,-0.208305436,0.308836837,-0.230031492,-1
