SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB10
79,MODEL1,PARMS,RB10,0.866509353,11.88984503,-0.186486398,0.036321767,0.510149882,-0.370054114,1.347457282,-2.680562935,-1
80,MODEL1,PARMS,RB10,0.794424771,10.89291616,-0.071468357,-0.089301626,0.490210679,-0.335767496,0.60938828,-0.369757578,-1
81,MODEL1,PARMS,RB10,0.867197821,9.827023137,-0.242335382,0.321685929,-0.78074645,-0.227609177,1.327616696,-3.057505719,-1
82,MODEL1,PARMS,RB10,0.851181006,-20.10361675,0.169731343,-0.980921562,4.335661059,1.46341393,-2.796380433,4.909217988,-1
83,MODEL1,PARMS,RB10,0.942270133,11.82746255,0.068701092,-0.450354717,1.72027832,-0.452258452,2.640017202,-5.828584244,-1
84,MODEL1,PARMS,RB10,0.878705852,1.169039624,-0.051243368,-0.127700696,0.9010957,0.240041637,0.0633672,-0.509922765,-1
85,MODEL1,PARMS,RB10,0.857734169,12.96232176,-0.134695306,0.591221986,-3.328133837,-0.471355278,2.346295408,-4.787319702,-1
86,MODEL1,PARMS,RB10,0.838418465,-4.402443972,-0.197371378,0.200852686,-0.101352912,0.614089872,-1.833576978,4.535660909,-1
87,MODEL1,PARMS,RB10,0.766083179,12.31130718,0.113536858,-0.413733522,1.980210269,-0.487078582,1.603153106,-3.087584174,-1
88,MODEL1,PARMS,RB10,0.888047996,1.879489078,0.084527877,-0.420895932,1.807365864,0.137704428,1.528464072,-4.105884673,-1
89,MODEL1,PARMS,RB10,0.882127116,0.458867096,0.177768404,-0.533914292,1.980633473,0.211136102,0.834172724,-2.418758376,-1
90,MODEL1,PARMS,RB10,0.811224759,13.37059828,-0.194852097,0.132241337,0.309563234,-0.464840329,2.393620973,-5.187193229,-1
91,MODEL1,PARMS,RB10,0.794264678,3.050992445,0.10068255,-0.090595958,-0.125786699,0.059918968,1.343237965,-3.30070345,-1
92,MODEL1,PARMS,RB10,0.891827695,6.729433291,-0.050941813,-0.110128157,0.126836015,-0.104899223,1.665396511,-4.348095116,-1
93,MODEL1,PARMS,RB10,0.902113033,14.57077077,-0.122014927,-0.087500516,0.7637047,-0.556177759,2.168559503,-4.446965753,-1
94,MODEL1,PARMS,RB10,0.834476363,16.50256476,0.085844549,-0.196824714,0.762983015,-0.741687234,2.454489077,-4.362219706,-1
95,MODEL1,PARMS,RB10,0.76626996,2.460871638,0.119363332,-0.23995267,0.300458472,0.112232826,-0.208655467,0.514049298,-1
96,MODEL1,PARMS,RB10,0.859884049,4.643499759,0.076278856,-0.607937487,2.690793106,-0.007110885,0.795888961,-2.015867674,-1
97,MODEL1,PARMS,RB10,0.902226457,2.793189601,-0.033967847,-0.059995108,0.319093859,0.11113346,1.402119271,-3.838463004,-1
98,MODEL1,PARMS,RB10,0.883717695,14.66207884,-0.175406667,0.38519206,-1.949970077,-0.558718239,2.8639905,-5.884284209,-1
99,MODEL1,PARMS,RB10,0.899808756,-1.351199975,0.043849353,-0.223632696,0.728802308,0.365752401,-0.920137993,1.574313407,-1
100,MODEL1,PARMS,RB10,0.847878723,17.26500804,-0.17727239,0.092956307,0.288033984,-0.7101192,2.883022261,-5.664918286,-1
101,MODEL1,PARMS,RB10,0.863639502,3.770365096,-0.105964071,0.034749622,0.234050919,0.085856819,0.75007742,-1.811793332,-1
102,MODEL1,PARMS,RB10,0.832060008,10.13283427,-0.181997055,0.451345809,-1.692076299,-0.285884292,2.395473725,-5.568107793,-1
103,MODEL1,PARMS,RB10,0.827562638,5.423019039,-0.142299274,0.122884791,-0.202483982,-0.006176768,1.390436692,-3.380027716,-1
104,MODEL1,PARMS,RB10,0.939540225,-2.05136586,0.084409702,-0.695169942,3.248371579,0.392247029,-0.47553809,1.001440652,-1
105,MODEL1,PARMS,RB10,0.856066987,10.0934143,-0.219115664,0.128873809,-0.035115532,-0.250425238,0.790360749,-1.308441083,-1
106,MODEL1,PARMS,RB10,0.833651628,-10.28634076,0.120223856,-0.234091317,0.732407123,0.85796166,-1.319815488,2.382445683,-1
107,MODEL1,PARMS,RB10,0.895897138,15.05464803,-0.015564144,0.018428312,-0.623549224,-0.6158894,2.003019982,-3.655965299,-1
108,MODEL1,PARMS,RB10,0.783516299,10.51988089,-0.027302557,-0.058742933,0.424167445,-0.344138355,1.919920155,-4.384462125,-1
109,MODEL1,PARMS,RB10,0.84399323,-2.058372376,0.015746791,-0.41575204,2.210232626,0.419064416,-0.976888631,2.08599747,-1
110,MODEL1,PARMS,RB10,0.843425349,17.3469133,-0.320422304,0.554053679,-2.329570219,-0.674027687,3.122638877,-7.104576608,-1
111,MODEL1,PARMS,RB10,0.892103094,2.09719832,-0.120502932,0.194898547,-0.837114488,0.186139706,0.688528531,-2.135141726,-1
112,MODEL1,PARMS,RB10,0.843992562,8.711933717,0.068418777,-0.356876625,1.49456951,-0.267460127,1.801618306,-4.124718682,-1
113,MODEL1,PARMS,RB10,0.8772314,-11.86594473,-0.02535063,-0.130774234,0.791057622,1.009906435,-2.06282927,4.062739272,-1
114,MODEL1,PARMS,RB10,0.881686398,8.728553029,0.009647829,0.074200516,0.161829179,-0.271755059,2.913367329,-7.030387187,-1
115,MODEL1,PARMS,RB10,0.853093845,8.662351176,0.065589421,-0.459127021,2.035871907,-0.258414896,1.611000976,-2.989253045,-1
116,MODEL1,PARMS,RB10,0.907163914,2.26858719,0.013693255,-0.103600217,0.367765166,0.14984642,-0.0251279,0.097816124,-1
117,MODEL1,PARMS,RB10,0.873463206,2.157659862,-0.123022452,-0.173462065,1.077288194,0.206844121,-0.41045054,0.952988954,-1
118,MODEL1,PARMS,RB10,0.8869198,5.346375097,-0.164570659,0.320138875,-1.043457493,0.004424908,1.333092684,-3.541356996,-1
119,MODEL1,PARMS,RB10,0.891507596,3.565582296,0.065280737,0.015139045,0.018934181,0.039301156,0.377649516,-0.450533402,-1
120,MODEL1,PARMS,RB10,0.861661226,9.389532914,0.138723573,-0.422280719,0.426918931,-0.321074488,2.210785968,-4.978861367,-1
121,MODEL1,PARMS,RB10,0.861795614,18.72929969,0.008246366,-0.193639198,0.678320706,-0.852796015,3.430335811,-6.634755494,-1
122,MODEL1,PARMS,RB10,0.883982068,19.85956927,0.04663599,-0.044426661,-0.336696347,-0.941820083,3.954429055,-8.434599014,-1
123,MODEL1,PARMS,RB10,0.875342271,2.36896162,-0.132692108,-0.163486702,1.114263919,0.199588192,-0.330294283,0.585995027,-1
124,MODEL1,PARMS,RB10,0.888110001,5.983146577,-0.012888986,0.065542563,-0.333506877,-0.075181565,1.251975095,-3.322811375,-1
125,MODEL1,PARMS,RB10,0.820672727,20.36050603,-0.006681829,-0.292154536,1.11910665,-0.939890731,3.558518789,-7.469968893,-1
126,MODEL1,PARMS,RB10,0.791793321,17.95924816,0.157349958,-0.432068526,1.247431817,-0.84868992,3.132121763,-6.521066487,-1
127,MODEL1,PARMS,RB10,0.879508366,-2.383134441,-0.04168576,0.155136776,-0.965911856,0.432268389,-0.557939916,1.138809988,-1
128,MODEL1,PARMS,RB10,0.867448857,14.48445876,0.092499755,-0.078390924,-0.200686665,-0.638988229,3.415194683,-7.357168602,-1
129,MODEL1,PARMS,RB10,0.808708819,12.65491257,-0.10563576,0.198298239,-0.277164228,-0.445320643,2.342276176,-5.401434082,-1
130,MODEL1,PARMS,RB10,0.873495006,-1.655113177,0.134420796,-0.395012006,1.419978444,0.354993742,-0.496956707,0.65075944,-1
131,MODEL1,PARMS,RB10,0.888092119,-8.128080238,-0.04816899,0.090408981,-0.001117241,0.777414402,-1.301833697,2.235702573,-1
132,MODEL1,PARMS,RB10,0.834311887,5.214905483,-0.196721091,0.125711953,-0.171509225,0.031896577,1.334815318,-3.895704496,-1
133,MODEL1,PARMS,RB10,0.843091765,12.96842064,0.037081732,-0.303720244,1.390264595,-0.508813125,1.510168994,-2.142913087,-1
134,MODEL1,PARMS,RB10,0.912836738,4.063878468,-0.307404524,0.638085143,-1.875710509,0.114302384,0.558162898,-0.826776449,-1
135,MODEL1,PARMS,RB10,0.910805043,5.990535597,-0.043685234,-0.555195736,3.489465928,-0.0502577,0.602067416,-1.142434468,-1
136,MODEL1,PARMS,RB10,0.857858325,10.97614148,0.078245405,-0.295176266,1.041482494,-0.417438982,1.957769051,-3.377309404,-1
137,MODEL1,PARMS,RB10,0.940500805,3.924264287,-0.108762716,-0.178228559,2.026085081,0.077862765,1.145902934,-2.787931727,-1
138,MODEL1,PARMS,RB10,0.823513967,6.783088769,-0.048257967,-0.029636565,0.073291769,-0.103755942,0.857105446,-1.782451526,-1
139,MODEL1,PARMS,RB10,0.819280316,0.520977851,-0.133708705,0.326587499,-1.192479346,0.279770269,0.264684747,-0.760991722,-1
140,MODEL1,PARMS,RB10,0.778455232,-0.467721137,-0.053577216,-0.246356817,1.777869097,0.336312388,-0.258960547,0.068235721,-1
141,MODEL1,PARMS,RB10,0.897029399,12.57824856,0.149893593,-0.774313647,2.885650464,-0.504370236,1.772296587,-3.068326374,-1
142,MODEL1,PARMS,RB10,0.846512943,1.277383956,-0.109174421,-0.061485028,0.595320814,0.256754976,-0.289177609,0.280724958,-1
143,MODEL1,PARMS,RB10,0.838878903,0.679234502,-0.106956547,0.09770616,-0.513692533,0.281144389,-0.531238825,1.039920027,-1
144,MODEL1,PARMS,RB10,0.822242885,14.40927956,0.096078698,-0.480608897,1.807267019,-0.590607972,2.063930772,-4.293907934,-1
145,MODEL1,PARMS,RB10,0.836036441,11.79710158,-0.206274904,0.394162576,-1.53461762,-0.370976454,1.060705156,-1.507713829,-1
146,MODEL1,PARMS,RB10,0.866480191,10.29145219,0.035358365,-0.295642448,1.069812064,-0.343059081,1.493561445,-2.737222309,-1
147,MODEL1,PARMS,RB10,0.872846414,9.863552867,-0.166245075,0.172659801,-0.494427826,-0.259719266,0.834372949,-1.183852691,-1
148,MODEL1,PARMS,RB10,0.947546079,20.53970369,0.203141114,-1.328608831,6.256699152,-1.004112557,3.206307442,-5.947530547,-1
149,MODEL1,PARMS,RB10,0.837126338,-5.976073207,-0.06753748,0.325208607,-1.547550174,0.650384272,-0.8364436,1.104199965,-1
150,MODEL1,PARMS,RB10,0.79424718,3.499208082,-0.215895431,0.118914397,0.438101612,0.14260916,-0.517116476,1.77699302,-1
151,MODEL1,PARMS,RB10,0.853097824,8.844361759,0.109869835,-0.383516628,1.646870094,-0.281903165,1.791819633,-4.096213277,-1
