SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sRB10
642,MODEL1,PARMS,sRB10,0.920739436,-5.515194764,0.184607782,-0.209231021,0.421973366,0.488920421,-1.589864165,4.273093039,-1
643,MODEL1,PARMS,sRB10,1.007025801,-11.08359995,-0.242111508,0.497737168,-2.222683035,0.967444376,-3.270229263,7.088565837,-1
644,MODEL1,PARMS,sRB10,0.826935,12.57919446,-0.155600068,0.583441147,-1.917333877,-0.520532738,2.290062063,-5.030974351,-1
645,MODEL1,PARMS,sRB10,0.956424531,0.663193862,-0.012661153,0.14273651,-0.388099374,0.173450529,-0.412710401,1.185590431,-1
646,MODEL1,PARMS,sRB10,0.863957712,2.971857438,0.00362255,0.170428988,-1.397293482,0.028282659,0.525602604,-1.548512277,-1
647,MODEL1,PARMS,sRB10,0.874598644,-3.124060311,-0.022515376,-0.04622414,0.517909248,0.410382111,-0.959236075,2.219779866,-1
648,MODEL1,PARMS,sRB10,0.940673699,4.194455284,0.053311204,-0.073275035,0.873949648,-0.069272305,1.183897054,-2.506804597,-1
649,MODEL1,PARMS,sRB10,0.842840987,7.28410107,-0.100120076,0.417110576,-1.81245704,-0.197142128,0.385871315,-1.167883494,-1
650,MODEL1,PARMS,sRB10,0.953040633,-5.186986619,0.159329647,-0.513711001,2.360358073,0.481022971,-0.621709492,1.297193696,-1
651,MODEL1,PARMS,sRB10,0.883311283,5.539930085,-0.094823813,0.104311783,0.042899808,-0.082135994,-0.43540839,1.373067304,-1
652,MODEL1,PARMS,sRB10,0.886749433,9.35160325,-0.244168616,0.533999033,-1.375004153,-0.296299423,0.714290586,-0.194572738,-1
653,MODEL1,PARMS,sRB10,0.851861964,6.39329037,-0.022214174,0.050267562,-0.723357124,-0.168713394,-0.509489941,2.667628167,-1
654,MODEL1,PARMS,sRB10,0.931369022,5.977638252,0.037344927,0.157405062,-0.704703688,-0.170379356,-0.02774555,1.187231853,-1
655,MODEL1,PARMS,sRB10,0.878962026,-0.753251544,-0.072253706,0.057996586,-0.372858519,0.286522701,-1.642910699,4.447034826,-1
656,MODEL1,PARMS,sRB10,0.915876026,-10.69540956,0.189996855,-0.886014874,3.872591195,0.832685719,-2.582900068,5.02832234,-1
657,MODEL1,PARMS,sRB10,0.851957013,16.65709206,0.084373202,-0.046800563,0.200317442,-0.823071324,2.766647583,-5.587280605,-1
658,MODEL1,PARMS,sRB10,0.798925592,1.626075575,-0.093785991,0.074004035,-0.101508709,0.156851126,-1.085347683,2.812844648,-1
659,MODEL1,PARMS,sRB10,0.893244144,-3.034198325,-0.068406176,0.011517744,1.087689823,0.421828258,-1.986439703,4.841131738,-1
660,MODEL1,PARMS,sRB10,0.878260624,-2.709675741,-0.171567421,0.506743013,-0.458644785,0.413974863,-1.437810836,3.411461663,-1
