SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sLB1
590,MODEL1,PARMS,sLB1,0.478171913,-1.556490425,0.095515207,-0.182299698,0.643575909,0.179717649,-0.641286516,1.295251983,0.288891198,-0.266119017,0.364495492,-1
591,MODEL1,PARMS,sLB1,0.524955279,0.036183344,0.085846113,-0.196529599,0.552325661,0.105021735,-0.152337939,-0.013420784,0.18202008,-0.06851148,0.058890775,-1
592,MODEL1,PARMS,sLB1,0.529597685,-0.182456589,0.12021828,-0.032083489,-0.23210208,0.06388918,0.044348745,-0.542098715,0.319550237,-0.263623741,0.522717633,-1
593,MODEL1,PARMS,sLB1,0.546274745,2.698463316,0.12554817,-0.109287197,0.063857116,-0.148307634,0.721878043,-2.11057177,0.445097542,-0.635365826,1.111692329,-1
594,MODEL1,PARMS,sLB1,0.50379421,-5.407085811,0.203329187,-0.380581622,1.17158211,0.426891438,-1.231553826,2.505362801,0.186300489,-0.389865059,0.870125681,-1
595,MODEL1,PARMS,sLB1,0.526085018,0.502024015,0.006143696,0.226069406,-0.949893959,0.078214653,0.157876917,-1.244880425,0.197090836,-0.063431647,0.351777274,-1
596,MODEL1,PARMS,sLB1,0.51079648,-1.524894618,0.184173682,-0.213823155,0.298036899,0.225943814,-0.215923289,-0.42461895,-0.087776859,1.145009746,-2.552780449,-1
597,MODEL1,PARMS,sLB1,0.509450125,-1.177652908,0.089635627,-0.120605871,0.335814177,0.138235952,-0.568039556,1.201544814,0.38355114,-0.495905035,0.868319431,-1
598,MODEL1,PARMS,sLB1,0.525887559,-1.161263032,0.129415998,-0.207016241,0.562434942,0.151439512,-0.195645444,0.138213636,0.25760596,-0.425089365,0.788778802,-1
599,MODEL1,PARMS,sLB1,0.558666032,-0.915986992,0.154349248,-0.276724284,0.737498889,0.088552494,-0.079717702,0.11504876,0.48414563,-1.546552726,3.138733854,-1
600,MODEL1,PARMS,sLB1,0.538611517,-2.339746476,0.208616524,-0.363552511,0.989074679,0.177392673,-0.388217828,0.402548621,0.391969149,-0.724458084,1.52738406,-1
601,MODEL1,PARMS,sLB1,0.536314052,1.580674236,0.137982059,-0.257950906,0.71121075,-0.01220067,0.210379501,-0.866606237,0.165471415,-0.088887381,0.314712901,-1
602,MODEL1,PARMS,sLB1,0.540222679,-6.762538976,0.050817024,0.008564112,-0.14176891,0.522372183,-1.525482867,3.077205368,0.332471283,-0.313755383,0.306832688,-1
