SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LB1
547,MODEL1,PARMS,LB1,0.738169619,-10.1211996,0.196787028,-0.255551551,0.440694395,0.763474402,-2.221578706,4.519246318,0.303238129,-0.5274729,0.849994606,-1
548,MODEL1,PARMS,LB1,0.662948925,0.760796882,0.116704198,-0.210997155,0.301379254,0.052164821,-0.178248934,0.463688454,0.331683742,-0.053471567,-0.233551651,-1
549,MODEL1,PARMS,LB1,0.735599304,-0.978507489,0.129109682,-0.459860509,1.411145794,0.226066826,-0.567057613,0.966703664,0.134197774,-0.189796773,0.407584507,-1
550,MODEL1,PARMS,LB1,0.698641935,4.769644792,0.235239237,-0.802529686,3.009693192,-0.131028358,0.928520514,-2.643747589,-0.137589654,0.823797365,-1.469313014,-1
551,MODEL1,PARMS,LB1,0.647585087,-2.513305884,0.086970064,-0.203952263,0.787542244,0.257447145,-0.284117824,0.381826133,0.413287215,-0.769919899,1.525242888,-1
552,MODEL1,PARMS,LB1,0.68051059,2.813042113,0.152646881,-0.323930407,0.613450513,-0.000552568,-0.242856589,0.704050921,-0.06122201,1.179611819,-2.659816857,-1
553,MODEL1,PARMS,LB1,0.677895306,-1.8062998,0.075961752,-0.347238742,1.313564217,0.235072961,-0.19871274,0.081942222,0.355104771,-0.450068187,0.854376493,-1
554,MODEL1,PARMS,LB1,0.750480907,0.667617402,0.111086925,-0.277414492,0.609806491,0.070094489,0.040598342,-0.208132067,0.330026785,0.136433747,-0.805105235,-1
555,MODEL1,PARMS,LB1,0.669170298,-3.421306,0.223396211,-0.602343501,1.979936836,0.385362689,-0.439571451,0.481332178,-0.056482595,0.604383046,-1.093753879,-1
556,MODEL1,PARMS,LB1,0.747616,-5.2720865,0.080975676,-0.354384716,1.476023544,0.474101957,-1.414931427,3.148267273,0.33056583,-0.598962374,1.188624199,-1
557,MODEL1,PARMS,LB1,0.733080228,4.074011685,0.162385497,-0.430038364,1.164624119,-0.152274938,0.334013853,-0.884968953,0.270685053,0.171508446,-0.480411764,-1
558,MODEL1,PARMS,LB1,0.656408881,2.58344708,0.16899745,-0.568600675,1.899643115,-0.05016044,-0.047680002,0.001920251,0.247331562,-0.022438527,-0.016240407,-1
559,MODEL1,PARMS,LB1,0.646686319,2.790774467,0.058494196,-0.249377835,0.762077687,-0.047289014,0.281452339,-0.825187627,0.308022701,-0.536563219,1.092203482,-1
560,MODEL1,PARMS,LB1,0.754140239,1.460811152,0.056322959,-0.157952234,0.31640105,0.147840597,0.082665087,0.04212255,-0.204719444,1.283194719,-3.1029084,-1
561,MODEL1,PARMS,LB1,0.678039735,-9.977677191,0.133101631,-0.357941642,1.048628405,0.735829344,-1.928936241,3.800606061,0.460830727,-0.789938757,1.564421739,-1
562,MODEL1,PARMS,LB1,0.625088161,-0.312113751,0.195012926,-0.133778127,-0.094376714,0.125373209,0.105921626,-0.726869636,0.155658568,0.025248148,0.153587291,-1
563,MODEL1,PARMS,LB1,0.679386856,1.520416797,0.187231949,-0.215798219,0.172468769,-0.02718502,-0.249486828,0.655844718,0.384252066,-0.635288209,1.652640846,-1
564,MODEL1,PARMS,LB1,0.667428859,8.77614452,0.200709677,-0.213201217,0.129028427,-0.494135674,2.145673087,-5.268893873,0.297919203,-0.871961269,2.367556029,-1
565,MODEL1,PARMS,LB1,0.689521377,6.707552476,0.155475227,-0.157936066,0.128156881,-0.30456175,0.973732608,-1.859701714,0.103015866,-0.114090744,0.606365386,-1
566,MODEL1,PARMS,LB1,0.710621098,1.287593124,0.205459286,-0.417770229,1.058236043,-0.04152643,1.074547282,-2.824562591,0.525015508,-1.908056886,4.587323992,-1
567,MODEL1,PARMS,LB1,0.708889399,-0.4323712,-0.09807352,-0.059753003,0.651981123,0.257603125,-0.435692284,1.087385581,0.111285374,0.129609626,-0.280232334,-1
568,MODEL1,PARMS,LB1,0.673156973,-5.095116504,0.187344043,-0.691754138,2.426222302,0.407532381,-1.182614963,2.085003258,0.489360169,-1.073398969,2.16416233,-1
569,MODEL1,PARMS,LB1,0.715473701,4.772533793,0.18079017,-0.494150855,1.75715786,-0.23835461,1.243219745,-2.803031985,0.358795168,-0.413621197,0.722654624,-1
570,MODEL1,PARMS,LB1,0.643272287,1.228938104,0.084591114,-0.211492217,0.416765568,0.0663102,0.853910894,-2.362534016,0.151124232,0.024955097,-0.170270689,-1
571,MODEL1,PARMS,LB1,0.720074893,1.816249096,0.157998831,-0.292646471,0.857357719,-0.042689005,1.115051016,-2.855053721,0.395966981,-1.045852656,2.134888185,-1
572,MODEL1,PARMS,LB1,0.697681859,0.918563695,0.179435605,-0.45414952,1.154888976,0.06050032,-0.542476381,0.975036923,0.258736025,-0.320161049,0.815862557,-1
573,MODEL1,PARMS,LB1,0.644082131,4.044126778,0.2263712,-0.498234256,1.142344629,-0.180593063,0.752277307,-2.081584909,0.283746618,-0.383633807,0.946642025,-1
574,MODEL1,PARMS,LB1,0.718107293,-1.806516388,0.187786905,-0.297852879,0.640039749,0.190574899,-0.616501194,1.431178622,0.376424377,-0.51867228,1.121509599,-1
575,MODEL1,PARMS,LB1,0.618938802,3.164844963,0.097885681,-0.394838732,1.626651349,-0.083869958,0.415207432,-0.774112646,0.296659039,-0.558040554,1.201148978,-1
576,MODEL1,PARMS,LB1,0.693952415,-8.81342831,0.055631005,-0.114443315,0.684283189,0.656268438,-1.88450165,3.63008875,0.541456655,-1.043783867,2.38507209,-1
577,MODEL1,PARMS,LB1,0.614770602,1.941206842,0.14803397,-0.060803149,-0.429539229,-0.025788435,0.428938795,-0.773073905,0.240626026,-0.114332489,0.28767295,-1
578,MODEL1,PARMS,LB1,0.726606598,-5.737660644,0.120091513,-0.43937999,1.56656122,0.435257026,-1.61089265,3.595484186,0.665146198,-1.659347873,3.197995795,-1
579,MODEL1,PARMS,LB1,0.677764656,-3.223383067,0.164307633,-0.380831296,1.131276661,0.257909494,-0.348814237,0.325368237,0.563052454,-1.185512232,2.694764642,-1
580,MODEL1,PARMS,LB1,0.661383318,1.981985308,0.164561941,-0.139287797,-0.225328142,-0.002893515,0.172952057,-0.80526787,0.13189962,0.486103242,-1.012973721,-1
581,MODEL1,PARMS,LB1,0.774040793,3.848303702,0.098290765,-0.27715322,0.849959736,-0.158188428,0.198919974,-0.194495473,0.424368839,-0.00883729,-0.505561328,-1
582,MODEL1,PARMS,LB1,0.651647213,1.065952079,0.007298207,-0.241553157,1.271595567,0.052297963,0.679147555,-2.032038172,0.435784069,-1.016456138,2.025985777,-1
583,MODEL1,PARMS,LB1,0.73086026,1.993041073,-0.025615752,-0.001075854,-0.008246048,0.06068308,0.436400626,-1.237998384,0.131493285,-0.073171701,0.308941647,-1
584,MODEL1,PARMS,LB1,0.655599191,-1.595166284,0.053918789,0.06465067,-0.661177742,0.297923686,-0.622115239,1.031447074,0.003646577,0.845703015,-2.131726909,-1
585,MODEL1,PARMS,LB1,0.653100453,5.237607487,0.061003333,-0.259686619,0.384008388,-0.238788049,1.269031455,-3.16271112,0.503385382,-1.385988198,2.911244343,-1
586,MODEL1,PARMS,LB1,0.647811702,-2.435338656,0.088297769,-0.257328412,0.813527703,0.23880216,-0.495699672,0.85621687,0.540032351,-1.096248024,1.990064933,-1
587,MODEL1,PARMS,LB1,0.687570728,2.805382868,0.068512308,-0.123267559,-0.048483982,0.003471329,0.231688129,-0.934909034,0.06311774,0.284652929,-0.4386345,-1
588,MODEL1,PARMS,LB1,0.679549279,3.338384146,0.145325304,-0.487316668,1.903932095,-0.07656903,0.179506288,-0.367289323,0.15357209,0.431708355,-0.812481543,-1
589,MODEL1,PARMS,LB1,0.715080013,2.267411247,0.229901803,-0.644799461,2.058802429,-0.016185873,-0.048863206,0.264046332,0.090827438,0.22380448,-0.452576643,-1
590,MODEL1,PARMS,LB1,0.679404807,-0.351030605,0.121558099,-0.325515135,0.80959589,0.102634202,-0.194528059,0.438950902,0.500487189,-0.976475524,1.748807443,-1
591,MODEL1,PARMS,LB1,0.728583551,0.03104879,0.13938784,-0.35720053,1.123924737,0.100100339,-0.012346489,-0.178891604,0.337512783,-0.472401356,1.036029414,-1
592,MODEL1,PARMS,LB1,0.711438668,0.784568942,0.139228094,-0.27597784,0.657271206,0.008927614,0.135320978,-0.598947236,0.505695406,-0.650306583,1.342622335,-1
593,MODEL1,PARMS,LB1,0.732459437,4.168245999,0.105852624,-0.234380103,0.6309936,-0.168518434,1.044204143,-2.969878338,0.329896029,-0.182435537,0.42145337,-1
594,MODEL1,PARMS,LB1,0.695180932,-1.85564851,0.151971881,-0.517299571,1.397929997,0.25752184,-0.99598602,2.188930183,0.266490037,-0.643547439,1.458886266,-1
