SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RLL
362,MODEL1,PARMS,RLL,0.840912154,0.415251451,0.091344797,-0.226401302,0.780394201,0.165576271,-0.598229907,0.734757664,0.810131952,-1.695769826,3.698245551,-1
363,MODEL1,PARMS,RLL,0.851052732,-10.09049202,0.359374203,-0.821550697,2.537688959,0.816031325,-2.563396673,5.126006882,0.568209183,-0.476542364,0.942563431,-1
364,MODEL1,PARMS,RLL,0.84469563,10.61620524,0.053333524,-0.096822293,0.117058013,-0.585034196,3.078280619,-7.371367969,1.165574328,-2.411884686,4.289054614,-1
365,MODEL1,PARMS,RLL,0.83414961,1.004539328,-0.018023492,-0.222574289,1.045754356,0.130465327,0.029418908,-0.852278786,0.959951886,-1.913186112,3.47596708,-1
366,MODEL1,PARMS,RLL,0.839933905,-6.542928454,0.07403249,-0.259113489,1.047370365,0.611041774,-0.656033168,-0.023410501,0.856252812,-2.434955191,5.215084187,-1
367,MODEL1,PARMS,RLL,0.883962068,3.87582791,-0.120552299,0.074036258,0.462983263,0.04176539,0.369983364,-1.347190311,0.623943854,-1.611859702,3.457029345,-1
368,MODEL1,PARMS,RLL,0.840837131,-5.59396192,0.028210006,-0.083256453,0.60492523,0.676702046,-1.417533609,2.136091653,0.331470826,-0.347898445,0.530918411,-1
369,MODEL1,PARMS,RLL,0.878806887,1.144838008,0.024423886,0.075360943,-0.396850871,0.076775419,-0.014551845,-0.443591497,1.086695382,-2.947778143,6.181549826,-1
370,MODEL1,PARMS,RLL,0.811224696,-7.110612158,0.054707183,-0.387970708,1.928236092,0.757012491,-1.511113436,2.203464399,0.392843917,-0.481726192,1.226064792,-1
371,MODEL1,PARMS,RLL,0.910076545,10.27609239,0.272990061,-0.833666177,3.207050814,-0.506487273,1.739877049,-3.171921511,0.619576831,-1.06210675,1.899638062,-1
372,MODEL1,PARMS,RLL,0.746399617,-3.984725029,0.030503494,0.077626209,-0.542849999,0.507296579,-1.138223264,1.732906248,0.539794844,0.023114331,-0.651712332,-1
373,MODEL1,PARMS,RLL,0.844954456,-4.961824014,-0.078228132,0.312816136,-1.193688141,0.444178362,-1.116262531,1.94757273,1.404155959,-3.511206123,6.515843244,-1
374,MODEL1,PARMS,RLL,0.795434098,-2.221235963,0.132402012,-0.345546259,1.145485274,0.307531394,-0.29869915,-0.061528954,0.897689342,-2.022027951,4.016459051,-1
375,MODEL1,PARMS,RLL,0.811520989,-3.50887135,0.174877624,-0.367145062,1.273847087,0.278011345,0.115261026,-1.095285252,1.308390868,-3.084897666,6.072153781,-1
376,MODEL1,PARMS,RLL,0.842438417,3.118631892,-0.107159216,-0.27778262,1.709492725,0.137464401,0.235140965,-1.386868789,0.490954437,-1.332210271,2.941402696,-1
377,MODEL1,PARMS,RLL,0.852126375,-1.368122263,-0.09914512,0.453860813,-1.887249547,0.306018093,0.004672223,-1.038090372,0.847980053,-1.300135759,2.178718432,-1
378,MODEL1,PARMS,RLL,0.828450999,5.32638818,0.093865186,-0.503708444,1.993319508,0.044533221,0.354290537,-1.682386354,-0.128820234,1.470753883,-3.169801523,-1
379,MODEL1,PARMS,RLL,0.843483777,3.211802068,-0.023863118,0.249466657,-1.025352833,0.011102107,0.84696172,-2.476794266,0.708964633,-1.370444764,2.6701004,-1
380,MODEL1,PARMS,RLL,0.845043788,4.025054518,0.073606738,-0.21369833,0.669222541,0.071039964,0.174813787,-0.977340702,0.152120965,0.113858999,-0.096814105,-1
381,MODEL1,PARMS,RLL,0.867289664,3.117032971,-0.095068689,-0.019127664,0.17153921,0.115482357,0.244407038,-0.81835067,0.520109265,-1.350171955,2.870986865,-1
382,MODEL1,PARMS,RLL,0.868585223,-3.533040575,0.161475415,-0.549302715,1.438890196,0.348090176,-0.864278067,1.238128573,1.128508491,-3.021194034,6.200888185,-1
383,MODEL1,PARMS,RLL,0.796391078,-5.098830335,0.087283746,-0.358369459,1.272768658,0.564214171,-1.223002811,1.943458228,0.636898626,-0.935104746,1.580349749,-1
384,MODEL1,PARMS,RLL,0.819501671,-1.295387036,-0.030439435,0.052507733,-0.005662494,0.324105022,0.130562799,-1.13375002,0.664399702,-0.888824044,1.225782449,-1
385,MODEL1,PARMS,RLL,0.811978064,3.471334411,-0.005679075,0.1162995,-0.238802479,0.063449966,0.561180565,-2.130719497,0.339264074,0.164229674,-0.406048415,-1
386,MODEL1,PARMS,RLL,0.829661252,0.085631904,-0.125307058,0.091131487,-0.031683747,0.387737216,-1.299145816,2.801714534,0.201635285,0.039884364,-0.008012058,-1
387,MODEL1,PARMS,RLL,0.872276448,4.528118495,0.104712361,-0.151074963,0.109228511,-0.149213573,0.494591029,-1.626168278,0.993106792,-2.151646834,4.29877598,-1
388,MODEL1,PARMS,RLL,0.824480797,-7.818757084,0.203775296,-0.252254614,0.610659801,0.665364111,-1.622339691,2.186435417,0.766497241,-1.346390802,3.051888419,-1
389,MODEL1,PARMS,RLL,0.811397137,0.405884464,0.024582173,0.053975646,-0.419837912,0.219769014,0.070406088,-0.843494848,0.644519837,-1.851259168,4.078176466,-1
390,MODEL1,PARMS,RLL,0.833506138,1.111185228,-0.068033246,0.08430116,0.191232408,0.177018358,-0.000525908,-0.695527533,0.736314071,-1.653551628,3.475084349,-1
391,MODEL1,PARMS,RLL,0.870654355,5.170698657,0.148104246,-0.502009222,1.633661055,-0.080968948,-0.149405511,0.121314045,0.48920162,-0.688990656,1.214458988,-1
392,MODEL1,PARMS,RLL,0.87002167,-5.349842309,-0.1483423,0.286992395,-1.042703238,0.675414296,-1.787880838,3.926869497,0.587823164,-1.445596435,2.76339444,-1
393,MODEL1,PARMS,RLL,0.903790535,6.698064978,-0.042425804,0.024723367,-0.225081031,-0.226198069,1.210916189,-2.935122795,0.889589442,-2.374873793,4.767075211,-1
394,MODEL1,PARMS,RLL,0.897488103,-1.266488273,-0.001914412,0.09281147,-0.493698917,0.330761894,-0.513861006,0.195358196,0.647910628,-0.978455374,1.761586747,-1
395,MODEL1,PARMS,RLL,0.806655077,3.23400195,-0.07675256,0.101008849,-0.322551046,0.106637621,-0.125587681,-0.289969315,0.463993931,-0.621100204,1.159658464,-1
396,MODEL1,PARMS,RLL,0.850537595,-1.537739212,0.166834013,-0.726154504,3.271804735,0.241278596,-0.258111174,0.429372221,0.95238686,-2.329725799,4.284793442,-1
397,MODEL1,PARMS,RLL,0.826167119,7.052621822,0.09025989,-0.191332854,0.644264855,-0.148354519,1.337979916,-3.850095853,0.149290018,0.761708127,-1.84342649,-1
398,MODEL1,PARMS,RLL,0.789228827,-4.378898805,0.009266203,0.243429429,-1.094247884,0.41490331,-1.290178186,2.440446405,1.199487423,-2.544340327,4.626753967,-1
399,MODEL1,PARMS,RLL,0.842209988,2.433939906,-0.094949534,0.605356666,-1.952219747,0.168320074,-0.319844501,0.25392191,0.272755029,0.373947154,-0.921274528,-1
400,MODEL1,PARMS,RLL,0.896569382,-1.011807258,0.022948137,-0.39316161,1.683208061,0.386822613,-0.505192779,0.358659968,0.361312464,-0.461782619,0.695186418,-1
401,MODEL1,PARMS,RLL,0.858919341,-1.075497106,0.02714424,0.266323984,-1.113431332,0.269539278,-0.516929913,0.691203552,0.811788368,-2.007741632,4.283202303,-1
402,MODEL1,PARMS,RLL,0.800668082,2.192209599,-0.061982346,0.298809711,-1.017251048,0.144496149,0.552970362,-2.123577323,0.505342713,-1.640685262,3.872619375,-1
403,MODEL1,PARMS,RLL,0.819129954,7.08758403,0.111736748,-0.568492957,2.736133463,-0.292963918,1.323255693,-3.272475253,0.816168935,-0.94886113,1.189800642,-1
404,MODEL1,PARMS,RLL,0.799480486,-2.776269008,0.00890564,-0.045116091,-0.066177786,0.466582024,-1.27370389,2.148056992,0.512047646,-0.630191834,0.94744327,-1
405,MODEL1,PARMS,RLL,0.823465183,1.965201916,0.030978777,-0.09806458,0.258212278,0.057906133,0.450352671,-1.616244139,0.871630975,-1.366761411,2.39888293,-1
406,MODEL1,PARMS,RLL,0.829974451,-1.687648973,0.026994708,0.078787345,-0.20809382,0.410015313,-0.697200002,0.507354065,0.341196911,-0.110587962,0.260618168,-1
407,MODEL1,PARMS,RLL,0.85134619,-6.309581103,0.179157775,-0.489792583,1.575119568,0.67975783,-1.728378965,3.035039849,0.386885593,-1.262010598,3.047938952,-1
408,MODEL1,PARMS,RLL,0.908008068,3.376104613,-0.019797734,-0.193858463,0.629270454,0.070852561,-0.09654845,-0.489917254,0.579598419,-1.341079705,3.049692407,-1
409,MODEL1,PARMS,RLL,0.922058537,5.553395178,0.129987237,-0.189198546,0.158758705,-0.175518925,0.719585998,-1.876738595,0.768183416,-2.012050266,4.047787426,-1
410,MODEL1,PARMS,RLL,0.805315123,3.721666223,0.019890976,-0.098792194,0.318827444,0.030100088,0.453404361,-1.938370896,0.580899073,-1.637613492,3.910283223,-1
411,MODEL1,PARMS,RLL,0.806522865,-7.950469867,0.141097234,-0.144294779,0.161143194,0.731032303,-1.162647491,0.979646145,0.628794693,-0.761655311,1.383794544,-1
412,MODEL1,PARMS,RLL,0.874879596,-3.609616082,-0.030405067,0.094362451,-0.561499046,0.54926119,-1.468138748,2.875239172,0.422610185,-0.746098278,1.5811551,-1
413,MODEL1,PARMS,RLL,0.783786061,7.022966809,0.149642181,-0.570897215,2.258984071,-0.28901848,0.97469008,-1.848590461,0.844262444,-2.078656311,4.050324404,-1
414,MODEL1,PARMS,RLL,0.85493363,5.078718999,0.077860321,-0.30569463,1.54868589,-0.050196132,0.73209689,-1.984064496,0.345803135,-0.377322613,0.715608651,-1
415,MODEL1,PARMS,RLL,0.876960563,6.418188322,-0.00953384,0.140382336,-0.646956328,-0.113524096,0.868973209,-2.603749866,0.33299196,-0.241598918,0.257907803,-1
416,MODEL1,PARMS,RLL,0.793078641,4.627782978,-0.097148926,0.7463066,-3.647226136,0.016998503,-0.35016082,0.545916424,0.347208393,0.272631123,-0.816925712,-1
417,MODEL1,PARMS,RLL,0.874034964,-8.054995663,0.056274238,-0.050821216,0.094283471,0.676323892,-2.40171062,4.943014737,1.062517485,-2.499826229,4.884643588,-1
