SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB4_5
53,MODEL1,PARMS,RB4_5,0.829600549,-0.856270376,-0.050700799,0.276397813,-1.200190336,0.229388461,-0.279781887,0.305439423,0.813041778,-1.658923995,2.835234832,-1
54,MODEL1,PARMS,RB4_5,0.862785331,5.990107565,0.058668964,-0.633595139,2.548083642,-0.108124066,-0.286820714,0.905718729,0.280260267,0.227277919,-0.870769379,-1
55,MODEL1,PARMS,RB4_5,0.884910467,4.213909062,0.034744705,-0.204051255,0.616259749,-0.095522404,0.591911571,-1.969846726,0.769079426,-1.939241779,4.094560329,-1
56,MODEL1,PARMS,RB4_5,0.798583489,8.17795205,0.157674101,-0.45407382,1.327163527,-0.335992155,0.918793094,-1.974918757,0.476693611,-0.881199624,1.671205168,-1
57,MODEL1,PARMS,RB4_5,0.852796226,3.551268733,-0.104082813,0.142395155,-0.330425919,0.012188836,-0.897509176,2.50526761,0.663332196,-1.350848951,2.223460482,-1
58,MODEL1,PARMS,RB4_5,0.892349716,11.11130906,0.080531584,-0.45320836,1.369667236,-0.568103226,2.147270128,-5.386768365,0.797264141,-1.401914989,2.270304171,-1
59,MODEL1,PARMS,RB4_5,0.92352294,8.853553022,0.051901238,-0.07435111,-0.461826083,-0.358634299,0.104481047,0.847791848,0.529674611,-0.331471802,0.147959265,-1
60,MODEL1,PARMS,RB4_5,0.798819409,5.372142586,0.118692692,-0.562551814,1.585763717,-0.168981105,0.632274751,-1.468770751,0.693161323,-2.111691181,4.443506861,-1
61,MODEL1,PARMS,RB4_5,0.857423732,-1.384967575,0.055890608,0.08427965,-1.251843116,0.292737261,-0.253910683,0.337977334,0.567405101,-1.547807764,3.113948131,-1
62,MODEL1,PARMS,RB4_5,0.823146326,5.204170905,0.166939061,-0.49534644,1.234891125,-0.146339051,-0.117884856,-0.009781164,0.571720646,-1.996343939,4.948590183,-1
63,MODEL1,PARMS,RB4_5,0.82255256,7.707147123,0.023601285,-0.072979795,0.068998579,-0.302815967,0.861014895,-2.223399839,0.643982015,-1.167744418,2.21816661,-1
64,MODEL1,PARMS,RB4_5,0.830741963,10.64507126,-0.058553131,0.132167498,-0.736787082,-0.484092188,1.956516629,-4.223174277,0.724805735,-2.247681852,4.505834115,-1
65,MODEL1,PARMS,RB4_5,0.896312706,3.964794032,-0.003806017,-0.195392736,1.013163396,-0.068085341,-0.133546296,0.266649571,0.806952637,-2.286751273,4.803802023,-1
66,MODEL1,PARMS,RB4_5,0.925288966,5.122541764,-0.01888387,0.072895386,-0.658794209,-0.097612928,-0.299794914,1.317134061,0.600982897,-1.181150191,1.973640066,-1
67,MODEL1,PARMS,RB4_5,0.926481867,9.12876546,0.145938846,-0.61649433,2.343001286,-0.411724564,1.570283286,-3.587042003,0.484105191,-0.369939809,0.446910027,-1
68,MODEL1,PARMS,RB4_5,0.898200852,6.710667399,-0.064972002,0.233711529,-1.147508474,-0.281746406,0.382928238,-0.584595163,0.94551789,-1.72070274,2.688567411,-1
69,MODEL1,PARMS,RB4_5,0.794129669,3.518138455,-0.011752838,-0.177526833,0.576350673,0.096684468,-0.272958059,0.445038143,0.177594228,-0.798202141,2.079657612,-1
70,MODEL1,PARMS,RB4_5,0.917403787,9.787554275,-0.242282079,0.672760336,-2.932728427,-0.391924544,0.600991408,-1.225913377,0.838357372,-1.808953524,3.354707183,-1
71,MODEL1,PARMS,RB4_5,0.934511589,17.10048186,0.188605193,-0.650286989,1.350067863,-0.813212495,1.891630385,-4.128996072,0.043014196,0.279664334,-0.351212357,-1
72,MODEL1,PARMS,RB4_5,0.983938809,-2.053921405,0.157541028,-0.514628575,1.681841976,0.266317299,-0.997742407,1.969753574,0.798079367,-1.140301117,1.830017687,-1
73,MODEL1,PARMS,RB4_5,0.856969951,5.05321979,0.083097134,-0.892821026,3.62605048,-0.03873505,-1.097938029,2.573090517,0.360873064,-0.73396683,1.647533088,-1
74,MODEL1,PARMS,RB4_5,0.886271087,12.83471514,0.027077741,0.129006717,-0.777385863,-0.682025353,2.372618389,-5.51008732,0.764048477,-1.663734281,2.940536996,-1
75,MODEL1,PARMS,RB4_5,0.790104186,7.068891501,0.083230325,0.013073925,-0.84963498,-0.265184163,0.899598884,-2.342019943,0.525968267,-0.430373408,0.671879573,-1
76,MODEL1,PARMS,RB4_5,0.895930447,5.984809801,-0.044655083,0.087787603,-0.160567173,-0.159072884,0.148848301,-0.325067603,0.611886429,-1.499043333,3.079667968,-1
