SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LMB
679,MODEL1,PARMS,LMB,1.03981205,11.26211054,0.327029183,-0.628770716,2.265657435,-0.49590391,1.827554241,-3.702050716,1.3028065,-3.360498697,6.533852667,-1
680,MODEL1,PARMS,LMB,1.191597276,14.90226863,0.251687354,-0.720159449,2.964094503,-0.555457933,2.407629191,-4.658409558,0.570391983,-0.697194708,0.808203857,-1
681,MODEL1,PARMS,LMB,1.178840446,6.155748738,0.395329613,-0.93852812,4.306899808,-0.160698096,2.474699457,-6.017723134,1.084912175,-2.932697387,5.829362987,-1
682,MODEL1,PARMS,LMB,1.131414818,6.005474788,0.110870528,-0.0659592,0.464465776,-0.008653094,1.004609901,-2.16668925,0.880565688,-1.727686875,3.095515051,-1
683,MODEL1,PARMS,LMB,1.084948065,-0.56275784,0.212478975,-0.253589835,1.283310553,0.209116223,1.000672037,-3.149088981,1.735426718,-4.97846205,10.24419093,-1
684,MODEL1,PARMS,LMB,1.258367885,14.89849884,0.115277852,-0.320509085,1.039423451,-0.788697844,1.263286315,-1.987719093,1.989341636,-4.409870404,7.446593586,-1
685,MODEL1,PARMS,LMB,1.183619261,10.79129291,0.498429057,-0.920262586,2.698532373,-0.362759019,0.83245136,-2.239660959,0.545182829,-0.313239952,0.368268971,-1
686,MODEL1,PARMS,LMB,1.178194889,-2.741809593,0.481553856,-0.684135139,2.66238875,0.440621019,0.314939607,-1.995234159,0.84557315,-1.068552541,1.455505202,-1
687,MODEL1,PARMS,LMB,1.044861441,2.351435824,0.206572423,-0.366745035,1.47613656,0.212963184,0.183078003,-0.19568871,0.872146598,-2.103053055,3.9446237,-1
688,MODEL1,PARMS,LMB,1.101648856,18.36658285,0.129314926,-0.197529375,0.93319169,-0.800595718,4.030418206,-9.751728841,0.799307281,-2.473704427,5.709435117,-1
689,MODEL1,PARMS,LMB,1.123369836,-0.988228032,0.458727665,-1.12023043,4.514498538,0.196932531,-0.008272565,-0.739744701,1.69566435,-4.482516222,9.057924298,-1
