SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LLB6
258,MODEL1,PARMS,LLB6,1.017082856,-7.415620222,0.222369986,-0.916048421,3.818505622,0.64810049,-1.359283151,3.048850547,1.269509168,-3.436987264,6.740144845,-1
259,MODEL1,PARMS,LLB6,1.015128986,-1.778116372,0.127040069,-0.636690079,2.432601537,0.366170668,-0.904158027,1.523810103,1.055410664,-2.632810475,5.682783047,-1
260,MODEL1,PARMS,LLB6,1.001043464,2.852454484,0.077977821,-0.254672962,0.742486799,0.039601802,0.968900595,-3.142709832,1.089558827,-2.664741418,5.557214722,-1
261,MODEL1,PARMS,LLB6,0.952794202,-4.953115603,0.161813308,-0.275198504,0.948915152,0.439279403,-1.089945091,2.597276195,1.528087444,-4.33114717,8.609123979,-1
262,MODEL1,PARMS,LLB6,0.988359697,-0.928785438,0.032961428,0.093688145,-0.52681996,0.266254993,-0.204277579,-0.760174487,1.257324932,-3.121863877,6.53955479,-1
263,MODEL1,PARMS,LLB6,1.018135482,-8.509746334,0.076151263,-0.365671786,1.095061012,0.664494727,-1.81794783,3.635698316,1.780189192,-4.983534067,10.05610567,-1
264,MODEL1,PARMS,LLB6,1.010383524,6.372745607,0.046724925,-0.317042164,1.588627919,-0.41775348,0.976649675,-1.566815396,2.278769947,-6.805059299,13.85269425,-1
265,MODEL1,PARMS,LLB6,0.991482811,-3.386576393,0.098974943,-0.508565482,2.116864192,0.415830294,-0.286017475,0.261134318,1.305563881,-3.852299688,7.799423015,-1
266,MODEL1,PARMS,LLB6,0.947067606,-7.321952289,0.136868253,-0.524229922,2.091387809,0.661424871,-1.888631742,3.772937585,1.27670902,-2.80121572,5.468091934,-1
267,MODEL1,PARMS,LLB6,0.964934484,2.036674145,0.262511639,-1.005599816,3.925482227,0.11991033,0.456896599,-1.642967005,0.792037028,-2.352144572,5.0946004,-1
268,MODEL1,PARMS,LLB6,1.04475008,1.131528377,0.214095591,-0.745774605,2.964183757,0.101649073,0.844629086,-2.127776766,1.092827593,-2.41193547,4.422350719,-1
269,MODEL1,PARMS,LLB6,0.92354753,8.981831161,0.079176863,-0.082467925,0.294716745,-0.331930302,1.514061998,-3.730735361,0.922920725,-2.389604949,5.308375266,-1
270,MODEL1,PARMS,LLB6,1.019167373,6.344685828,0.119966982,-0.382649981,1.119423989,-0.19674201,1.453827168,-3.730037893,1.032921604,-1.85608893,3.279070423,-1
271,MODEL1,PARMS,LLB6,1.000050655,-1.66236545,0.216575804,-0.795498713,3.487262283,0.332414373,-0.234584224,-0.346044093,0.957090828,-2.25686593,4.847002601,-1
272,MODEL1,PARMS,LLB6,1.057436641,20.73648915,0.165250481,-0.11405705,-0.822918952,-1.070221135,2.577355071,-4.790912436,0.642750319,-0.22904324,-0.144360585,-1
273,MODEL1,PARMS,LLB6,0.952266266,-0.860100593,0.273907696,-0.69145558,2.454652784,0.260832978,-0.432583376,0.762426702,0.95036989,-2.02545817,3.875942675,-1
274,MODEL1,PARMS,LLB6,0.887622765,-4.005517085,0.15204558,-0.159888891,0.061669265,0.512073243,-0.967445605,1.441827388,0.904195905,-2.889954932,6.496895852,-1
275,MODEL1,PARMS,LLB6,1.076976404,9.029892224,0.160345078,-0.551272435,2.033577715,-0.364281502,0.807584839,-1.691950287,1.023056837,-2.379134853,5.060380787,-1
276,MODEL1,PARMS,LLB6,1.001540926,-9.074457748,-0.078253005,0.003604068,0.28254545,0.829757896,-1.8132958,3.671026663,1.386398952,-4.004608725,7.811577252,-1
277,MODEL1,PARMS,LLB6,0.991932618,4.106885215,0.073243022,-0.333199987,0.962404485,-0.104820475,0.535260627,-1.664685341,1.359088396,-1.748505816,2.471860394,-1
278,MODEL1,PARMS,LLB6,1.104020347,-0.438892026,0.099813878,-0.60770128,2.487674341,0.218658797,-0.357234316,0.35376091,1.329151026,-2.971010813,5.748137582,-1
279,MODEL1,PARMS,LLB6,0.924232146,9.699444826,0.178390896,-0.554306372,1.672125243,-0.482505949,2.307085921,-5.711352237,1.298447163,-3.232025053,6.743764414,-1
280,MODEL1,PARMS,LLB6,0.944546532,9.497655051,-0.038659742,0.309396392,-1.727454942,-0.40523212,1.915971657,-4.34315417,1.24331179,-3.045008994,6.094965664,-1
281,MODEL1,PARMS,LLB6,0.966460472,-6.958915404,0.206341769,-0.622140038,2.876482135,0.590601514,-1.425535885,2.874935768,1.392564303,-3.987114615,8.092514095,-1
282,MODEL1,PARMS,LLB6,0.890613809,-1.571354161,0.033832507,-0.140722851,0.373439788,0.254465034,0.378363564,-1.596348194,1.528787952,-4.40563834,9.261805833,-1
283,MODEL1,PARMS,LLB6,1.090151632,-0.287182644,0.336829051,-0.53631011,1.233408547,0.176753488,-1.058459027,2.641765404,1.059642421,-1.798043097,3.204485018,-1
284,MODEL1,PARMS,LLB6,0.972243081,-0.69964658,0.117892452,0.021313064,-0.438410855,0.198350087,0.866134761,-2.57510088,1.342879677,-4.085663518,8.549907537,-1
285,MODEL1,PARMS,LLB6,0.94536002,-15.18666917,0.045044171,-0.439779349,1.870056107,1.232431566,-2.386248968,4.334088915,1.183014339,-3.494077997,7.131861374,-1
286,MODEL1,PARMS,LLB6,0.89206133,-2.568093379,0.430544909,-0.821147446,2.26140048,0.399482006,-1.132109929,2.485817024,0.607930266,-1.083339821,1.989038041,-1
287,MODEL1,PARMS,LLB6,1.054809768,11.0264553,0.189316835,-0.300122446,0.495707698,-0.462396448,1.264005266,-3.085665922,0.757902851,-0.962559256,1.919445424,-1
288,MODEL1,PARMS,LLB6,0.990337255,1.914216767,0.269086184,-0.78306463,2.635173447,0.006622052,-0.580957312,1.76534654,1.380038765,-3.694939869,7.472137369,-1
289,MODEL1,PARMS,LLB6,0.914989675,3.716036801,0.176543033,-0.428047879,1.706155843,-0.024643366,1.365371023,-3.474595973,0.960553691,-2.686246297,5.383920855,-1
290,MODEL1,PARMS,LLB6,1.048598398,-7.372244892,0.067139131,-0.556967682,3.042997947,0.685672883,-1.446995443,3.087653263,1.30584122,-3.379400405,6.603766323,-1
291,MODEL1,PARMS,LLB6,0.974381812,-14.16817051,0.215743118,-0.739166296,3.315043993,1.05198411,-1.562266699,2.339582959,1.340231332,-3.224868087,6.134237074,-1
292,MODEL1,PARMS,LLB6,0.999607188,2.696544951,0.155770875,-0.531378288,1.494661976,0.100594013,-0.988771842,2.6090215,0.838212934,-2.079456709,4.43421924,-1
293,MODEL1,PARMS,LLB6,0.91210272,0.946950309,-0.074022089,0.049951778,0.011240741,0.32875123,-1.124844653,2.234096498,0.637900854,-1.878298101,4.404962344,-1
294,MODEL1,PARMS,LLB6,1.060869213,0.472275469,0.484805907,-1.452665731,5.806715983,0.151527498,-0.363491552,0.922370458,0.763198679,-1.419655747,2.863705175,-1
295,MODEL1,PARMS,LLB6,0.988949587,-5.591923711,0.274536067,-0.194426094,0.33489604,0.585290501,-1.292669155,2.603894565,0.79821419,-1.648032445,3.222481164,-1
296,MODEL1,PARMS,LLB6,1.0291233,7.373068091,-0.12782465,0.526758359,-2.086438112,-0.091806973,-0.513103157,2.377006511,0.610891261,-0.870176143,1.254463292,-1
297,MODEL1,PARMS,LLB6,1.045480303,-18.20152745,0.324560281,-0.922338994,3.958134345,1.341943493,-3.490846578,7.425144022,1.127065516,-2.271773792,4.154053804,-1
298,MODEL1,PARMS,LLB6,1.019065212,-5.607920299,0.091117744,-0.489322261,1.830998976,0.499536858,-2.006673489,4.365963173,1.654471641,-4.482895305,8.831310118,-1
299,MODEL1,PARMS,LLB6,0.981870251,0.347312419,0.165076914,-0.462569192,2.080729879,0.185884222,-0.535150469,1.018892453,1.081655463,-2.47556943,5.103506558,-1
300,MODEL1,PARMS,LLB6,1.074277414,5.409906114,0.074379946,-0.254658617,1.076135369,-0.131020446,0.175104364,0.148623769,1.118703481,-2.287737154,4.058903045,-1
301,MODEL1,PARMS,LLB6,0.939749949,0.077158054,0.295015722,-0.87409678,3.651287267,0.179523381,-0.433578015,1.107932433,0.907008813,-0.994504847,1.44475054,-1
302,MODEL1,PARMS,LLB6,0.937771997,-1.588061036,0.394634532,-0.588269001,1.515363936,0.24526347,0.068333314,-0.115054842,0.915265689,-1.853749564,3.688380495,-1
303,MODEL1,PARMS,LLB6,0.947473101,-9.165169416,0.165476639,-0.213607894,0.825405716,0.783490343,-2.510983662,6.011645992,1.165323142,-2.679850185,5.018446378,-1
304,MODEL1,PARMS,LLB6,1.070951371,10.05549647,0.120688923,-0.438491248,1.473320871,-0.385511746,0.704249614,-0.919056726,0.915787248,-2.218357403,4.405467202,-1
305,MODEL1,PARMS,LLB6,1.018361186,-1.525587727,0.150846685,-0.419984765,1.83950896,0.328891283,-0.608563085,0.596974339,0.974253365,-1.920284921,3.987996213,-1
306,MODEL1,PARMS,LLB6,1.02757836,-5.544188859,0.04049497,-0.156866997,1.158200434,0.583034789,-1.816075606,3.793195322,1.209342861,-2.82026968,5.583839231,-1
307,MODEL1,PARMS,LLB6,0.987226463,7.892084004,0.177849233,-0.745057675,2.906270919,-0.189177751,1.211364208,-3.308413508,0.541824848,-0.561572941,1.062128245,-1
308,MODEL1,PARMS,LLB6,0.994438416,4.062752293,0.374210883,-0.652594646,1.668585239,-0.289037996,0.080924098,0.693508501,1.790171717,-3.814478567,6.980237279,-1
309,MODEL1,PARMS,LLB6,1.078787015,3.888291287,0.274000248,-0.74268946,1.995837784,-0.176281554,0.983581195,-1.930350286,1.545137366,-4.184235729,8.205993943,-1
310,MODEL1,PARMS,LLB6,1.037281898,-5.577579963,0.013101155,0.021283249,-0.116963548,0.570729281,-1.099519429,2.356370035,1.272497912,-3.080968391,5.673076547,-1
311,MODEL1,PARMS,LLB6,0.945574613,-4.757853579,0.165179774,-0.14622739,0.392833721,0.398340348,-1.065647303,2.975151485,1.563267019,-4.025334272,7.973174644,-1
312,MODEL1,PARMS,LLB6,0.996895265,8.163278302,0.173399393,-0.413090889,1.056633261,-0.344748833,1.845093724,-4.53629556,1.116480565,-2.417346017,4.682270183,-1
313,MODEL1,PARMS,LLB6,1.0019945,2.555956649,0.155134211,0.018365844,-1.03665527,0.004541996,-0.224050644,0.818726263,1.199232152,-2.929249561,5.843135353,-1
314,MODEL1,PARMS,LLB6,0.984281341,5.770301511,0.349195981,-0.830244538,3.108808038,-0.275786087,0.828296411,-1.423245129,1.222522097,-2.279841974,4.122804988,-1
315,MODEL1,PARMS,LLB6,1.131436461,0.432850181,-0.076622337,0.114728713,-0.469542339,0.236843187,-0.173645895,0.397169633,1.135179528,-2.872781303,5.701231521,-1
316,MODEL1,PARMS,LLB6,0.997436835,5.619138475,0.023019281,-0.145438053,0.902696955,-0.026899091,0.644659202,-1.273329515,0.598240434,-0.581903734,0.677550762,-1
317,MODEL1,PARMS,LLB6,0.947845103,7.756721721,0.361035224,-0.680732677,1.688754973,-0.393522582,2.029955635,-4.077160223,1.180742307,-3.125050873,6.21971872,-1
318,MODEL1,PARMS,LLB6,0.981164406,-3.195814955,0.08597949,-0.301385225,1.121805584,0.485565928,-0.606663649,0.944780011,0.812455675,-1.111971949,1.735907198,-1
319,MODEL1,PARMS,LLB6,1.014837641,-1.36504218,0.366019303,-1.016766435,3.529189806,0.34659226,-1.408455806,3.364321507,0.595494977,-0.538544806,0.822603135,-1
320,MODEL1,PARMS,LLB6,1.03806314,-5.158084172,0.184245554,-0.419009695,1.570954648,0.495410872,-1.399809763,2.860841307,1.241959655,-2.595450267,4.986610394,-1
321,MODEL1,PARMS,LLB6,1.021578877,5.477339987,0.180763499,-0.600447549,2.401670654,-0.14547615,0.093363393,0.236706559,1.021730725,-1.212594728,1.389574599,-1
322,MODEL1,PARMS,LLB6,1.004754455,-13.11229842,0.054206321,-0.115420245,0.276238701,1.042493901,-1.832845121,3.08036503,1.34585393,-3.903208791,7.9203918,-1
323,MODEL1,PARMS,LLB6,0.986062311,5.642669358,0.107471439,-0.301421913,0.947132018,-0.247105478,0.34597524,-0.535925638,1.588445974,-4.076697144,8.462173043,-1
324,MODEL1,PARMS,LLB6,0.937403373,3.604412733,0.088049681,-0.101215078,0.377916991,0.124149213,-0.016236147,-0.30087932,0.435873536,-0.0763914,-0.330148467,-1
325,MODEL1,PARMS,LLB6,1.004089817,2.808063488,0.118665802,0.05877323,-0.682339079,0.015502808,-0.327678665,1.051304636,1.133905831,-2.661466,5.441020849,-1
326,MODEL1,PARMS,LLB6,1.038734741,10.14803609,0.259705594,-0.198897764,-0.396271062,-0.39799279,1.973325559,-4.317596006,0.52089047,-0.774442058,1.622961995,-1
327,MODEL1,PARMS,LLB6,0.991104327,-5.260453155,0.496737088,-1.200928283,4.515594438,0.446188791,-0.766062605,2.061208617,1.026352855,-2.116202822,3.674233382,-1
328,MODEL1,PARMS,LLB6,0.975020201,-2.704467125,0.129448983,-0.721181388,3.521237706,0.402661848,-0.995346179,1.788274704,1.138485264,-2.772206263,5.721509609,-1
329,MODEL1,PARMS,LLB6,1.026978545,4.032499636,0.240472339,-0.712661539,3.191596258,-0.128849858,0.554087995,-1.055416748,1.27664292,-2.722303115,5.231067151,-1
330,MODEL1,PARMS,LLB6,1.000382592,-7.88816024,0.171389898,-0.449175534,1.670964918,0.679500004,-1.007049299,1.371496397,1.259984147,-2.995612831,5.951176302,-1
331,MODEL1,PARMS,LLB6,0.973422935,1.586338431,0.060944984,-0.088261339,0.535239675,0.169693127,-0.133536887,0.241122159,0.882714112,-1.705965068,3.072037569,-1
332,MODEL1,PARMS,LLB6,1.027058116,11.47419186,0.223042932,-0.685481109,2.545875205,-0.458529378,1.769180059,-3.658113485,0.578057677,-1.113376787,2.587435091,-1
333,MODEL1,PARMS,LLB6,1.020083911,-6.467186908,0.296125044,-0.897142554,3.078020347,0.569041569,-1.495914643,2.90607691,1.243580152,-2.958912969,5.839984964,-1
334,MODEL1,PARMS,LLB6,1.014346477,2.173620915,0.334023941,-0.813083672,2.845619209,-0.037953767,0.25061898,-0.57162832,1.219777491,-2.074746655,3.912941924,-1
335,MODEL1,PARMS,LLB6,1.058547474,-0.985029424,0.141843215,-0.368698836,1.157823978,0.16746663,0.565171412,-1.782411331,1.630025255,-4.834928594,9.487636784,-1
336,MODEL1,PARMS,LLB6,0.99016957,5.813017295,0.245161528,-0.506079565,0.873223178,-0.214125669,1.567071178,-3.837158192,1.1210597,-2.239026091,4.095849021,-1
337,MODEL1,PARMS,LLB6,0.958707804,-1.757485222,0.308662587,-1.030111956,4.434214518,0.286565637,0.0210857,-0.06271939,1.023191406,-2.483939768,4.908267466,-1
338,MODEL1,PARMS,LLB6,1.01921321,-0.793944423,0.09875965,-0.255157572,0.720267525,0.311633109,-0.820427445,2.247944768,0.907806798,-1.618292943,2.812093538,-1
339,MODEL1,PARMS,LLB6,1.019279963,12.68283483,0.170762278,-0.360985323,1.050393622,-0.548532628,2.44592941,-5.533629179,0.624480789,-0.762534331,1.419552462,-1
340,MODEL1,PARMS,LLB6,1.00861839,8.387579378,0.05148766,-0.089046687,0.088669948,-0.420377896,1.931038794,-4.794211123,1.527331904,-2.988258019,5.309663359,-1
341,MODEL1,PARMS,LLB6,1.014202458,2.373922358,-0.021590097,0.132921471,-0.560567662,0.041702981,0.104679786,-0.098420186,1.301949862,-2.517657518,4.659321865,-1
342,MODEL1,PARMS,LLB6,0.999562845,-5.867032601,0.204654431,-0.398948864,0.727431323,0.494405179,0.012506026,-0.639693217,1.433155395,-4.243567525,8.800999806,-1
343,MODEL1,PARMS,LLB6,1.050340637,3.648077449,0.063466086,-0.180943356,0.903089469,-0.058802137,0.714049629,-1.591735696,1.366203969,-4.167217704,9.110151812,-1
