SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LUL
219,MODEL1,PARMS,LUL,0.847310444,7.912891918,0.195150255,-0.394040296,1.245795132,-0.097042716,1.059481963,-2.884943769,-0.064127673,0.320521907,-0.266801055,-1
220,MODEL1,PARMS,LUL,0.931730929,13.60904208,0.261607717,-0.496130959,0.561031491,-0.520497551,1.845122974,-4.321953535,0.092972204,0.347091829,-0.278860048,-1
221,MODEL1,PARMS,LUL,1.023540116,14.64386503,-0.034512367,0.396265978,-1.385925158,-0.426867143,0.640680876,-0.682108764,-0.326027943,1.456902755,-2.296317581,-1
222,MODEL1,PARMS,LUL,1.001107613,9.922124987,0.080268979,-0.080170795,0.013338636,-0.192625354,1.352053377,-2.632699604,-0.115342074,1.301547583,-3.192150297,-1
223,MODEL1,PARMS,LUL,0.949820186,3.542997009,0.332915,-0.68780651,2.368949976,0.146201053,0.071851558,-0.091605079,-0.056211899,0.534067916,-1.011953921,-1
224,MODEL1,PARMS,LUL,0.940278925,8.556722332,0.424804499,-0.636635353,1.949483404,-0.369237369,1.241111802,-2.470481091,0.697525421,-1.810636498,3.696662391,-1
225,MODEL1,PARMS,LUL,0.95147531,7.162595463,0.118166987,0.251845407,-2.031202233,-0.151253269,-0.354924296,1.561479478,0.515813011,-0.536787803,0.378932796,-1
226,MODEL1,PARMS,LUL,0.967263841,6.694104669,0.065548217,0.418603452,-2.522069647,-0.008134265,-0.451970101,1.360696956,-0.002183799,1.119248211,-2.375555076,-1
227,MODEL1,PARMS,LUL,0.952383183,12.71120832,0.327612552,-0.753485517,2.76740111,-0.552000277,3.587120544,-8.587472182,0.364878335,-1.138553932,2.149098961,-1
228,MODEL1,PARMS,LUL,0.953553701,1.671992014,0.212305661,-0.079650667,-0.699064823,0.242026782,-0.005903194,-0.777012177,0.140234015,0.900992767,-2.272139844,-1
229,MODEL1,PARMS,LUL,0.931334555,18.69957607,0.105731776,0.354160606,-2.49450505,-0.833169751,1.238316258,-1.5020645,0.080796866,1.616919316,-4.163932747,-1
230,MODEL1,PARMS,LUL,0.979139975,10.02814037,0.288976486,-0.117961653,-0.877018283,-0.422163129,1.117872959,-2.309725019,0.6375847,-1.565150675,3.408719218,-1
231,MODEL1,PARMS,LUL,0.950854085,5.334582613,0.159524647,-0.037466859,-0.556303912,0.093314516,-0.241450855,0.579216754,-0.144807753,1.783974309,-4.281839537,-1
232,MODEL1,PARMS,LUL,0.955505378,7.834509467,0.105406946,0.101561913,-0.805879931,-0.09529529,-0.191230351,1.620587972,0.019113195,1.269739845,-3.30924817,-1
233,MODEL1,PARMS,LUL,0.925395915,3.321853965,0.239857558,0.023265024,-0.979817006,0.054931212,-0.81117857,1.699494975,0.505983143,-0.701814186,1.513736398,-1
234,MODEL1,PARMS,LUL,0.965290578,11.14521963,0.142065147,0.393137225,-2.586814987,-0.436692433,0.740969521,-0.900081992,0.497884348,-0.364708384,0.278829854,-1
235,MODEL1,PARMS,LUL,0.979086089,12.10590324,0.216705462,-0.422513276,0.515243391,-0.371911047,0.907922157,-1.980709773,-0.024029896,0.978130883,-2.569539665,-1
236,MODEL1,PARMS,LUL,1.023325307,-6.096829138,0.353134751,-0.496142923,1.095171066,0.795357457,-1.786763479,3.263759607,-0.239448531,1.986681351,-4.253887769,-1
237,MODEL1,PARMS,LUL,0.985815172,16.17765191,0.252077373,-0.096887612,-0.432789201,-0.761859264,1.873066781,-3.629673046,0.326484587,0.412237774,-1.25512793,-1
238,MODEL1,PARMS,LUL,0.907882552,5.428472183,0.062498039,-0.07749681,0.18787591,-0.043269379,0.630550624,-1.280439482,0.674720803,-2.101847618,4.379763684,-1
239,MODEL1,PARMS,LUL,0.912359567,12.14516644,0.189133253,-0.366774989,0.912625474,-0.439605091,1.973610722,-4.819122948,0.240934825,-0.097036869,0.096599565,-1
240,MODEL1,PARMS,LUL,0.949499781,10.2988805,0.332089827,-0.762318606,2.856074676,-0.443242416,2.020405944,-4.550628813,0.604475991,-1.373200787,2.893534082,-1
241,MODEL1,PARMS,LUL,0.994552533,10.51739338,0.427613448,-0.969240836,3.55842375,-0.35076421,1.761632983,-3.739272567,-0.081053856,1.122191153,-2.35164548,-1
242,MODEL1,PARMS,LUL,0.982563774,10.23803449,0.255772686,-0.368771142,1.233178149,-0.232729496,0.994998877,-2.302704977,-0.256675776,0.661733757,-0.218095024,-1
243,MODEL1,PARMS,LUL,0.888477438,8.162032043,0.200279994,0.033868781,-0.837619546,-0.240292205,0.219759703,0.005881831,0.478833536,-0.715207157,1.202013712,-1
244,MODEL1,PARMS,LUL,0.978919074,22.80450094,0.29945404,-0.183555136,-0.263936852,-1.155012241,4.522823892,-10.3107304,0.007684985,0.728079954,-1.36002736,-1
245,MODEL1,PARMS,LUL,0.831094816,14.12399226,0.212357229,-0.101758213,-0.602458432,-0.563494441,2.813046973,-7.300655113,0.122514101,0.436804753,-0.945293303,-1
246,MODEL1,PARMS,LUL,0.904038129,4.674145659,0.203067022,-0.628139883,2.084541138,0.018435263,-0.342600092,1.522578891,0.442099737,-0.629154198,1.230919615,-1
247,MODEL1,PARMS,LUL,0.860847323,11.40859875,-0.063247485,0.10547108,-0.525768087,-0.334859201,2.307751853,-6.0518165,0.344107508,-0.839559844,1.973209471,-1
248,MODEL1,PARMS,LUL,1.048931554,24.15484099,0.370142034,-0.509727945,1.353616623,-1.364542195,2.808485964,-5.106487385,0.539669236,-0.253474318,0.665616106,-1
249,MODEL1,PARMS,LUL,1.055031003,8.721373591,0.074276868,0.383435357,-2.367820728,-0.242177363,0.170138221,0.57206726,0.462956161,-0.882992787,1.651110926,-1
250,MODEL1,PARMS,LUL,0.955149812,2.268292828,0.264035434,-0.416672282,1.050476783,0.144064855,-1.884852069,5.480176804,0.487390057,-0.375021795,0.134467139,-1
251,MODEL1,PARMS,LUL,0.945593963,19.16717175,0.262009321,-0.388213284,0.786466083,-0.917792935,1.858080113,-2.949492378,0.238871884,0.456630743,-1.338977684,-1
252,MODEL1,PARMS,LUL,1.057438341,5.104820419,0.178788156,-0.123196152,0.111006078,-0.111222563,-0.181357905,1.057285038,0.891413755,-1.743632934,2.998466538,-1
253,MODEL1,PARMS,LUL,1.037783701,10.30413724,0.35610219,-0.748540438,2.665727172,-0.44381515,1.863306999,-4.291619424,0.531303023,-0.431106378,0.705035557,-1
254,MODEL1,PARMS,LUL,1.034240096,1.132926454,0.165723009,-0.099788682,-0.826854555,0.27614144,-0.119363432,-0.089781543,0.248460989,0.012630883,-0.117009896,-1
255,MODEL1,PARMS,LUL,0.969926648,12.12859109,0.303569765,-0.11373818,-0.818240122,-0.418984552,1.947752563,-4.355537061,-0.089943795,0.189225248,0.105971775,-1
256,MODEL1,PARMS,LUL,0.915938711,12.37590607,0.198223516,-0.468475667,1.815948576,-0.494306875,1.914449475,-3.993454172,0.39103237,0.164147624,-1.326888949,-1
257,MODEL1,PARMS,LUL,0.91940923,12.14010992,0.225723662,-0.365031334,0.795788412,-0.515151162,1.75880645,-3.802842813,0.504327442,-0.893105261,2.154715966,-1
258,MODEL1,PARMS,LUL,0.993184758,6.538748108,0.193630526,-0.394707068,1.196172233,-0.065362671,0.331203728,-0.494665798,0.272432138,-0.731823122,1.609090971,-1
259,MODEL1,PARMS,LUL,1.002039618,7.929852078,0.207462512,-0.159671317,0.14343319,-0.206574661,-0.236182991,1.909607482,0.363805502,0.085573801,-0.431306542,-1
260,MODEL1,PARMS,LUL,0.931735431,13.70880204,0.01711736,0.172813344,-1.12263577,-0.44402045,1.763194874,-4.30073246,0.032501697,0.34091427,-0.306136598,-1
261,MODEL1,PARMS,LUL,0.968317187,10.00514284,0.397945648,-0.531022577,0.84850455,-0.317944436,0.746179876,-0.702096338,-0.024129763,0.8957805,-2.09143615,-1
262,MODEL1,PARMS,LUL,0.944967932,7.485306223,0.292350788,-0.328159402,0.303984189,-0.06503653,0.864161175,-2.648648564,-0.283105486,1.735661394,-3.317319606,-1
263,MODEL1,PARMS,LUL,0.896454782,4.699405433,0.25092925,-0.724110432,2.253533325,0.06471345,0.270117467,-0.633612096,0.113400116,0.88417927,-2.386608729,-1
264,MODEL1,PARMS,LUL,0.956694836,8.503505568,0.291001005,-0.67247971,2.567205823,-0.364063652,0.79563263,-1.140234865,0.806093263,-0.907309777,1.19283055,-1
265,MODEL1,PARMS,LUL,0.926838504,1.843412157,0.241276547,-0.150490369,-0.529872079,0.251908087,-0.253122518,0.054819525,0.077972241,0.441720264,-1.053915927,-1
266,MODEL1,PARMS,LUL,0.96862236,-3.884709342,0.211491876,-0.319498005,1.303629543,0.642097402,-1.483117261,2.874161647,-0.001487056,1.341466537,-3.095210387,-1
267,MODEL1,PARMS,LUL,0.917062583,11.09271096,0.29427979,-0.401885209,1.243591403,-0.349164498,1.536237502,-3.465601481,-0.054959711,0.904372104,-2.004249326,-1
268,MODEL1,PARMS,LUL,0.989453086,11.02776093,0.268675597,-0.447710516,1.192855048,-0.289447889,1.328875853,-2.744469154,-0.380033026,2.801927971,-6.272416526,-1
269,MODEL1,PARMS,LUL,0.999795192,7.353030213,0.182043671,-0.163594444,0.504194829,-0.078400547,1.145911177,-2.916407531,-0.058713377,0.352757866,0.015912486,-1
270,MODEL1,PARMS,LUL,1.05437279,16.29716088,0.125853871,-0.035476113,-0.106122926,-0.77875707,3.287801149,-6.913445091,0.479049335,0.238996008,-1.352571923,-1
271,MODEL1,PARMS,LUL,1.031066897,3.889450045,0.242549272,-0.512817511,2.197955822,-0.015272418,1.314838648,-3.51626204,0.65213726,-1.343200531,2.782998942,-1
272,MODEL1,PARMS,LUL,0.954517933,17.90890315,0.271056352,-0.198605891,-0.181090976,-0.801966432,2.354192335,-4.420715111,-0.011050631,1.446725051,-3.771721103,-1
