SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RMB
527,MODEL1,PARMS,RMB,1.346554572,4.855806969,-0.016315904,-0.107185576,-0.284885987,-0.113170514,2.060405708,-4.513198813,2.461986098,-5.802187192,10.51653741,-1
528,MODEL1,PARMS,RMB,1.40859039,6.442862379,0.155729242,-0.595775143,2.937739438,-0.030670216,1.063397264,-3.080931964,1.443626349,-3.49402438,6.931667481,-1
529,MODEL1,PARMS,RMB,1.339413769,-0.789599405,0.234758113,-0.974253408,3.193793432,0.419357304,1.224054375,-4.563349261,1.46753088,-3.786448192,7.726878457,-1
530,MODEL1,PARMS,RMB,1.364525016,10.7891691,0.446767421,-0.849904504,2.950465764,-0.47202725,3.533264235,-8.374754232,1.637306776,-4.020028379,7.533783594,-1
531,MODEL1,PARMS,RMB,1.30018701,15.60904529,0.066628002,-0.22559474,0.327287708,-0.568809479,3.103720991,-6.694343002,1.158857993,-1.287235113,1.172640301,-1
532,MODEL1,PARMS,RMB,1.342209006,7.036544502,0.179461493,-0.936239244,3.576537881,-0.097769443,1.118242029,-2.018669706,1.604343044,-3.215616296,4.946377196,-1
533,MODEL1,PARMS,RMB,1.29759591,11.23076099,-0.1909305,0.788885037,-2.624190203,-0.259998198,2.933364442,-7.056423796,1.35998577,-3.373792649,6.20768612,-1
534,MODEL1,PARMS,RMB,1.499996161,25.66114399,0.442569441,-1.713272273,6.509420519,-1.623630749,5.190203315,-11.16727028,2.596510818,-6.541566367,12.79134787,-1
535,MODEL1,PARMS,RMB,1.357175083,1.234052827,0.232929771,-0.864401196,3.144764933,0.340092923,-0.272724038,-0.097795238,1.230094583,-3.331409499,7.510473823,-1
536,MODEL1,PARMS,RMB,1.343807297,4.724321795,0.159748171,-0.524541935,1.610283483,0.111244863,2.929601875,-7.674466532,1.212155054,-2.804872193,4.85301589,-1
537,MODEL1,PARMS,RMB,1.29114904,-5.628084803,0.612000933,-1.598888464,5.431654893,0.630444381,-1.245911011,2.41444532,1.421525817,-2.953060268,5.183255749,-1
538,MODEL1,PARMS,RMB,1.218723575,10.10107187,-0.061970656,-0.302525829,1.335630052,-0.107409688,1.802518615,-4.470091075,0.971960385,-2.058545952,4.204771951,-1
539,MODEL1,PARMS,RMB,1.473821971,8.581891216,0.457646687,-1.306491121,3.937584027,-0.327597936,1.434731737,-3.471629871,1.744328682,-3.578607337,6.610105637,-1
540,MODEL1,PARMS,RMB,1.369568349,3.975833695,0.505364756,-1.531145804,5.70227066,0.062746709,1.770295509,-4.65958869,1.209651475,-2.73073215,5.130972915,-1
541,MODEL1,PARMS,RMB,1.435934539,6.240396788,0.216206645,-0.582750298,2.236616339,-0.018388414,1.9897453,-5.932277548,1.325351972,-3.803208051,8.247081791,-1
542,MODEL1,PARMS,RMB,1.346593542,23.08357593,0.220952848,-0.519460498,1.210513606,-1.050933147,3.8156976,-7.768685384,1.015045271,-2.767910878,5.499377589,-1
