SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,BronInt
373,MODEL1,PARMS,BronInt,1.081172976,4.384684732,0.270533592,-0.611850638,1.685958861,-0.034357372,0.656213088,-2.094893454,0.881338967,-1.635785879,2.421032201,-1
374,MODEL1,PARMS,BronInt,0.984843141,9.195992139,0.259658347,-0.518595395,1.64824959,-0.359986467,0.815645988,-1.778968368,0.922153152,-1.02408613,1.046491509,-1
375,MODEL1,PARMS,BronInt,1.100924522,0.757954301,0.148550223,0.049869123,-0.516870506,0.140363096,0.407850896,-1.55805597,1.253106683,-3.343259401,6.807365228,-1
376,MODEL1,PARMS,BronInt,1.116538506,9.27178363,-0.025449476,-0.259282231,1.170818649,-0.141542764,1.143381629,-2.929521255,0.388724093,-1.212525615,2.324916146,-1
377,MODEL1,PARMS,BronInt,1.033130683,9.155286214,-0.062663918,0.121755322,-0.268912387,-0.302936557,1.245975841,-3.314133689,1.10452277,-1.919893612,3.064920396,-1
378,MODEL1,PARMS,BronInt,1.135195325,9.365694568,0.184331719,-0.972546273,4.489458463,-0.238585218,1.488835951,-4.050032172,0.450290659,-0.065163337,-0.481117502,-1
379,MODEL1,PARMS,BronInt,1.011765173,4.42613039,0.247595981,-0.728534898,3.357603524,-0.054554422,0.853340822,-2.474709187,0.940547262,-1.166509448,1.437733224,-1
380,MODEL1,PARMS,BronInt,1.021887917,11.71954218,0.35297193,-0.959989625,3.46185088,-0.428211876,0.260416951,-0.448727554,0.393369931,0.563723352,-1.826664586,-1
381,MODEL1,PARMS,BronInt,1.081847209,0.4180764,-0.022254569,-0.19002887,1.452480977,0.381021735,0.12364037,-1.14028794,0.556537913,-1.07325524,2.029394724,-1
382,MODEL1,PARMS,BronInt,1.131172197,4.635036131,0.291028315,-1.02196546,3.94908938,-0.173263592,0.528889875,-0.982789953,1.485650671,-4.143200537,8.027276642,-1
383,MODEL1,PARMS,BronInt,1.067825164,-7.360937583,0.03811261,0.295877234,-1.246043152,0.835552013,-1.435780603,2.286644075,0.624995648,-1.093968657,1.929075224,-1
384,MODEL1,PARMS,BronInt,1.011569885,7.173508162,0.325966724,-0.776534952,2.855559504,-0.280199362,0.81437061,-1.012155758,1.03398042,-1.948020306,3.051759618,-1
385,MODEL1,PARMS,BronInt,1.026331473,3.615691955,0.106847872,-0.369905982,1.546942061,0.108925004,0.565768471,-2.080357597,0.636071625,-0.892899719,1.268826053,-1
386,MODEL1,PARMS,BronInt,1.091054925,12.37395662,0.254571938,-0.633006296,2.436656914,-0.49068832,1.453146713,-3.098910146,0.559636816,-0.473535778,0.325770932,-1
387,MODEL1,PARMS,BronInt,1.089891154,4.743307188,0.293963287,-0.993182504,3.779495984,-0.0335354,-0.916077556,2.120390086,0.838496446,-1.274181996,2.092380629,-1
388,MODEL1,PARMS,BronInt,1.112632816,15.92877967,0.327862693,-0.564835362,1.685656517,-0.716387461,3.226725554,-7.878171579,0.307658873,0.153839839,-0.570686823,-1
389,MODEL1,PARMS,BronInt,1.073201933,16.86410148,0.165624398,-0.393277015,1.314456722,-0.740992263,2.252527075,-5.209553959,0.500966126,-1.110733883,2.544843987,-1
390,MODEL1,PARMS,BronInt,1.074308932,7.122355278,0.062092725,-0.014599735,0.518599215,-0.123138316,0.86156376,-2.635713363,0.683572096,-0.860819175,1.360444826,-1
391,MODEL1,PARMS,BronInt,1.029414457,10.2948997,0.232380461,-0.477937444,1.578370466,-0.375326965,0.868183193,-1.268785831,0.723305904,-1.501253492,2.636718657,-1
392,MODEL1,PARMS,BronInt,1.185144943,4.916415818,0.145578169,-0.981203202,4.078373477,0.078653873,0.29075561,-1.42649842,0.540785588,-1.634507796,3.670369382,-1
393,MODEL1,PARMS,BronInt,1.086346488,13.52773883,0.270879021,-0.630784327,2.123642637,-0.775751114,2.153730332,-4.587111681,1.54398875,-3.686119898,6.889895894,-1
394,MODEL1,PARMS,BronInt,1.168986908,10.4547033,0.213342516,-0.346875693,1.043260713,-0.378042087,1.484053988,-3.959678881,0.632712236,-0.323225527,-0.216820035,-1
395,MODEL1,PARMS,BronInt,1.022125582,4.707253238,0.164850006,-0.552254736,1.99533675,-0.09443803,1.013670907,-2.893505433,1.288128603,-3.307080453,5.959691156,-1
396,MODEL1,PARMS,BronInt,1.084947871,7.215898455,0.271432317,-0.598801739,2.332696446,-0.23234478,1.906877185,-4.13065129,0.888703582,-2.357972095,4.075772894,-1
397,MODEL1,PARMS,BronInt,1.009319637,1.212546301,0.303620465,-0.807476848,3.370046857,0.150157163,0.548858883,-1.836747281,0.829897659,-1.016993514,1.229572705,-1
398,MODEL1,PARMS,BronInt,1.099370093,15.08834945,0.148528522,-0.051414086,-0.051982487,-0.762718543,1.6958633,-3.01584489,1.110180647,-1.992813442,3.005804175,-1
399,MODEL1,PARMS,BronInt,1.055370823,1.059271359,0.179042759,-0.098996336,0.189867302,0.294007316,0.240421128,-1.087482051,0.437893732,-0.891714273,1.486164617,-1
400,MODEL1,PARMS,BronInt,1.109961325,8.312593791,0.288211082,-1.171998522,4.722129723,-0.228326976,1.689771063,-4.545739955,0.654252602,-1.735094261,3.129016728,-1
401,MODEL1,PARMS,BronInt,1.117037498,6.174098448,0.342397457,-0.586569094,1.978007227,-0.195271921,0.433772857,-0.759329459,0.935430207,-1.77322729,2.996209619,-1
402,MODEL1,PARMS,BronInt,1.066846046,4.265510312,0.059801528,0.157796966,-0.068089772,0.177289892,0.939152129,-2.701472461,0.065639648,0.134257219,-0.171255991,-1
403,MODEL1,PARMS,BronInt,1.035663731,-0.86210628,0.328754018,-1.32180895,5.442466209,0.278805293,-0.337302989,0.190193628,0.986486155,-1.328193484,1.546199858,-1
404,MODEL1,PARMS,BronInt,1.070678474,10.11563027,0.18420299,-0.472898363,2.061133804,-0.313687575,1.682107473,-3.361913374,0.51314748,-0.759724314,0.616712305,-1
405,MODEL1,PARMS,BronInt,1.049108137,3.642790854,0.252353822,-1.006586203,4.517305891,0.047941987,0.674172869,-2.170815527,0.757569658,-0.974452007,1.407545637,-1
406,MODEL1,PARMS,BronInt,1.152101684,2.330321005,0.226810293,-0.572538481,2.233749677,0.19082046,0.810257329,-2.601540439,0.545891902,-2.039297126,4.294481972,-1
407,MODEL1,PARMS,BronInt,1.015484781,11.90905673,0.219086944,-0.250620782,0.645903209,-0.571444679,2.575604652,-5.807150441,1.05090729,-2.703452763,5.14597521,-1
408,MODEL1,PARMS,BronInt,1.071587639,8.749977463,0.18657957,-0.364049194,1.067038212,-0.261830308,1.251349273,-3.288633936,0.65471512,-0.861025466,1.475912062,-1
409,MODEL1,PARMS,BronInt,1.078799485,11.32312584,0.289137326,-0.439882114,1.23234155,-0.532292403,1.861850084,-4.259636036,0.980644117,-2.087456637,3.780685667,-1
410,MODEL1,PARMS,BronInt,1.04134846,7.954703033,0.002455883,-0.177648295,1.167358055,-0.189426695,1.278989044,-3.406606673,0.867511638,-1.636386723,2.904545472,-1
411,MODEL1,PARMS,BronInt,1.005506435,10.84433237,0.243517176,-0.310635163,0.801414645,-0.458257228,1.826448857,-3.800618066,0.838012972,-1.296015161,1.779905341,-1
412,MODEL1,PARMS,BronInt,1.00514547,4.140381888,0.052630613,-0.312985063,1.902047379,0.072288336,0.159742712,-0.533019426,0.800459044,-1.826123099,3.126838649,-1
413,MODEL1,PARMS,BronInt,1.128261579,11.30775111,0.306689621,-0.671956383,2.174074314,-0.458692924,1.203876436,-2.527384518,0.722726301,-1.444309483,2.401363718,-1
414,MODEL1,PARMS,BronInt,1.109968014,10.26903213,0.346762187,-0.942208891,3.625826512,-0.381548656,2.109751962,-5.171304289,0.633456053,-1.51036542,2.414399441,-1
415,MODEL1,PARMS,BronInt,1.086922164,3.256038595,0.354734231,-0.805439578,2.326755922,0.074658869,-0.207322365,0.035708529,0.645478157,-1.350807444,2.185775829,-1
416,MODEL1,PARMS,BronInt,1.015487773,16.17361323,0.046958395,0.16504853,-0.872136646,-0.623860273,1.136774489,-2.198588137,0.312545454,-0.139189669,-0.272355761,-1
417,MODEL1,PARMS,BronInt,1.010719707,11.46609862,0.162054913,-0.370390478,1.355919127,-0.481937285,1.552228075,-3.612528285,0.926643275,-1.728369879,2.974529313,-1
