SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RUL
410,MODEL1,PARMS,RUL,0.961417265,6.91619136,0.015146868,-0.046880836,0.551909279,-0.202071324,1.155239775,-2.846468105,0.805416843,-1.347933483,2.529541551,-1
411,MODEL1,PARMS,RUL,0.957605344,9.560955757,0.076142052,0.053329326,-0.128433602,-0.409811242,2.882936897,-6.449142216,0.852999091,-2.352216195,4.549907806,-1
412,MODEL1,PARMS,RUL,1.130057385,-6.705169663,0.192782735,-0.268396974,0.829077306,0.670979052,-1.112036759,1.960797118,0.700165165,-2.68805575,5.895627968,-1
413,MODEL1,PARMS,RUL,1.122024332,11.34236696,0.448373329,-0.836354741,2.336895224,-0.538257331,2.625844032,-5.744787458,0.433939246,-1.111227691,2.038340055,-1
414,MODEL1,PARMS,RUL,1.087263459,2.219641317,0.382738689,-0.788318339,2.84822723,0.040806978,0.68646286,-2.020905219,0.633638465,-2.040701992,4.527878329,-1
415,MODEL1,PARMS,RUL,1.038873876,6.475867217,0.31625667,-0.710042323,1.729552514,-0.142593259,0.480239912,-1.003389922,0.324309423,-0.86586709,1.684028385,-1
416,MODEL1,PARMS,RUL,1.175397546,14.12901665,0.070599919,0.486700897,-3.021560686,-0.57510688,0.760140014,-1.122775536,0.26009391,-0.08892829,0.094632433,-1
417,MODEL1,PARMS,RUL,1.180118834,6.355449366,0.160854991,0.082995664,-0.638833783,-0.291251186,0.967774788,-1.76291787,1.160771174,-3.03701282,5.843763493,-1
418,MODEL1,PARMS,RUL,1.042290361,7.927292379,0.181908751,-0.26083743,0.672153505,-0.21212097,1.003775384,-2.130956725,0.32050531,-0.40330732,0.47744971,-1
419,MODEL1,PARMS,RUL,0.963036292,-3.463656762,0.298918549,-0.316055638,0.848370273,0.50573531,0.59278949,-2.553255635,0.136124201,-0.009535497,0.344669387,-1
420,MODEL1,PARMS,RUL,1.17270345,10.04475489,0.245340395,-0.277732463,0.894066621,-0.436707261,2.151157112,-4.768374757,0.548117264,-0.77014722,1.286487769,-1
421,MODEL1,PARMS,RUL,1.110111033,1.036900965,0.120881967,0.154958993,-0.639358555,0.224029124,-0.015181424,-0.62525697,0.395727309,-0.360096118,0.633525473,-1
422,MODEL1,PARMS,RUL,1.130375575,1.578028733,0.274181419,-0.468518273,1.784203091,0.027239803,0.816320836,-2.438273361,0.931914611,-1.581127527,2.917093419,-1
423,MODEL1,PARMS,RUL,1.055172321,1.727904973,0.25546628,-0.151471255,-0.035289643,0.202487578,-1.088938338,2.78421511,0.193738748,0.169637514,-0.497203104,-1
424,MODEL1,PARMS,RUL,1.081593769,-7.934235378,0.163207116,-0.454966954,1.822223496,0.657113729,-0.544034482,0.920823111,1.138244095,-3.02162767,5.742047805,-1
425,MODEL1,PARMS,RUL,1.062070833,2.874736145,0.086271448,0.041147498,-0.312053726,0.090618168,0.341891228,-1.234996357,0.550320398,-1.278296001,2.923980778,-1
426,MODEL1,PARMS,RUL,1.12787868,4.515341241,0.261413707,-0.686499155,2.362617596,-0.119994335,1.037046397,-2.988639337,0.879550564,-2.161684833,4.682385653,-1
427,MODEL1,PARMS,RUL,0.999566151,-3.455949379,0.515598116,-1.122700418,4.097917936,0.322089789,-0.033873963,0.397504303,0.78436679,-1.743286922,2.964930177,-1
428,MODEL1,PARMS,RUL,0.952746706,0.843720381,0.214519566,-0.239300742,0.606496114,0.12976565,0.332277992,-0.801226946,0.819099672,-2.677638482,5.921200973,-1
429,MODEL1,PARMS,RUL,1.169317741,7.885203382,0.176877832,-0.169813011,0.066168754,-0.251309013,0.150307633,0.042888219,0.554217884,-0.966774695,1.892342342,-1
430,MODEL1,PARMS,RUL,1.132873736,6.237997907,0.155787852,-0.265184863,1.053656877,-0.232103349,2.26757809,-5.203115746,0.961822331,-3.479846788,7.447448506,-1
431,MODEL1,PARMS,RUL,1.042446849,1.866163758,0.200701087,-0.328283711,0.731032546,0.107928483,0.790309463,-1.728810284,0.612974361,-1.553938612,2.96581053,-1
432,MODEL1,PARMS,RUL,1.113442436,3.038584814,0.493736286,-1.043297396,3.012270455,-0.098895185,1.490325,-3.954691232,0.850335178,-1.867970679,3.345283639,-1
433,MODEL1,PARMS,RUL,1.104143789,-3.967414971,0.384383925,-0.659005472,2.2252743,0.390275103,-0.585404301,1.76600431,0.788100126,-1.251913541,1.795216202,-1
434,MODEL1,PARMS,RUL,1.155517066,2.720005625,0.058861748,-0.049247698,0.386881446,0.070849164,-0.40273744,0.864190538,0.834142805,-2.029846635,4.116761572,-1
435,MODEL1,PARMS,RUL,1.114378111,5.590104154,0.112071625,-0.189652622,0.772630104,-0.16496763,1.913774409,-4.965190954,0.826316376,-0.952314538,1.365575447,-1
436,MODEL1,PARMS,RUL,1.063746498,-0.662090245,0.148236915,-0.064117367,-0.01908428,0.284350068,0.037446646,-0.123102056,0.655864458,-1.947007986,4.020122751,-1
437,MODEL1,PARMS,RUL,1.098387719,4.515620319,0.129725482,-0.63672754,2.406054746,0.022052353,0.424357021,-1.924099798,0.501558252,-1.634992726,3.704258363,-1
438,MODEL1,PARMS,RUL,1.049825475,0.419109149,0.247214732,-0.382498566,1.09529859,0.184234288,-0.180955648,0.581161083,0.712480697,-1.746993039,3.218558811,-1
439,MODEL1,PARMS,RUL,1.032746744,7.476592813,0.327701321,-0.429871372,1.076696846,-0.346833009,1.58545268,-3.844448231,0.763176661,-0.755505545,0.826330598,-1
440,MODEL1,PARMS,RUL,1.182738631,-2.908030031,0.255083217,-0.556585296,2.011588412,0.467573071,-0.443414885,0.329382754,0.350848999,-0.830881066,1.819666963,-1
441,MODEL1,PARMS,RUL,1.105889714,3.192427373,0.355726863,-0.21401866,0.146503932,-0.028450044,0.305470896,-0.535726881,0.592605418,-0.912177634,1.378169976,-1
442,MODEL1,PARMS,RUL,1.047171527,2.192089433,0.09746094,0.084109511,-0.854260249,0.06890491,0.808733373,-2.018250839,0.883940676,-2.719929617,5.380153408,-1
443,MODEL1,PARMS,RUL,1.125345254,10.44983788,-0.168360279,0.481084269,-1.601213574,-0.293674741,2.415078657,-5.297498086,0.38975887,-1.308069204,2.625144464,-1
444,MODEL1,PARMS,RUL,1.207114652,2.668383934,0.253896422,-0.501465322,1.972936028,0.052465326,0.897700128,-2.141759271,0.540868234,-1.104117452,2.293399817,-1
445,MODEL1,PARMS,RUL,1.040426835,8.193946648,0.289540049,-0.453054628,1.082549238,-0.325176154,2.025335691,-4.396005762,0.577605041,-1.351473375,2.436504145,-1
446,MODEL1,PARMS,RUL,1.005405022,1.987873299,0.269790185,-0.355345539,1.201958891,0.124863154,0.845813112,-1.313245433,0.358516559,-1.221060153,2.426459018,-1
447,MODEL1,PARMS,RUL,1.013788781,4.759324049,0.074429644,0.028718173,-0.317013823,-0.03783512,1.204649595,-3.068652052,0.637782222,-1.730828828,3.364729932,-1
448,MODEL1,PARMS,RUL,1.079698694,-2.006409639,0.194970092,-0.163258263,0.226815573,0.473343597,-0.712047229,1.562995713,0.135719202,0.030466579,0.174931091,-1
449,MODEL1,PARMS,RUL,1.066349498,-0.567612933,0.259050592,-0.30157844,0.025121814,0.265005126,-0.871151362,2.628929509,0.583640451,-1.008091155,1.689687525,-1
450,MODEL1,PARMS,RUL,1.037034363,2.852174461,0.199044671,-0.546669019,1.767877034,0.021261591,-0.472896936,1.559096088,0.903167174,-2.80409725,5.689482492,-1
451,MODEL1,PARMS,RUL,1.118368521,0.064183918,0.205961053,-0.137219224,0.32205478,0.161403517,0.088798118,-0.156436393,0.905585591,-2.600376012,5.284248711,-1
452,MODEL1,PARMS,RUL,1.086916731,2.007756451,0.08588941,0.249732299,-1.416291502,0.197854293,0.104644378,-0.808553511,0.334111011,-0.548932418,1.022419809,-1
453,MODEL1,PARMS,RUL,1.104583706,4.278605943,0.065650476,0.018928005,-0.679464521,-0.095484761,0.600726811,-1.183471097,1.117076443,-3.09247571,5.898868246,-1
454,MODEL1,PARMS,RUL,1.174186273,3.394399001,0.36720374,-0.736653307,2.079684402,0.064087773,0.668564198,-1.543515806,0.132711657,0.144787752,-0.525179362,-1
455,MODEL1,PARMS,RUL,1.02751167,-2.872311831,0.228213755,-0.301625186,1.181943919,0.359331215,-0.232665248,0.869390316,0.847422226,-2.702212291,5.694088993,-1
456,MODEL1,PARMS,RUL,1.232933892,-11.22735966,0.230155791,-0.542809012,1.69480627,0.941297128,-1.890443321,3.652439978,0.743766021,-1.507201477,2.755718828,-1
457,MODEL1,PARMS,RUL,1.100120072,6.586022757,0.307509761,-0.650127915,2.666748013,-0.263170128,0.86231116,-2.519303688,0.801474009,-2.036104767,4.812403546,-1
458,MODEL1,PARMS,RUL,0.998001342,4.221283616,0.320237901,-0.723716395,2.137018609,-0.161045994,1.444620658,-3.824482462,1.003763719,-2.183858399,4.129975844,-1
459,MODEL1,PARMS,RUL,1.074912496,6.289511247,0.374206018,-0.85939351,3.445057456,-0.165753252,1.250972365,-2.394395294,0.215913919,0.439614632,-1.303131533,-1
460,MODEL1,PARMS,RUL,1.030610202,6.527231754,0.309629877,-0.385840173,1.206301605,-0.20308649,1.181265068,-2.515027836,0.566499061,-2.03284523,4.115605688,-1
461,MODEL1,PARMS,RUL,1.036653611,-5.677688948,0.369229182,-0.702926953,2.603790744,0.582157535,-0.394471942,0.884274986,0.466485839,-1.277752348,2.51688979,-1
462,MODEL1,PARMS,RUL,1.060064578,0.591557747,0.156597208,0.01781585,0.108320998,0.188552262,0.654030789,-1.573716379,0.654417274,-1.966448559,4.146299092,-1
463,MODEL1,PARMS,RUL,1.079095731,1.867370979,0.245914076,-0.328314869,0.605360468,0.191479228,0.72898489,-1.774298236,0.128618021,-0.005881611,-0.108469746,-1
464,MODEL1,PARMS,RUL,1.167994901,-6.615053473,0.292000785,-0.454899306,1.676247395,0.681651106,-1.501310924,2.402250026,0.404877173,-0.508101718,1.257318942,-1
465,MODEL1,PARMS,RUL,1.001260796,14.427291,0.04013735,-0.052077103,0.192979672,-0.776222027,4.047408434,-9.239181999,1.123946579,-3.416234935,6.87274233,-1
466,MODEL1,PARMS,RUL,0.990077837,13.06003486,0.024017335,-0.085380559,0.499472767,-0.595713627,1.953254494,-3.844125531,0.861356041,-3.036689085,6.531710978,-1
467,MODEL1,PARMS,RUL,0.977976192,6.758896975,0.181528169,-0.307876079,1.317764121,-0.215052729,1.673763288,-3.990172502,0.590895577,-1.163873617,2.452171974,-1
468,MODEL1,PARMS,RUL,1.118471002,5.27540049,0.153385132,-0.398094451,1.083202129,-0.152234959,-0.341621338,1.402316943,1.030883954,-2.142839305,3.496934505,-1
469,MODEL1,PARMS,RUL,1.131686614,-0.757217383,0.406503047,-0.756533032,2.615609879,0.141174649,0.713153605,-1.166273723,0.938817713,-1.842131028,3.095588826,-1
470,MODEL1,PARMS,RUL,1.107252402,7.79072422,0.382830761,-1.009306594,3.429284245,-0.343420037,1.70206475,-4.074070191,0.776729393,-2.568423638,5.622054406,-1
471,MODEL1,PARMS,RUL,1.074356764,4.279698503,0.24350147,-0.628680541,2.230681339,-0.11962802,1.075002298,-3.132416638,1.003325151,-2.876299506,6.020228315,-1
472,MODEL1,PARMS,RUL,1.115820465,1.442963982,-0.194275644,0.565084374,-1.791093171,0.203653514,-0.278291652,0.355991773,0.867046022,-1.35165689,2.005278921,-1
473,MODEL1,PARMS,RUL,1.023689732,5.957921066,0.129044056,-0.306875525,0.670145771,-0.083252481,0.832836016,-2.364857903,0.416964013,-0.587566119,1.156593226,-1
474,MODEL1,PARMS,RUL,1.085304964,3.467500657,0.226774268,-0.509192966,1.661934482,-0.010358849,2.064059925,-5.363059822,0.616922258,-1.197679485,1.98680987,-1
475,MODEL1,PARMS,RUL,1.099350838,1.726373461,0.214319651,-0.465184406,1.473369862,0.028781962,0.720558351,-1.44227521,1.131542905,-3.519076288,6.889367376,-1
476,MODEL1,PARMS,RUL,1.246279755,7.906451691,0.374567999,-0.932938704,3.382971674,-0.304112144,2.497069303,-6.747598421,0.507222251,-1.505051074,3.572551965,-1
477,MODEL1,PARMS,RUL,1.034870967,1.880275419,0.238764879,-0.636510538,2.464347205,0.137953108,0.383302926,-0.978535337,0.51012171,-1.525021607,3.461386696,-1
478,MODEL1,PARMS,RUL,0.973728151,6.991204788,0.301294339,-0.574719495,2.030047722,-0.320491428,0.716376361,-0.706263167,0.937503923,-2.082251529,3.723002442,-1
479,MODEL1,PARMS,RUL,1.048579711,1.460821358,0.167155918,-0.175545826,0.247831579,0.227559572,-0.566925777,1.764448028,0.330172411,-1.111607871,2.357700885,-1
480,MODEL1,PARMS,RUL,1.091562047,3.769905235,0.450115486,-1.080583678,3.448537207,-0.099024253,0.696162343,-1.003489018,0.729507381,-1.671167445,2.86015058,-1
481,MODEL1,PARMS,RUL,0.956227256,1.310930843,0.184431457,-0.208976792,0.530425511,0.083541932,0.303127901,-0.536709629,0.927372779,-2.525544404,5.021820559,-1
482,MODEL1,PARMS,RUL,1.107682046,4.052493924,0.397223873,-0.65162701,1.485910009,-0.090211166,0.34762166,-0.105974562,0.635314752,-1.467375789,2.832183807,-1
483,MODEL1,PARMS,RUL,1.109984408,7.734554352,0.62844864,-1.586535424,5.604627979,-0.502970619,1.59441753,-2.143704895,1.162935468,-2.886474287,5.217959548,-1
484,MODEL1,PARMS,RUL,1.048437445,2.685519069,-0.006898134,0.388067106,-1.802250359,0.122048784,1.446650738,-3.9530017,0.579926716,-1.642953604,3.114431571,-1
