SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RB4_5
461,MODEL1,PARMS,RB4_5,0.920664521,4.515262033,0.222938815,0.357378042,-0.864691793,-1
462,MODEL1,PARMS,RB4_5,0.892571474,4.255051296,0.273304362,0.221872887,-0.717308073,-1
463,MODEL1,PARMS,RB4_5,0.895663311,3.871724983,0.410559182,-0.396871616,0.368150826,-1
464,MODEL1,PARMS,RB4_5,0.884101034,3.929930299,0.421289969,-0.836451876,1.260870636,-1
465,MODEL1,PARMS,RB4_5,0.922690061,4.312681217,0.260232479,0.571030376,-1.414412887,-1
466,MODEL1,PARMS,RB4_5,0.908733149,4.824216713,0.121562371,0.802251656,-1.642237846,-1
467,MODEL1,PARMS,RB4_5,0.909250494,3.538957055,0.455330344,-0.232465098,0.058615883,-1
468,MODEL1,PARMS,RB4_5,0.955731401,3.861869549,0.3821633,0.106184962,-0.632720481,-1
469,MODEL1,PARMS,RB4_5,0.880193305,3.897817832,0.404465153,-0.715925465,1.165494102,-1
470,MODEL1,PARMS,RB4_5,0.918840624,2.809005558,0.723746086,-2.209050207,3.59199128,-1
471,MODEL1,PARMS,RB4_5,0.928082654,3.160053219,0.614305991,-1.676227154,2.829246301,-1
472,MODEL1,PARMS,RB4_5,0.874154617,3.726945418,0.43043251,-0.198465828,-0.091348749,-1
473,MODEL1,PARMS,RB4_5,0.881497535,3.430716121,0.484645982,-0.318158192,0.243519393,-1
474,MODEL1,PARMS,RB4_5,0.910664083,3.153748887,0.586465452,-1.121670662,1.62870604,-1
475,MODEL1,PARMS,RB4_5,0.89981493,5.127372232,0.053175337,0.699438284,-1.234630234,-1
476,MODEL1,PARMS,RB4_5,0.882853529,2.600320678,0.725533249,-1.225086964,1.708243324,-1
477,MODEL1,PARMS,RB4_5,0.931728848,3.149212778,0.602114697,-1.669207656,2.854801653,-1
478,MODEL1,PARMS,RB4_5,0.869136195,4.884004959,0.114246461,0.822595768,-1.661604648,-1
479,MODEL1,PARMS,RB4_5,0.886065657,4.03331269,0.34208753,-0.051728769,-0.055777587,-1
480,MODEL1,PARMS,RB4_5,0.912512549,3.675879741,0.443634972,-0.433737355,0.309142969,-1
481,MODEL1,PARMS,RB4_5,0.896491929,3.31136589,0.570156148,-1.585501842,2.690956111,-1
482,MODEL1,PARMS,RB4_5,0.91274521,3.643414221,0.455354761,-0.368468232,0.278153561,-1
483,MODEL1,PARMS,RB4_5,0.822616215,2.787396725,0.659036295,-0.907185645,1.197344451,-1
484,MODEL1,PARMS,RB4_5,0.885980529,3.212858761,0.556332767,-0.546241645,0.520209869,-1
485,MODEL1,PARMS,RB4_5,0.93002892,4.104634791,0.36317097,-0.750245678,1.210947806,-1
486,MODEL1,PARMS,RB4_5,0.877706968,2.659604341,0.728618457,-1.897783049,3.070991493,-1
487,MODEL1,PARMS,RB4_5,0.810666989,3.025123199,0.645576296,-1.57785593,2.553196043,-1
488,MODEL1,PARMS,RB4_5,0.907713886,3.679769706,0.459527817,-0.635724422,0.858207653,-1
489,MODEL1,PARMS,RB4_5,0.880952911,4.893995473,0.094902702,0.850768551,-1.55766172,-1
490,MODEL1,PARMS,RB4_5,0.921050444,3.931963653,0.386198501,-0.879442397,1.504442383,-1
491,MODEL1,PARMS,RB4_5,0.882691053,4.008349141,0.333067242,0.335814805,-1.046039939,-1
492,MODEL1,PARMS,RB4_5,0.912401621,4.22915648,0.26907715,0.344628296,-0.846207455,-1
493,MODEL1,PARMS,RB4_5,0.914651593,3.891051239,0.392140208,-0.437866766,0.689743267,-1
494,MODEL1,PARMS,RB4_5,0.880924247,3.356446057,0.545510471,-1.06112502,1.59380493,-1
495,MODEL1,PARMS,RB4_5,0.896823552,2.742114443,0.706082542,-1.341210334,1.837451873,-1
496,MODEL1,PARMS,RB4_5,0.847632344,3.310039761,0.536364376,-0.910320742,1.409426052,-1
497,MODEL1,PARMS,RB4_5,0.892927306,4.174755831,0.330199213,-0.537542076,0.805511082,-1
498,MODEL1,PARMS,RB4_5,0.896677009,3.518314974,0.482029299,-0.682729989,0.892194156,-1
499,MODEL1,PARMS,RB4_5,0.898978832,3.854564506,0.41136268,-0.744004746,1.115873265,-1
500,MODEL1,PARMS,RB4_5,0.856890146,4.612137035,0.172857006,0.42509638,-0.907585484,-1
501,MODEL1,PARMS,RB4_5,0.898868014,3.855117112,0.38945515,-0.432692798,0.573226445,-1
502,MODEL1,PARMS,RB4_5,0.958164435,4.216844785,0.318755469,-0.403108956,0.60200123,-1
503,MODEL1,PARMS,RB4_5,0.877252773,3.578471534,0.45991111,-0.440909676,0.430967872,-1
504,MODEL1,PARMS,RB4_5,0.878227481,3.064713101,0.602453374,-0.944501809,1.279287967,-1
505,MODEL1,PARMS,RB4_5,0.915987876,4.297741499,0.281469961,0.065224605,-0.345286161,-1
506,MODEL1,PARMS,RB4_5,0.926225707,3.443105737,0.543269579,-0.988199699,1.417968431,-1
507,MODEL1,PARMS,RB4_5,0.900820503,3.029735243,0.664570586,-1.637020296,2.532789576,-1
508,MODEL1,PARMS,RB4_5,0.848214475,3.302171515,0.559597296,-1.055963333,1.617437129,-1
509,MODEL1,PARMS,RB4_5,0.889219274,3.904847902,0.385591802,-0.688532009,1.198394506,-1
510,MODEL1,PARMS,RB4_5,0.896945488,4.151098003,0.320445266,-0.216611027,0.280819281,-1
511,MODEL1,PARMS,RB4_5,0.867304473,3.891303477,0.373486212,-0.258878757,0.235911759,-1
512,MODEL1,PARMS,RB4_5,0.80638243,3.939243365,0.39389238,-0.56864019,0.84749688,-1
513,MODEL1,PARMS,RB4_5,0.882651679,3.592364818,0.465776131,-0.556284401,0.713387989,-1
514,MODEL1,PARMS,RB4_5,0.914582208,5.424970266,-0.037895787,1.149537245,-2.000573339,-1
515,MODEL1,PARMS,RB4_5,0.909414169,3.759821354,0.421103536,-0.409606796,0.400791118,-1
516,MODEL1,PARMS,RB4_5,0.85209205,3.938487001,0.360563736,-0.270601228,0.299106048,-1
517,MODEL1,PARMS,RB4_5,0.886515747,3.908973213,0.387848528,-0.376494108,0.474514566,-1
518,MODEL1,PARMS,RB4_5,0.945523363,4.708965015,0.17056378,0.04262491,-0.052610356,-1
519,MODEL1,PARMS,RB4_5,0.934163896,3.73835785,0.389126075,-0.039720937,-0.176202785,-1
520,MODEL1,PARMS,RB4_5,0.936447128,4.116002368,0.335559558,-0.089261232,-0.212117304,-1
521,MODEL1,PARMS,RB4_5,0.966286198,5.026887804,0.078532526,0.77125795,-1.387946397,-1
522,MODEL1,PARMS,RB4_5,0.853524621,3.323267311,0.554174828,-1.117194764,1.789059391,-1
523,MODEL1,PARMS,RB4_5,0.893952796,3.188941282,0.603916606,-1.811504838,3.236274601,-1
524,MODEL1,PARMS,RB4_5,0.859535835,4.006336823,0.350716925,-0.034877438,-0.241886544,-1
525,MODEL1,PARMS,RB4_5,0.944477796,4.136030403,0.299504954,0.400350433,-1.142964251,-1
526,MODEL1,PARMS,RB4_5,0.912870151,4.016675136,0.357741386,-0.486538187,0.775319531,-1
527,MODEL1,PARMS,RB4_5,0.872263012,3.183770698,0.615890618,-1.709917562,2.890632363,-1
528,MODEL1,PARMS,RB4_5,0.914631096,3.903872519,0.400601097,-0.539670352,0.767419879,-1
529,MODEL1,PARMS,RB4_5,0.957310014,4.215040009,0.29815474,-0.045020792,-0.028860595,-1
530,MODEL1,PARMS,RB4_5,0.865158983,3.342238601,0.566367478,-1.011430505,1.39892232,-1
531,MODEL1,PARMS,RB4_5,0.905931923,4.037689541,0.334160391,-0.135517423,0.065809349,-1
532,MODEL1,PARMS,RB4_5,0.853649368,3.287294141,0.578979367,-1.234204164,1.886274201,-1
533,MODEL1,PARMS,RB4_5,0.933544839,2.575952249,0.760985046,-1.686472056,2.554063692,-1
534,MODEL1,PARMS,RB4_5,0.890714096,3.876765478,0.408715162,-0.239314943,0.145206676,-1
535,MODEL1,PARMS,RB4_5,0.863489068,3.432708081,0.5359952,-1.196496894,1.942883397,-1
536,MODEL1,PARMS,RB4_5,0.877114655,3.716256101,0.46875166,-1.307835055,2.376216978,-1
537,MODEL1,PARMS,RB4_5,0.929227324,3.979597264,0.413607529,-0.739400147,1.066076108,-1
538,MODEL1,PARMS,RB4_5,0.94159748,3.561175897,0.432659119,-0.186636551,0.056482884,-1
539,MODEL1,PARMS,RB4_5,0.902915731,4.273782582,0.278500665,0.33501381,-0.943777956,-1
540,MODEL1,PARMS,RB4_5,0.903646532,3.345278054,0.575567045,-1.028958557,1.437289654,-1
541,MODEL1,PARMS,RB4_5,0.944843224,3.815185818,0.442449407,-0.891374435,1.497459705,-1
542,MODEL1,PARMS,RB4_5,0.887414817,3.481204681,0.511098752,-1.0281229,1.550042691,-1
543,MODEL1,PARMS,RB4_5,0.922384682,3.414044475,0.478619231,-0.132912112,-0.267408695,-1
544,MODEL1,PARMS,RB4_5,0.921207611,3.932058894,0.381064428,-0.668326209,1.134916965,-1
545,MODEL1,PARMS,RB4_5,0.909274057,3.768699988,0.376137622,-0.014386861,-0.213439494,-1
546,MODEL1,PARMS,RB4_5,0.867789889,3.997281193,0.35360549,-0.432481592,0.614877063,-1
547,MODEL1,PARMS,RB4_5,0.838755861,3.551938364,0.488167855,-0.757684236,1.117841274,-1
548,MODEL1,PARMS,RB4_5,0.852724828,4.042002629,0.353096464,-0.303150194,0.35956436,-1
549,MODEL1,PARMS,RB4_5,0.870511693,2.612342089,0.781084692,-2.468536823,4.189187001,-1
550,MODEL1,PARMS,RB4_5,0.904368862,3.280038486,0.567731628,-1.075537152,1.599142461,-1
551,MODEL1,PARMS,RB4_5,0.896360969,3.47675009,0.507242934,-0.964556414,1.490669728,-1
552,MODEL1,PARMS,RB4_5,0.9297564,2.158814328,0.865385526,-2.309506271,3.687467922,-1
553,MODEL1,PARMS,RB4_5,0.857905129,3.328265152,0.552248754,-0.893963539,1.249698484,-1
554,MODEL1,PARMS,RB4_5,0.960028235,3.764277733,0.426199733,-0.380422965,0.323855906,-1
555,MODEL1,PARMS,RB4_5,0.882900969,4.113738326,0.325640363,-0.502294944,0.892452691,-1
556,MODEL1,PARMS,RB4_5,0.902510717,4.135724491,0.300512977,0.142715302,-0.533371451,-1
557,MODEL1,PARMS,RB4_5,0.836999652,4.484926305,0.240839792,0.009188324,-0.127912943,-1
558,MODEL1,PARMS,RB4_5,0.924225865,4.027514562,0.328952355,0.301548698,-0.938931061,-1
559,MODEL1,PARMS,RB4_5,0.893591902,2.528326705,0.778211667,-2.11742014,3.444489112,-1
560,MODEL1,PARMS,RB4_5,0.950142801,2.815270854,0.684501546,-1.271965702,1.902294692,-1
561,MODEL1,PARMS,RB4_5,0.894041833,3.641000953,0.438172894,-0.581623681,0.822023181,-1
562,MODEL1,PARMS,RB4_5,0.877864113,3.994246567,0.341298728,-0.037211808,-0.131881914,-1
563,MODEL1,PARMS,RB4_5,0.856932932,3.425312744,0.511515709,-0.920030394,1.363460612,-1
564,MODEL1,PARMS,RB4_5,0.899142119,3.395121046,0.513161604,-0.765712262,1.008368088,-1
565,MODEL1,PARMS,RB4_5,0.846834747,4.345022568,0.305742687,-0.592066847,0.99668638,-1
566,MODEL1,PARMS,RB4_5,0.891036167,3.881790459,0.401459663,-0.375714059,0.451778056,-1
567,MODEL1,PARMS,RB4_5,0.835000636,3.736348404,0.412709607,-0.142181356,-0.098331391,-1
568,MODEL1,PARMS,RB4_5,0.919905001,4.11183414,0.327825109,-0.245401969,0.162028638,-1
569,MODEL1,PARMS,RB4_5,0.877020305,4.96912688,0.109811754,0.827743651,-1.665096157,-1
570,MODEL1,PARMS,RB4_5,0.913042496,4.728055628,0.143499742,0.869824676,-1.822398408,-1
571,MODEL1,PARMS,RB4_5,0.894236576,3.989214736,0.361479575,-0.368937891,0.543510926,-1
572,MODEL1,PARMS,RB4_5,0.947146241,3.057082656,0.598195992,-0.938787267,1.354698434,-1
573,MODEL1,PARMS,RB4_5,0.860453633,4.413887198,0.253419278,0.041425512,-0.166284747,-1
574,MODEL1,PARMS,RB4_5,0.918430532,4.574398221,0.238508752,-0.412678854,0.898238869,-1
575,MODEL1,PARMS,RB4_5,0.996143656,3.477618998,0.518905525,-0.72771722,0.994779328,-1
576,MODEL1,PARMS,RB4_5,0.971342148,3.245540682,0.568110905,-0.887625094,1.145744962,-1
577,MODEL1,PARMS,RB4_5,0.846802358,3.527755263,0.476227515,-0.83443623,1.390432555,-1
578,MODEL1,PARMS,RB4_5,0.922171963,3.992180401,0.347102219,0.36601856,-1.104062689,-1
579,MODEL1,PARMS,RB4_5,0.879950869,3.843322297,0.399770755,0.121137429,-0.672722228,-1
580,MODEL1,PARMS,RB4_5,0.885882309,4.776647872,0.189876691,0.106058427,-0.373987057,-1
581,MODEL1,PARMS,RB4_5,0.895546737,3.865223895,0.395705098,-0.555186994,0.783611188,-1
582,MODEL1,PARMS,RB4_5,0.921769406,3.836909638,0.37578575,-0.068770232,-0.121815964,-1
583,MODEL1,PARMS,RB4_5,0.91252368,4.237245155,0.306480381,-0.256908375,0.471618091,-1
584,MODEL1,PARMS,RB4_5,0.902466294,3.908390718,0.383987208,-0.233560753,0.068813386,-1
585,MODEL1,PARMS,RB4_5,0.941370955,3.908433512,0.370752201,0.082621892,-0.549791302,-1
586,MODEL1,PARMS,RB4_5,0.877303825,4.289278373,0.317664017,-0.618120778,0.979495775,-1
587,MODEL1,PARMS,RB4_5,0.926807232,3.543519586,0.450995562,-0.21246398,0.058042578,-1
588,MODEL1,PARMS,RB4_5,0.948707906,2.681952891,0.768581672,-2.179709238,3.60932371,-1
589,MODEL1,PARMS,RB4_5,0.904685688,3.847119659,0.41876932,-0.518144691,0.721927722,-1
590,MODEL1,PARMS,RB4_5,0.861453434,3.619353284,0.468174478,-0.744222147,1.187402258,-1
591,MODEL1,PARMS,RB4_5,0.929169476,4.513278892,0.17529868,0.850652694,-1.74996966,-1
592,MODEL1,PARMS,RB4_5,0.875306974,4.168600271,0.273820221,0.377953045,-0.890067026,-1
593,MODEL1,PARMS,RB4_5,0.912785226,3.728737614,0.43583888,-0.28549005,0.079624277,-1
594,MODEL1,PARMS,RB4_5,0.938749828,3.272119627,0.575361559,-1.171240074,1.780045213,-1
595,MODEL1,PARMS,RB4_5,0.909970207,3.415228858,0.567399648,-1.938937243,3.586376845,-1
596,MODEL1,PARMS,RB4_5,0.849809032,3.802167813,0.390737586,0.230879024,-0.887349158,-1
597,MODEL1,PARMS,RB4_5,0.856080006,2.985178138,0.661513653,-1.545535995,2.355044655,-1
598,MODEL1,PARMS,RB4_5,0.883893335,3.51100311,0.509478739,-0.879950414,1.231729484,-1
599,MODEL1,PARMS,RB4_5,0.857831284,4.657182779,0.188043361,0.293543208,-0.66637746,-1
600,MODEL1,PARMS,RB4_5,0.88242501,4.500945075,0.189593488,0.397474773,-0.788040418,-1
601,MODEL1,PARMS,RB4_5,0.886004217,2.960664326,0.635584409,-1.360749822,2.101595359,-1
602,MODEL1,PARMS,RB4_5,0.987010766,3.906110207,0.351526784,0.538585597,-1.526423756,-1
603,MODEL1,PARMS,RB4_5,0.885440373,2.992506631,0.642319742,-1.616263459,2.721864125,-1
604,MODEL1,PARMS,RB4_5,0.911271812,4.064816101,0.352447673,0.142340115,-0.638246546,-1
605,MODEL1,PARMS,RB4_5,0.816108101,3.689591195,0.457778883,-0.486700357,0.473340311,-1
606,MODEL1,PARMS,RB4_5,0.909024189,2.530358458,0.762280561,-1.560428386,2.385894015,-1
607,MODEL1,PARMS,RB4_5,0.892061452,3.858079566,0.400083126,-0.530945356,0.740916833,-1
608,MODEL1,PARMS,RB4_5,0.91178518,3.013034864,0.627789781,-1.309713352,2.006753251,-1
609,MODEL1,PARMS,RB4_5,0.882674764,3.061948667,0.616252752,-1.53102117,2.547132324,-1
610,MODEL1,PARMS,RB4_5,0.913207892,4.812183202,0.131463756,0.813460234,-1.656432056,-1
611,MODEL1,PARMS,RB4_5,0.890261277,3.910109123,0.369394097,-0.189786054,0.107510282,-1
612,MODEL1,PARMS,RB4_5,0.846701277,3.119943138,0.58479964,-0.877704462,1.073430297,-1
613,MODEL1,PARMS,RB4_5,0.890452345,3.680455098,0.484031166,-1.115132674,1.758678236,-1
614,MODEL1,PARMS,RB4_5,0.90221057,3.976499901,0.395925789,-0.539340182,0.81436257,-1
615,MODEL1,PARMS,RB4_5,0.883729364,3.659418109,0.456872019,-0.596639988,0.812589228,-1
616,MODEL1,PARMS,RB4_5,0.872265752,3.716977697,0.441761958,-0.880553303,1.401401076,-1
617,MODEL1,PARMS,RB4_5,0.854209804,3.429776146,0.528118026,-0.999125391,1.408149608,-1
618,MODEL1,PARMS,RB4_5,0.916475583,4.380949946,0.235812761,0.432479663,-1.021647792,-1
619,MODEL1,PARMS,RB4_5,0.913092526,3.724299614,0.413879343,-0.226605812,0.117754083,-1
620,MODEL1,PARMS,RB4_5,0.884154571,3.367750267,0.545676098,-1.157702666,1.891186137,-1
621,MODEL1,PARMS,RB4_5,0.950673545,3.810320005,0.419292819,-0.346423846,0.302619502,-1
622,MODEL1,PARMS,RB4_5,0.881791751,4.539200183,0.24290841,-0.009128428,-0.123717613,-1
623,MODEL1,PARMS,RB4_5,0.886774305,3.785066931,0.399412173,-0.160708129,-0.000782471,-1
624,MODEL1,PARMS,RB4_5,0.894521968,4.669076658,0.219246354,0.433553485,-1.194831255,-1
625,MODEL1,PARMS,RB4_5,0.9145691,3.621756005,0.429280349,0.04180565,-0.494552655,-1
