SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LUL
589,MODEL1,PARMS,LUL,1.127235395,6.689291115,0.203631038,1.147249208,-2.050386798,-1
590,MODEL1,PARMS,LUL,1.115689587,5.344857779,0.506924298,0.530694244,-1.165466255,-1
591,MODEL1,PARMS,LUL,1.127621226,6.910829439,0.09605853,1.880198788,-3.48268206,-1
592,MODEL1,PARMS,LUL,1.17961336,6.616054158,0.189847372,1.967729004,-3.944953312,-1
593,MODEL1,PARMS,LUL,1.117511955,5.7616651,0.428923528,0.970979537,-2.192403721,-1
594,MODEL1,PARMS,LUL,1.089487318,5.858019526,0.436412113,0.420394159,-1.146454651,-1
595,MODEL1,PARMS,LUL,1.161394175,5.354355875,0.570605528,-0.653685374,1.272563062,-1
596,MODEL1,PARMS,LUL,1.085520655,7.361655795,-0.020870103,2.418314476,-4.318170394,-1
597,MODEL1,PARMS,LUL,1.063645476,6.257438386,0.306573547,1.021369916,-2.021635289,-1
598,MODEL1,PARMS,LUL,1.182860879,5.720439006,0.415162818,0.594249231,-1.331379349,-1
599,MODEL1,PARMS,LUL,1.128780375,7.006965542,0.070215519,2.534605067,-5.006494857,-1
600,MODEL1,PARMS,LUL,1.073772753,5.846962682,0.348426218,1.470946652,-2.908904685,-1
601,MODEL1,PARMS,LUL,1.085656263,5.66229375,0.520742727,-0.947175173,1.772803623,-1
602,MODEL1,PARMS,LUL,1.068825593,5.474514507,0.478329372,0.49198681,-1.14290516,-1
603,MODEL1,PARMS,LUL,1.16028303,5.221396964,0.560018572,0.383672641,-1.009967307,-1
604,MODEL1,PARMS,LUL,1.139590464,6.165522306,0.374893595,-0.005287405,-0.067675168,-1
605,MODEL1,PARMS,LUL,1.135368631,6.461920251,0.245047463,1.402057716,-2.811413698,-1
606,MODEL1,PARMS,LUL,1.031991137,5.354615577,0.577766117,-0.296938199,0.411887747,-1
607,MODEL1,PARMS,LUL,1.141875953,6.45503111,0.272090889,0.662838927,-1.120185414,-1
608,MODEL1,PARMS,LUL,1.150619477,6.430402248,0.262082577,0.842689758,-1.563531877,-1
609,MODEL1,PARMS,LUL,1.163461907,6.449628798,0.259645438,0.734849742,-1.37819946,-1
610,MODEL1,PARMS,LUL,1.060321011,7.658583992,-0.109734456,2.798028136,-5.016841637,-1
611,MODEL1,PARMS,LUL,1.116016042,6.271953895,0.307549663,0.888487695,-1.711911408,-1
612,MODEL1,PARMS,LUL,1.046483753,6.541013975,0.216330969,1.41237925,-2.562843517,-1
613,MODEL1,PARMS,LUL,1.078722982,7.521797898,-0.04801301,2.239635478,-4.149352346,-1
614,MODEL1,PARMS,LUL,1.15306259,6.34347795,0.271793442,1.008860507,-1.924937809,-1
615,MODEL1,PARMS,LUL,1.108607032,5.803393785,0.447271236,0.074305966,-0.257676711,-1
616,MODEL1,PARMS,LUL,1.134095513,8.35291501,-0.268623627,2.705608096,-4.485473958,-1
617,MODEL1,PARMS,LUL,1.054242302,5.714181227,0.444653145,0.725713257,-1.743563095,-1
618,MODEL1,PARMS,LUL,1.090172057,6.038029302,0.317140871,0.9910238,-1.971750722,-1
619,MODEL1,PARMS,LUL,1.088570694,5.926730606,0.395805576,0.783491523,-1.653088276,-1
620,MODEL1,PARMS,LUL,1.094713529,4.711126491,0.705147833,-0.712468242,1.046511714,-1
621,MODEL1,PARMS,LUL,1.140690243,6.49682252,0.175828646,2.51150939,-4.921991207,-1
622,MODEL1,PARMS,LUL,1.138317282,6.22236116,0.354782387,0.088383697,-0.120063847,-1
623,MODEL1,PARMS,LUL,1.17032262,7.064502584,0.054380533,2.614611401,-5.10526003,-1
624,MODEL1,PARMS,LUL,1.10134946,7.128586324,0.073443599,1.930301763,-3.730644292,-1
625,MODEL1,PARMS,LUL,1.115618735,6.653517431,0.169669157,1.808171983,-3.466857246,-1
626,MODEL1,PARMS,LUL,1.085006125,6.072873271,0.353264919,1.035590901,-2.053868282,-1
627,MODEL1,PARMS,LUL,1.151341622,5.629155709,0.488391552,0.262461982,-0.657011332,-1
628,MODEL1,PARMS,LUL,1.148885608,5.897588905,0.367333772,1.198014088,-2.568310242,-1
629,MODEL1,PARMS,LUL,1.094440358,6.337228392,0.285333101,0.994168812,-1.93764957,-1
630,MODEL1,PARMS,LUL,1.013582208,6.776179821,0.163898658,1.408747527,-2.57095369,-1
631,MODEL1,PARMS,LUL,1.114437924,5.632649485,0.50200749,0.046727438,-0.355440598,-1
632,MODEL1,PARMS,LUL,1.112023335,7.071064524,0.042863215,2.021242411,-3.540165173,-1
633,MODEL1,PARMS,LUL,1.090162194,6.607350714,0.214469284,0.8550326,-1.460319653,-1
634,MODEL1,PARMS,LUL,1.147853442,6.555115286,0.203450718,1.503863961,-2.898044803,-1
635,MODEL1,PARMS,LUL,1.096619707,5.665589013,0.483400976,-0.025515542,-0.03929066,-1
636,MODEL1,PARMS,LUL,1.108451761,8.693015485,-0.385275191,3.696575636,-6.50618276,-1
637,MODEL1,PARMS,LUL,1.10735376,7.135835136,0.049470253,2.179593328,-4.131200499,-1
638,MODEL1,PARMS,LUL,1.115865083,6.148508727,0.379784371,0.256782707,-0.580317834,-1
639,MODEL1,PARMS,LUL,1.067827662,6.310865268,0.260084525,1.440420083,-2.777986614,-1
640,MODEL1,PARMS,LUL,1.186684945,5.842914145,0.392827222,0.412280963,-0.795560923,-1
641,MODEL1,PARMS,LUL,1.165640807,5.216246656,0.647578498,-1.064950123,1.775647284,-1
642,MODEL1,PARMS,LUL,1.10421324,7.17352369,0.02053723,2.544304989,-4.86880208,-1
643,MODEL1,PARMS,LUL,1.095937695,5.88477629,0.397470685,0.727208655,-1.435432585,-1
644,MODEL1,PARMS,LUL,1.092769249,5.500501616,0.5418338,-0.474536178,0.829918286,-1
645,MODEL1,PARMS,LUL,1.066839677,5.054253103,0.616371488,-0.330004419,0.368423682,-1
646,MODEL1,PARMS,LUL,1.092750362,6.238530452,0.32893621,0.084872249,-0.148128733,-1
647,MODEL1,PARMS,LUL,1.059216422,7.397606624,-0.012894474,2.117185114,-3.69059147,-1
648,MODEL1,PARMS,LUL,1.10886383,6.109126149,0.329372301,1.327969849,-2.753948028,-1
649,MODEL1,PARMS,LUL,1.058922474,5.907763894,0.398091039,0.701660624,-1.701443758,-1
650,MODEL1,PARMS,LUL,1.122637107,6.353057179,0.261928825,1.303195783,-2.573278348,-1
651,MODEL1,PARMS,LUL,1.091523062,6.493150347,0.244412232,0.81227536,-1.414797571,-1
652,MODEL1,PARMS,LUL,1.108590422,6.864613649,0.127046239,1.988050884,-3.786646874,-1
653,MODEL1,PARMS,LUL,1.109962102,6.932031416,0.128520721,1.109470543,-1.763682438,-1
654,MODEL1,PARMS,LUL,1.04022537,6.686779797,0.193431296,1.320192027,-2.474364522,-1
655,MODEL1,PARMS,LUL,1.129397255,6.84208063,0.105507199,1.856246872,-3.379290163,-1
656,MODEL1,PARMS,LUL,1.160879302,7.465051409,-0.037589371,2.412696177,-4.545412604,-1
657,MODEL1,PARMS,LUL,1.21210936,7.015961481,0.082266623,2.302508801,-4.455618008,-1
658,MODEL1,PARMS,LUL,1.085243678,6.740036656,0.090363566,2.779308467,-5.390378685,-1
659,MODEL1,PARMS,LUL,1.103090177,6.385460269,0.322787868,0.364892118,-0.869488808,-1
660,MODEL1,PARMS,LUL,1.027275325,6.555312634,0.239173776,1.241664914,-2.353136275,-1
661,MODEL1,PARMS,LUL,1.115015964,5.827591159,0.444748895,0.320893132,-0.849065268,-1
662,MODEL1,PARMS,LUL,1.163065617,6.94259887,0.091955082,2.088837044,-3.837555445,-1
663,MODEL1,PARMS,LUL,1.153418726,7.256695264,0.002438534,2.400032472,-4.34647785,-1
664,MODEL1,PARMS,LUL,1.041271146,6.138431449,0.298226932,1.339646534,-2.548458596,-1
665,MODEL1,PARMS,LUL,1.144462495,7.221268676,0.020067038,2.226138222,-4.008194639,-1
666,MODEL1,PARMS,LUL,1.026070589,6.458690886,0.219627233,1.306341863,-2.351224907,-1
667,MODEL1,PARMS,LUL,1.14339211,7.404008654,-0.035542197,1.883299942,-3.195770028,-1
668,MODEL1,PARMS,LUL,1.068514769,6.345532539,0.294347898,1.020439147,-2.116057108,-1
669,MODEL1,PARMS,LUL,1.112666708,6.492979671,0.23677595,1.459464142,-2.890364966,-1
670,MODEL1,PARMS,LUL,1.092766002,6.226187227,0.337681371,0.218666453,-0.238299836,-1
671,MODEL1,PARMS,LUL,1.075451468,6.692368313,0.166174401,1.979044498,-4.041038696,-1
672,MODEL1,PARMS,LUL,1.130017329,6.509476454,0.269943838,0.518114603,-0.815195573,-1
673,MODEL1,PARMS,LUL,1.125463348,7.508262018,-0.085544604,3.131401206,-5.714028477,-1
674,MODEL1,PARMS,LUL,1.067975834,6.657771712,0.194906021,0.999875196,-1.725114235,-1
675,MODEL1,PARMS,LUL,1.071924527,5.379846934,0.580757431,-0.332061882,0.27043227,-1
676,MODEL1,PARMS,LUL,1.10184425,5.592079315,0.479218623,0.10811629,-0.233682214,-1
677,MODEL1,PARMS,LUL,1.137386435,6.881032652,0.102165238,2.519942962,-5.118726182,-1
678,MODEL1,PARMS,LUL,1.124038761,6.441409302,0.212353475,1.293479218,-2.27336718,-1
679,MODEL1,PARMS,LUL,1.021573143,6.78340864,0.19608521,0.894419253,-1.6201785,-1
680,MODEL1,PARMS,LUL,1.103591723,7.134662287,0.101399239,1.336555463,-2.41867398,-1
681,MODEL1,PARMS,LUL,1.142819376,7.23264862,0.040836472,2.068859685,-3.861293116,-1
682,MODEL1,PARMS,LUL,1.077716953,6.845122049,0.152978212,1.253766526,-2.425445137,-1
