SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LB1
173,MODEL1,PARMS,LB1,0.770919859,1.839685053,0.448921431,-0.88758767,1.463773369,-1
174,MODEL1,PARMS,LB1,0.701269577,2.39134721,0.280301228,-0.269094626,0.438833324,-1
175,MODEL1,PARMS,LB1,0.763475211,2.046316198,0.354789453,-0.280938006,0.36428804,-1
176,MODEL1,PARMS,LB1,0.723794832,1.733480062,0.465135861,-0.986397187,1.671621844,-1
177,MODEL1,PARMS,LB1,0.730189336,3.189387681,0.001275812,1.517383151,-2.837658462,-1
178,MODEL1,PARMS,LB1,0.768863622,2.064322197,0.372959548,-0.572519195,0.932753585,-1
179,MODEL1,PARMS,LB1,0.700571373,2.555461704,0.217888202,0.253170811,-0.582575626,-1
180,MODEL1,PARMS,LB1,0.730371853,2.446915877,0.258552756,-0.035969145,0.029972331,-1
181,MODEL1,PARMS,LB1,0.700211708,2.299790043,0.305638735,-0.414771385,0.744147416,-1
182,MODEL1,PARMS,LB1,0.758019875,2.381442124,0.266295604,0.479597607,-1.228230831,-1
183,MODEL1,PARMS,LB1,0.719664212,2.179394483,0.362895252,-0.68358196,1.090448853,-1
184,MODEL1,PARMS,LB1,0.731362653,2.414423439,0.269589252,0.003606393,-0.076060103,-1
185,MODEL1,PARMS,LB1,0.734973908,2.683794356,0.183014466,0.581506787,-1.275696291,-1
186,MODEL1,PARMS,LB1,0.696792943,3.322243782,0.013369427,0.765563848,-1.193312012,-1
187,MODEL1,PARMS,LB1,0.742297156,2.758209692,0.152387304,0.427174367,-0.698476943,-1
188,MODEL1,PARMS,LB1,0.703198181,2.204779112,0.301409178,0.110448214,-0.398349221,-1
189,MODEL1,PARMS,LB1,0.735404297,2.997061635,0.096591659,0.959587858,-1.880597354,-1
190,MODEL1,PARMS,LB1,0.770616857,2.089011943,0.329565823,-0.019141341,-0.054717054,-1
191,MODEL1,PARMS,LB1,0.735891817,3.04067078,0.11191752,0.080175416,6.67322E-05,-1
192,MODEL1,PARMS,LB1,0.680345445,2.665218364,0.16465943,0.708374495,-1.335280413,-1
