SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RLL
278,MODEL1,PARMS,RLL,1.007796161,4.68920036,0.354810706,-0.369315153,0.481754602,-1
279,MODEL1,PARMS,RLL,0.950630976,5.074539283,0.280127274,0.333086414,-1.068911296,-1
280,MODEL1,PARMS,RLL,0.950255038,4.43624802,0.431050538,-0.509071203,0.721279829,-1
281,MODEL1,PARMS,RLL,0.917375884,3.217054364,0.773235633,-1.978258319,3.169899131,-1
282,MODEL1,PARMS,RLL,0.893083351,4.106134295,0.529649966,-0.959484002,1.452388455,-1
283,MODEL1,PARMS,RLL,0.985678681,4.772120628,0.372641444,-0.330789564,0.45783469,-1
284,MODEL1,PARMS,RLL,1.026329265,3.81860028,0.598479694,-1.392768489,2.329694249,-1
285,MODEL1,PARMS,RLL,0.975320565,5.272703099,0.18231757,0.724815882,-1.496040392,-1
286,MODEL1,PARMS,RLL,0.931249998,4.904735557,0.323419629,0.036176618,-0.303383246,-1
287,MODEL1,PARMS,RLL,0.9888003,5.233334417,0.23585063,-0.338409445,0.633376838,-1
288,MODEL1,PARMS,RLL,0.940073408,3.823039905,0.61201972,-1.22592653,1.872929165,-1
289,MODEL1,PARMS,RLL,1.035172814,4.50838571,0.39905371,-0.299235761,0.448150462,-1
290,MODEL1,PARMS,RLL,0.905647052,6.088764473,-0.037829449,1.439513442,-2.676606551,-1
291,MODEL1,PARMS,RLL,1.004160685,4.682747436,0.383641363,-0.445977688,0.548927084,-1
292,MODEL1,PARMS,RLL,0.944688954,4.269377577,0.486016746,-0.973540033,1.633055108,-1
293,MODEL1,PARMS,RLL,0.925559229,3.956892511,0.594525638,-1.3952715,2.148696062,-1
294,MODEL1,PARMS,RLL,0.971732654,4.097840234,0.54074808,-0.931619102,1.418174703,-1
295,MODEL1,PARMS,RLL,0.966453421,4.605685185,0.393286447,-0.42404138,0.621476461,-1
296,MODEL1,PARMS,RLL,0.940580031,5.007475644,0.271776408,0.061342886,-0.290884678,-1
297,MODEL1,PARMS,RLL,0.926002632,4.874478331,0.321720041,-0.055551301,-0.115769209,-1
298,MODEL1,PARMS,RLL,0.943571775,5.023557904,0.294461568,-0.389638471,0.639112893,-1
299,MODEL1,PARMS,RLL,0.980615653,3.581177916,0.707846186,-1.880353885,3.011545509,-1
300,MODEL1,PARMS,RLL,0.963982025,5.25566705,0.227904475,0.024599038,-0.122769965,-1
301,MODEL1,PARMS,RLL,0.861281558,5.129160486,0.252387837,0.052536596,-0.174277951,-1
302,MODEL1,PARMS,RLL,0.957936033,4.5363829,0.413016357,-0.526400088,0.7224747,-1
303,MODEL1,PARMS,RLL,0.943185674,5.349729985,0.200707377,0.04415483,-0.061546758,-1
304,MODEL1,PARMS,RLL,0.958375172,4.14335287,0.503787175,-0.821871547,1.269973288,-1
305,MODEL1,PARMS,RLL,0.957696847,4.538780972,0.35018805,0.699663704,-1.673093199,-1
306,MODEL1,PARMS,RLL,0.913705804,5.083548435,0.281188338,-0.106327126,0.089161981,-1
307,MODEL1,PARMS,RLL,0.946013687,4.30571361,0.518359042,-1.473084532,2.567583574,-1
308,MODEL1,PARMS,RLL,0.948995108,3.844698688,0.60200526,-1.38989477,2.210821219,-1
309,MODEL1,PARMS,RLL,0.946720124,3.486652137,0.693494262,-1.735811608,2.944146156,-1
310,MODEL1,PARMS,RLL,0.98761608,4.729083853,0.320909294,0.247156549,-0.729422357,-1
311,MODEL1,PARMS,RLL,0.907151915,3.780275922,0.641761638,-1.620446627,2.646570108,-1
312,MODEL1,PARMS,RLL,0.914247265,4.644749706,0.342183429,0.238387384,-0.754612116,-1
313,MODEL1,PARMS,RLL,0.953677699,4.794818674,0.305733694,0.249191232,-0.603620041,-1
314,MODEL1,PARMS,RLL,0.995577115,4.549272857,0.428793207,-0.923637795,1.648397055,-1
315,MODEL1,PARMS,RLL,0.940732946,5.099691714,0.217186735,0.378257577,-0.771987823,-1
316,MODEL1,PARMS,RLL,0.93442633,3.293312499,0.7444736,-1.685966401,2.811062495,-1
317,MODEL1,PARMS,RLL,0.947974737,4.807593901,0.343938257,0.047106771,-0.470226769,-1
318,MODEL1,PARMS,RLL,0.878388913,4.98597101,0.289794886,0.233732775,-0.742121745,-1
319,MODEL1,PARMS,RLL,0.981362121,2.626884454,0.927041103,-2.534837084,4.090644063,-1
320,MODEL1,PARMS,RLL,0.947675574,4.448967605,0.474550881,-1.396389116,2.433541035,-1
321,MODEL1,PARMS,RLL,0.901185924,4.189647128,0.529336975,-0.999859981,1.624749764,-1
322,MODEL1,PARMS,RLL,0.944818981,4.050228805,0.53636017,-1.208492,2.050422583,-1
323,MODEL1,PARMS,RLL,0.963324924,5.491954627,0.088650393,1.144908256,-2.235391809,-1
324,MODEL1,PARMS,RLL,0.906570338,5.973755516,0.014013934,1.034510832,-1.784479592,-1
325,MODEL1,PARMS,RLL,0.997455464,4.185688638,0.51901912,-1.294376425,2.306362357,-1
326,MODEL1,PARMS,RLL,0.933699359,4.034633362,0.518088783,-0.401882503,0.233804574,-1
327,MODEL1,PARMS,RLL,0.883660421,4.133104592,0.524276693,-0.863094321,1.29815757,-1
328,MODEL1,PARMS,RLL,0.979179695,4.754128484,0.315175217,-0.0429255,-0.041820186,-1
329,MODEL1,PARMS,RLL,0.992933693,3.268826828,0.790402747,-2.173310298,3.648604791,-1
330,MODEL1,PARMS,RLL,0.88754598,4.058927214,0.55771248,-1.228972552,1.998619256,-1
331,MODEL1,PARMS,RLL,0.974772622,5.238596691,0.214516421,0.020719876,0.007419338,-1
332,MODEL1,PARMS,RLL,0.93223427,3.992899239,0.567564287,-1.031602103,1.42162811,-1
333,MODEL1,PARMS,RLL,0.915307264,5.288482828,0.17965323,0.835309602,-1.799055869,-1
334,MODEL1,PARMS,RLL,0.93009294,4.736985974,0.322531354,0.173864135,-0.59582498,-1
335,MODEL1,PARMS,RLL,0.914160417,4.750596039,0.379773008,-0.668755488,1.102447608,-1
336,MODEL1,PARMS,RLL,0.962782517,4.101574544,0.530896075,-0.762823405,0.977021826,-1
337,MODEL1,PARMS,RLL,0.992619715,4.99325176,0.279678453,0.189160012,-0.540355092,-1
338,MODEL1,PARMS,RLL,0.952278643,4.940353233,0.31819853,-0.875022452,1.782555155,-1
339,MODEL1,PARMS,RLL,0.92070994,3.741681704,0.626835358,-1.318433226,2.078976629,-1
340,MODEL1,PARMS,RLL,0.930738239,4.792042316,0.280890722,0.310643708,-0.643451859,-1
341,MODEL1,PARMS,RLL,0.909985393,3.573873669,0.660421976,-1.484679203,2.448565481,-1
342,MODEL1,PARMS,RLL,0.969617094,4.533071191,0.407057746,-0.479314161,0.686330386,-1
343,MODEL1,PARMS,RLL,0.962168748,3.962704866,0.570386032,-1.449027962,2.369235658,-1
344,MODEL1,PARMS,RLL,0.940051873,4.35388977,0.473737164,-0.804289837,1.230592039,-1
345,MODEL1,PARMS,RLL,0.922266296,4.194490388,0.489588086,-0.941343339,1.568914653,-1
346,MODEL1,PARMS,RLL,0.955545145,5.053211728,0.262265195,0.262318852,-0.655656079,-1
347,MODEL1,PARMS,RLL,0.986617197,4.478338713,0.410206764,-0.122956796,-0.103254315,-1
348,MODEL1,PARMS,RLL,0.958333363,5.71910206,0.060280862,0.965701226,-1.768618923,-1
349,MODEL1,PARMS,RLL,0.970967565,3.774697792,0.601689822,-1.045426065,1.622196824,-1
350,MODEL1,PARMS,RLL,0.858300782,4.745347771,0.3672927,-0.635602345,1.11703973,-1
351,MODEL1,PARMS,RLL,0.971610958,3.916060312,0.592327603,-1.418284942,2.212508997,-1
