SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LMB
317,MODEL1,PARMS,LMB,1.421697733,8.960432271,0.230409064,2.008771493,-3.793253252,-1
318,MODEL1,PARMS,LMB,1.50105267,7.676117311,0.586143896,0.777958434,-1.599369738,-1
319,MODEL1,PARMS,LMB,1.384974428,4.979195771,1.359051762,-2.704819615,4.223797195,-1
320,MODEL1,PARMS,LMB,1.373207695,7.404595679,0.700836047,-0.497290822,0.772750116,-1
321,MODEL1,PARMS,LMB,1.331811503,8.186858503,0.429892734,1.106671447,-1.947428348,-1
322,MODEL1,PARMS,LMB,1.426966715,6.497009315,0.958560553,-1.394925873,2.165278108,-1
323,MODEL1,PARMS,LMB,1.375740531,7.18227923,0.702790785,0.518046244,-1.631467206,-1
324,MODEL1,PARMS,LMB,1.339942534,7.952579749,0.501854886,1.028237399,-2.068898332,-1
325,MODEL1,PARMS,LMB,1.29200308,8.022584621,0.544488186,0.278528692,-0.469148579,-1
326,MODEL1,PARMS,LMB,1.349937351,6.414955807,0.981419897,-1.370026556,1.982418391,-1
327,MODEL1,PARMS,LMB,1.23309855,8.160295566,0.503775235,-0.197067541,0.654768475,-1
328,MODEL1,PARMS,LMB,1.338866634,8.208414616,0.492287259,-0.168962148,0.503038447,-1
329,MODEL1,PARMS,LMB,1.410794347,7.050809824,0.786692039,-0.275537146,0.215775221,-1
330,MODEL1,PARMS,LMB,1.436112583,8.978265574,0.251694618,2.194028342,-4.26466597,-1
331,MODEL1,PARMS,LMB,1.395752712,7.23098121,0.80788091,-0.791825447,1.110894986,-1
332,MODEL1,PARMS,LMB,1.500112375,7.784875938,0.623989928,0.312878743,-0.929985686,-1
333,MODEL1,PARMS,LMB,1.355530954,8.165737766,0.462502141,0.673207282,-1.151168898,-1
334,MODEL1,PARMS,LMB,1.304225634,7.290889295,0.678789585,0.400986562,-1.188139625,-1
335,MODEL1,PARMS,LMB,1.365006791,6.186550959,1.058602755,-1.616741881,2.364477534,-1
336,MODEL1,PARMS,LMB,1.337542184,7.32450575,0.71268742,-0.233551615,0.191485507,-1
337,MODEL1,PARMS,LMB,1.359918691,7.882438631,0.523020968,1.075196615,-2.249665371,-1
338,MODEL1,PARMS,LMB,1.454243584,7.28767629,0.676256279,0.243161875,-0.586326124,-1
339,MODEL1,PARMS,LMB,1.285088201,6.779736934,0.891471766,-1.060866616,1.640016726,-1
340,MODEL1,PARMS,LMB,1.306552587,7.590102343,0.613147737,-0.025003315,0.15349103,-1
