SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LLB6
259,MODEL1,PARMS,LLB6,1.182211753,5.818665318,0.468673516,0.458362484,-1.163848956,-1
260,MODEL1,PARMS,LLB6,1.101553668,5.522774443,0.5435169,0.441639946,-1.09399841,-1
261,MODEL1,PARMS,LLB6,1.095944067,6.024653135,0.482619358,-0.96101508,1.845169559,-1
262,MODEL1,PARMS,LLB6,1.137971548,5.515076035,0.49316986,0.432577728,-1.083614558,-1
263,MODEL1,PARMS,LLB6,1.172730165,4.077032979,0.985779648,-2.074497574,3.280075205,-1
264,MODEL1,PARMS,LLB6,1.199600428,5.611107296,0.566447609,-0.688240528,1.222011261,-1
265,MODEL1,PARMS,LLB6,1.065419275,3.760548635,1.032965427,-1.96304503,3.202208834,-1
266,MODEL1,PARMS,LLB6,1.146263387,5.088527009,0.750705391,-1.996547761,3.625994473,-1
267,MODEL1,PARMS,LLB6,1.144082708,5.63896972,0.50305583,0.216599372,-0.62453326,-1
268,MODEL1,PARMS,LLB6,1.079201934,6.196295622,0.377349062,0.477033873,-0.838251206,-1
269,MODEL1,PARMS,LLB6,1.184941152,4.870247272,0.730893568,-0.788990463,0.897000455,-1
270,MODEL1,PARMS,LLB6,1.044960452,4.84207502,0.746438155,-1.373667004,2.324450567,-1
271,MODEL1,PARMS,LLB6,1.096137215,5.116408772,0.689181312,-0.954603825,1.378203772,-1
272,MODEL1,PARMS,LLB6,1.180256913,5.988959038,0.47983586,-0.213364505,0.22275563,-1
273,MODEL1,PARMS,LLB6,1.120173264,6.599927798,0.262040716,1.133245609,-2.409135199,-1
274,MODEL1,PARMS,LLB6,1.098870685,2.23585963,1.479704261,-3.986793374,6.465200124,-1
275,MODEL1,PARMS,LLB6,1.142728885,5.475016684,0.536729266,0.556886957,-1.276679145,-1
276,MODEL1,PARMS,LLB6,1.103066271,4.675925461,0.782033736,-0.654646092,0.579370307,-1
277,MODEL1,PARMS,LLB6,1.074198047,5.297380304,0.618164541,-0.279423503,0.156422005,-1
278,MODEL1,PARMS,LLB6,1.161348202,6.041248991,0.442996751,-0.061639491,-0.015404892,-1
279,MODEL1,PARMS,LLB6,1.07672018,4.958079064,0.749480592,-1.069446964,1.506068721,-1
280,MODEL1,PARMS,LLB6,1.181365203,5.567396913,0.517297182,0.363247718,-0.913648649,-1
281,MODEL1,PARMS,LLB6,1.125353495,4.365085261,0.900205195,-1.613263705,2.351533071,-1
282,MODEL1,PARMS,LLB6,1.133310811,5.722974112,0.499499956,0.022750801,-0.265291547,-1
283,MODEL1,PARMS,LLB6,1.1491992,6.361346441,0.356823411,0.331534886,-0.584291275,-1
284,MODEL1,PARMS,LLB6,1.06898575,5.548443345,0.537123902,-0.060884477,-0.096740546,-1
285,MODEL1,PARMS,LLB6,1.145774623,4.804743102,0.768481044,-1.236808054,1.981579487,-1
286,MODEL1,PARMS,LLB6,1.045708673,5.43013047,0.62234083,-0.682269498,1.024136515,-1
287,MODEL1,PARMS,LLB6,1.111701206,5.66866353,0.538792124,-0.898267211,1.768983003,-1
288,MODEL1,PARMS,LLB6,1.165277468,5.072545029,0.705971048,-0.966892841,1.438885672,-1
289,MODEL1,PARMS,LLB6,1.111780672,5.678234712,0.478636739,0.238263117,-0.471071846,-1
290,MODEL1,PARMS,LLB6,1.143146978,5.478179786,0.594558775,-0.565811841,0.733599168,-1
291,MODEL1,PARMS,LLB6,1.106506156,5.380896753,0.644019387,-1.199914982,2.048077027,-1
292,MODEL1,PARMS,LLB6,1.101934545,5.31810052,0.593196908,0.012032142,-0.430182191,-1
293,MODEL1,PARMS,LLB6,1.09815685,4.47244369,0.875699087,-1.478228031,2.169765898,-1
294,MODEL1,PARMS,LLB6,1.123619925,4.814243786,0.776339388,-1.17490232,1.929375846,-1
295,MODEL1,PARMS,LLB6,1.162798019,4.421581335,0.888610536,-1.984578667,3.233933808,-1
296,MODEL1,PARMS,LLB6,1.086770968,5.762834208,0.531366885,-0.505187732,0.710734588,-1
297,MODEL1,PARMS,LLB6,1.149267238,5.160123397,0.679918237,-1.018762942,1.722600649,-1
298,MODEL1,PARMS,LLB6,1.097016235,4.835182518,0.795269486,-1.43546846,2.217615823,-1
299,MODEL1,PARMS,LLB6,1.229119791,4.024473278,0.984782684,-1.804136863,2.703607186,-1
300,MODEL1,PARMS,LLB6,1.103789261,5.116092021,0.672409011,-0.617977094,0.833143037,-1
301,MODEL1,PARMS,LLB6,1.01263069,3.889817802,1.009863625,-2.009122316,3.208342932,-1
302,MODEL1,PARMS,LLB6,1.117857598,4.265100329,0.906899372,-1.237047541,1.681874347,-1
303,MODEL1,PARMS,LLB6,1.041221423,5.073413323,0.668911253,-0.704592075,1.033629474,-1
304,MODEL1,PARMS,LLB6,1.105072494,4.973600788,0.733719733,-1.248183965,2.19660935,-1
305,MODEL1,PARMS,LLB6,1.055918263,4.232081152,0.88197237,-0.917931425,1.134055315,-1
306,MODEL1,PARMS,LLB6,1.109768198,5.252134002,0.666222877,-0.712248518,0.965800373,-1
307,MODEL1,PARMS,LLB6,1.14478772,4.154455659,0.979433725,-2.093898602,3.397574658,-1
308,MODEL1,PARMS,LLB6,1.096264593,4.40942605,0.900426633,-1.918787126,3.112085937,-1
309,MODEL1,PARMS,LLB6,1.144741597,4.365089146,0.864336849,-0.976155716,1.187896893,-1
310,MODEL1,PARMS,LLB6,1.147031539,6.621833915,0.250959863,1.386697709,-2.756854642,-1
311,MODEL1,PARMS,LLB6,1.076763263,4.499202972,0.874939604,-1.791423434,2.882726821,-1
312,MODEL1,PARMS,LLB6,1.117463287,5.385195381,0.57329161,0.363461191,-1.283365427,-1
313,MODEL1,PARMS,LLB6,1.073638347,4.226029449,0.899845427,-1.285776558,1.886642408,-1
314,MODEL1,PARMS,LLB6,1.086651095,5.77889682,0.482963819,0.321491456,-0.72102674,-1
315,MODEL1,PARMS,LLB6,1.081451776,6.577760897,0.244446819,1.488067594,-3.015090901,-1
316,MODEL1,PARMS,LLB6,1.138191992,3.749558992,1.030192,-1.906750649,2.877155493,-1
317,MODEL1,PARMS,LLB6,1.143066882,6.496371548,0.307334829,0.834245112,-1.714605896,-1
318,MODEL1,PARMS,LLB6,1.105217055,5.728317843,0.492883745,0.242000142,-0.673757562,-1
319,MODEL1,PARMS,LLB6,1.102654852,3.525003338,1.076366071,-1.636878933,2.273516447,-1
320,MODEL1,PARMS,LLB6,1.166040247,5.832310358,0.494899561,-0.350342614,0.508595207,-1
321,MODEL1,PARMS,LLB6,1.075213223,4.857911023,0.788506218,-1.494398936,2.410371243,-1
322,MODEL1,PARMS,LLB6,1.115576005,4.938989093,0.736164132,-0.875781497,1.186483262,-1
323,MODEL1,PARMS,LLB6,1.075967095,6.355112973,0.26794305,1.624428131,-3.365677819,-1
324,MODEL1,PARMS,LLB6,1.086866301,5.230078048,0.653438245,-0.632328326,0.910345796,-1
325,MODEL1,PARMS,LLB6,1.170337729,5.461745811,0.587451837,-0.669154271,1.185958137,-1
326,MODEL1,PARMS,LLB6,1.118694908,5.536246267,0.542766124,0.102979069,-0.639212778,-1
327,MODEL1,PARMS,LLB6,1.05088683,5.178486839,0.659489083,-0.710147994,1.074954245,-1
328,MODEL1,PARMS,LLB6,1.077704255,6.756884172,0.230812717,0.870796263,-1.59552118,-1
329,MODEL1,PARMS,LLB6,1.137418006,4.566565729,0.872456322,-1.743180026,2.846472584,-1
330,MODEL1,PARMS,LLB6,1.081298016,5.674744648,0.514694278,-0.059128923,-0.113000326,-1
331,MODEL1,PARMS,LLB6,1.174676113,5.053824545,0.737077268,-1.392305877,2.305584198,-1
332,MODEL1,PARMS,LLB6,1.126207185,4.661247873,0.862417716,-1.544629312,2.25146737,-1
333,MODEL1,PARMS,LLB6,1.070407026,5.800894998,0.458531433,0.428968449,-1.116007313,-1
334,MODEL1,PARMS,LLB6,1.05767021,4.988903858,0.676615615,-0.152385264,-0.366488723,-1
335,MODEL1,PARMS,LLB6,1.068933061,4.832808781,0.76907929,-1.022647677,1.404201875,-1
336,MODEL1,PARMS,LLB6,1.140874816,5.522053033,0.570824259,-0.238983553,0.114577806,-1
337,MODEL1,PARMS,LLB6,1.170058242,5.874478357,0.427678177,0.546509507,-1.151020782,-1
338,MODEL1,PARMS,LLB6,1.154902351,6.350530378,0.328807332,0.487474084,-0.758756802,-1
339,MODEL1,PARMS,LLB6,1.126508205,5.372994985,0.613088256,-0.43422436,0.537475309,-1
340,MODEL1,PARMS,LLB6,1.040282223,5.551838598,0.502698571,0.384922807,-0.792272338,-1
341,MODEL1,PARMS,LLB6,1.092916546,4.007435611,1.025603091,-2.514705302,4.208508218,-1
342,MODEL1,PARMS,LLB6,1.088766245,5.277010543,0.568842013,0.542246961,-1.592485332,-1
343,MODEL1,PARMS,LLB6,1.123803286,5.64581478,0.528534677,-0.402834728,0.498459361,-1
344,MODEL1,PARMS,LLB6,1.06107061,4.685258873,0.815240422,-1.188561428,1.82542748,-1
345,MODEL1,PARMS,LLB6,1.079525238,5.529581668,0.582499791,-0.793997895,1.349749282,-1
346,MODEL1,PARMS,LLB6,1.045588981,5.895769547,0.479350235,0.063808133,-0.294504761,-1
347,MODEL1,PARMS,LLB6,1.196671152,4.07414569,0.957312236,-1.707699996,2.728567797,-1
