SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RB10
847,MODEL1,PARMS,RB10,0.784669753,2.302334074,0.536326277,-0.799528066,1.093563224,-1
848,MODEL1,PARMS,RB10,0.856854187,2.616882794,0.425080304,-0.556521661,0.91289998,-1
849,MODEL1,PARMS,RB10,0.885483367,3.017475608,0.328671538,0.30980291,-0.9504838,-1
850,MODEL1,PARMS,RB10,0.82258004,2.986967555,0.366521779,-0.698394538,1.237841918,-1
851,MODEL1,PARMS,RB10,0.752539472,3.113231228,0.299327856,-0.146994077,0.104959568,-1
852,MODEL1,PARMS,RB10,0.837938931,2.166931485,0.588682129,-1.43191471,2.378953878,-1
853,MODEL1,PARMS,RB10,0.843269276,3.935608827,0.038756673,1.140999097,-2.016873116,-1
854,MODEL1,PARMS,RB10,0.793126716,2.234618704,0.517777651,-0.496414654,0.661713115,-1
855,MODEL1,PARMS,RB10,0.786401352,2.628202939,0.456522014,-0.558921046,0.651195398,-1
856,MODEL1,PARMS,RB10,0.785125258,2.885207569,0.311171435,0.421288361,-0.989033704,-1
857,MODEL1,PARMS,RB10,0.830017985,2.553546395,0.424602355,-0.327447209,0.41976953,-1
858,MODEL1,PARMS,RB10,0.766951599,2.568215136,0.417836625,0.100159806,-0.639935967,-1
859,MODEL1,PARMS,RB10,0.814503878,3.146272698,0.33060385,-0.829763494,1.680373372,-1
860,MODEL1,PARMS,RB10,0.843529613,2.27602048,0.547095402,-1.132838605,1.849692707,-1
861,MODEL1,PARMS,RB10,0.788671385,3.230901135,0.250849044,0.394192017,-0.875235509,-1
862,MODEL1,PARMS,RB10,0.842830037,2.171777544,0.578839257,-1.048520981,1.571975095,-1
863,MODEL1,PARMS,RB10,0.787281428,3.798963614,0.099113325,1.084739008,-2.140400943,-1
864,MODEL1,PARMS,RB10,0.80823346,2.614201846,0.451393583,-0.62678566,0.910887203,-1
865,MODEL1,PARMS,RB10,0.791279895,1.764697226,0.657768689,-1.346561751,2.110616605,-1
866,MODEL1,PARMS,RB10,0.804459181,2.035971165,0.629092487,-1.494269306,2.322244744,-1
867,MODEL1,PARMS,RB10,0.762274241,2.099022405,0.591579238,-1.204240475,1.769538588,-1
868,MODEL1,PARMS,RB10,0.775784214,2.396543389,0.491300749,-0.421359716,0.320986265,-1
869,MODEL1,PARMS,RB10,0.817241251,2.667007881,0.422319452,-0.838893174,1.417454009,-1
870,MODEL1,PARMS,RB10,0.835529148,2.56598272,0.46049711,-0.674199436,0.958024887,-1
871,MODEL1,PARMS,RB10,0.781415448,1.636579911,0.729912047,-1.667580633,2.596744426,-1
872,MODEL1,PARMS,RB10,0.796416942,3.046289074,0.322591799,-0.236066756,0.302421721,-1
873,MODEL1,PARMS,RB10,0.782380796,2.126016616,0.570144764,-1.222995779,2.084022476,-1
874,MODEL1,PARMS,RB10,0.780265509,1.858582773,0.6456723,-1.247329007,2.042690821,-1
