SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,sRB1
636,MODEL1,PARMS,sRB1,0.667383605,1.503884043,0.408704346,-0.721913128,1.106203799,-1
637,MODEL1,PARMS,sRB1,0.667049435,1.918463162,0.285559753,-0.016404774,-0.283147511,-1
638,MODEL1,PARMS,sRB1,0.709424613,2.152233345,0.230934038,0.13661424,-0.462332687,-1
639,MODEL1,PARMS,sRB1,0.670353285,2.386257783,0.153026088,0.444985334,-0.823817831,-1
640,MODEL1,PARMS,sRB1,0.644996963,2.403734313,0.129519641,0.903305016,-1.91680517,-1
641,MODEL1,PARMS,sRB1,0.646304115,1.402827039,0.405151336,-0.532829607,0.789249306,-1
642,MODEL1,PARMS,sRB1,0.699809609,1.718642984,0.374537295,-0.936946316,1.636469121,-1
643,MODEL1,PARMS,sRB1,0.634735353,2.058259712,0.257547905,-0.191295624,0.275765,-1
644,MODEL1,PARMS,sRB1,0.665797085,2.168616899,0.201956548,0.562182998,-1.216569999,-1
645,MODEL1,PARMS,sRB1,0.633046036,1.937873297,0.286351878,-0.256272671,0.505069481,-1
646,MODEL1,PARMS,sRB1,0.630979443,1.945144237,0.29423727,-0.268317475,0.33780038,-1
647,MODEL1,PARMS,sRB1,0.671835042,1.81196958,0.310484478,-0.184197626,0.142056261,-1
648,MODEL1,PARMS,sRB1,0.656906674,1.576420965,0.374155608,-0.296302207,0.291423606,-1
649,MODEL1,PARMS,sRB1,0.666087582,1.831273484,0.296732218,0.012927151,-0.225947451,-1
650,MODEL1,PARMS,sRB1,0.682749634,1.760973225,0.333345765,-0.603445172,1.038398012,-1
651,MODEL1,PARMS,sRB1,0.67607655,2.453719784,0.167153631,-0.072769921,0.181774467,-1
652,MODEL1,PARMS,sRB1,0.666263282,2.073739235,0.223662668,0.392454763,-0.889006173,-1
653,MODEL1,PARMS,sRB1,0.685190305,2.251411927,0.182979645,0.205350731,-0.45849105,-1
654,MODEL1,PARMS,sRB1,0.639506745,2.520300427,0.12539365,0.378438507,-0.816851666,-1
655,MODEL1,PARMS,sRB1,0.684482652,1.841087514,0.299535246,-0.056623101,-0.169543361,-1
656,MODEL1,PARMS,sRB1,0.653990101,1.914275918,0.316319118,-0.324778172,0.287785618,-1
657,MODEL1,PARMS,sRB1,0.681577392,1.767053727,0.316506398,0.170894681,-0.610981586,-1
658,MODEL1,PARMS,sRB1,0.656789058,2.464325063,0.096570953,0.949047075,-1.87523898,-1
659,MODEL1,PARMS,sRB1,0.620273803,1.764114917,0.355768722,-0.784285647,1.362862482,-1
660,MODEL1,PARMS,sRB1,0.697866912,1.910413955,0.310688155,-0.43873559,0.705924004,-1
661,MODEL1,PARMS,sRB1,0.623295164,1.886161128,0.294895337,-0.109053636,-0.008217429,-1
662,MODEL1,PARMS,sRB1,0.668159644,2.540860462,0.091897541,0.7658569,-1.413829728,-1
663,MODEL1,PARMS,sRB1,0.651639478,1.901986991,0.314105671,-0.451740084,0.732830535,-1
664,MODEL1,PARMS,sRB1,0.656253159,1.775415493,0.321232896,-0.040957428,-0.202359678,-1
665,MODEL1,PARMS,sRB1,0.708522517,2.287874376,0.204101394,-0.006539384,-0.00140715,-1
666,MODEL1,PARMS,sRB1,0.665035595,2.085898811,0.234332011,0.089574663,-0.249461284,-1
667,MODEL1,PARMS,sRB1,0.632742584,1.907153348,0.312449193,-0.458427314,0.728068265,-1
668,MODEL1,PARMS,sRB1,0.673202418,2.212448445,0.207169794,0.122890677,-0.301390977,-1
669,MODEL1,PARMS,sRB1,0.685087589,2.602393321,0.100478778,0.811438493,-1.596744253,-1
670,MODEL1,PARMS,sRB1,0.676149521,1.739329383,0.356382133,-0.687506815,1.186908468,-1
671,MODEL1,PARMS,sRB1,0.652696625,1.938518218,0.304959199,-0.300649094,0.345983949,-1
672,MODEL1,PARMS,sRB1,0.697897763,1.864833032,0.298576154,-0.512439543,0.93699427,-1
673,MODEL1,PARMS,sRB1,0.737496341,1.320019637,0.467632521,-1.000813379,1.496367137,-1
674,MODEL1,PARMS,sRB1,0.631903463,2.077620617,0.224640897,-0.023793771,0.066579461,-1
675,MODEL1,PARMS,sRB1,0.686110992,2.445424989,0.170081941,-0.108115261,0.230067158,-1
676,MODEL1,PARMS,sRB1,0.654579255,1.456281802,0.384795133,-0.299528625,0.448142457,-1
677,MODEL1,PARMS,sRB1,0.660149688,2.299812161,0.200722759,0.084297502,-0.291490953,-1
678,MODEL1,PARMS,sRB1,0.654922403,1.792581999,0.308341621,-0.02868041,-0.233122076,-1
679,MODEL1,PARMS,sRB1,0.631009651,1.730369351,0.318034286,-0.086989686,-0.003012531,-1
680,MODEL1,PARMS,sRB1,0.647470872,2.08588627,0.241480647,0.263075438,-0.74686421,-1
681,MODEL1,PARMS,sRB1,0.673773614,1.970526965,0.257058167,0.181831314,-0.494271751,-1
682,MODEL1,PARMS,sRB1,0.670459847,2.123660164,0.235745611,-0.227443749,0.413995046,-1
683,MODEL1,PARMS,sRB1,0.681193665,2.573770716,0.08853128,0.945134391,-1.847718202,-1
684,MODEL1,PARMS,sRB1,0.645263263,2.240418298,0.183657882,0.25513986,-0.506776746,-1
685,MODEL1,PARMS,sRB1,0.644586332,1.937884615,0.300585914,-0.503843006,0.811042279,-1
686,MODEL1,PARMS,sRB1,0.661046503,2.146742489,0.247979058,-0.178569765,0.252966185,-1
687,MODEL1,PARMS,sRB1,0.643702953,2.431908725,0.15949763,0.002081243,-0.010976417,-1
688,MODEL1,PARMS,sRB1,0.652463944,2.124223766,0.259390841,-0.43750447,0.837079646,-1
689,MODEL1,PARMS,sRB1,0.691636572,2.409111729,0.144044502,0.524157161,-1.061957223,-1
690,MODEL1,PARMS,sRB1,0.635071148,1.779582531,0.309257415,-0.094527254,-0.070768486,-1
691,MODEL1,PARMS,sRB1,0.645416193,1.753203697,0.314020057,-0.189481682,0.170816627,-1
692,MODEL1,PARMS,sRB1,0.624057315,1.231626007,0.503612816,-1.181503839,1.854651548,-1
693,MODEL1,PARMS,sRB1,0.680441431,1.743723173,0.339215797,-0.554441223,0.935203271,-1
694,MODEL1,PARMS,sRB1,0.6642614,2.215452152,0.206571287,0.141243699,-0.415897726,-1
695,MODEL1,PARMS,sRB1,0.644317005,2.335406629,0.164712267,0.401288437,-0.876974404,-1
696,MODEL1,PARMS,sRB1,0.614178169,2.141607209,0.231059236,0.021470793,-0.220607393,-1
697,MODEL1,PARMS,sRB1,0.669928788,2.659549027,0.078384559,0.81388058,-1.50267326,-1
698,MODEL1,PARMS,sRB1,0.68648342,2.05951731,0.264707836,0.034270463,-0.27559897,-1
699,MODEL1,PARMS,sRB1,0.680884105,2.839413514,0.012667297,1.142534343,-2.152558692,-1
700,MODEL1,PARMS,sRB1,0.688927228,1.731556588,0.343758286,-0.554177481,0.789283618,-1
701,MODEL1,PARMS,sRB1,0.684997891,1.987340683,0.329132884,-1.14010798,2.129849161,-1
702,MODEL1,PARMS,sRB1,0.622199894,1.520429086,0.393544191,-0.625756708,0.844563042,-1
703,MODEL1,PARMS,sRB1,0.644566569,2.002612681,0.26378281,-0.086082483,-0.009359221,-1
704,MODEL1,PARMS,sRB1,0.690315634,2.033396442,0.280032197,-0.359626046,0.582535136,-1
705,MODEL1,PARMS,sRB1,0.669410625,2.294598465,0.176582232,0.41483596,-0.796543935,-1
706,MODEL1,PARMS,sRB1,0.673220534,1.478168565,0.409651794,-0.726963667,1.296866135,-1
707,MODEL1,PARMS,sRB1,0.637042987,2.543936228,0.103050252,0.521095235,-1.004641986,-1
708,MODEL1,PARMS,sRB1,0.712075507,1.581391228,0.398709706,-0.647053771,0.966234976,-1
709,MODEL1,PARMS,sRB1,0.609366733,2.939482439,-0.022087391,1.159458115,-2.040564328,-1
710,MODEL1,PARMS,sRB1,0.680884281,1.40281837,0.429215176,-0.944992432,1.683035736,-1
711,MODEL1,PARMS,sRB1,0.648738409,1.949780797,0.252626463,-0.018548762,0.094136153,-1
712,MODEL1,PARMS,sRB1,0.65553354,1.567865999,0.392238577,-0.910550344,1.5741576,-1
713,MODEL1,PARMS,sRB1,0.659383377,1.765396222,0.309889769,-0.070430028,-0.027945765,-1
714,MODEL1,PARMS,sRB1,0.66814338,2.447341622,0.141337874,0.395918042,-0.720589035,-1
715,MODEL1,PARMS,sRB1,0.679545345,1.913554056,0.268974791,0.22198855,-0.787755729,-1
716,MODEL1,PARMS,sRB1,0.664903825,1.919968839,0.257110949,0.034844022,-0.172009823,-1
717,MODEL1,PARMS,sRB1,0.642893771,2.186907369,0.195241899,0.465715477,-1.063419433,-1
718,MODEL1,PARMS,sRB1,0.702697836,1.704880527,0.376529251,-1.136895029,2.152689976,-1
719,MODEL1,PARMS,sRB1,0.667921881,2.491368427,0.145678117,0.310205262,-0.618590894,-1
720,MODEL1,PARMS,sRB1,0.629635101,2.467259708,0.122364923,0.551328382,-1.085587482,-1
721,MODEL1,PARMS,sRB1,0.665182802,2.361508769,0.159761225,0.393865468,-0.810338198,-1
722,MODEL1,PARMS,sRB1,0.622367554,1.567028212,0.379873007,-0.681233674,1.212817531,-1
723,MODEL1,PARMS,sRB1,0.616962659,1.717865765,0.300372566,0.231844622,-0.770398012,-1
724,MODEL1,PARMS,sRB1,0.6254895,1.838473648,0.297348092,0.042700406,-0.281078596,-1
