SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RMB
541,MODEL1,PARMS,RMB,1.606769978,7.935595832,1.068979661,-1.225032825,1.908902897,-1
542,MODEL1,PARMS,RMB,1.558052078,7.744864908,1.045614175,-0.55014784,0.616327843,-1
543,MODEL1,PARMS,RMB,1.530694381,7.792988855,1.036068764,-0.735324186,1.109537129,-1
544,MODEL1,PARMS,RMB,1.602510805,8.242026437,0.987204585,-1.145286425,1.903541473,-1
545,MODEL1,PARMS,RMB,1.522759154,7.706702809,1.053424251,-0.620880711,0.703023467,-1
546,MODEL1,PARMS,RMB,1.574022633,9.473384511,0.620472248,0.985819056,-2.002767558,-1
547,MODEL1,PARMS,RMB,1.595787472,7.576684823,1.146801237,-1.265846167,1.887882685,-1
548,MODEL1,PARMS,RMB,1.613176438,10.63439339,0.278858462,2.020136197,-3.399608541,-1
549,MODEL1,PARMS,RMB,1.650458647,7.44645928,1.233454341,-2.24278674,3.863551045,-1
550,MODEL1,PARMS,RMB,1.515600667,10.07601148,0.432358368,1.196855237,-2.010813411,-1
551,MODEL1,PARMS,RMB,1.565894514,8.600590543,0.877216982,-0.749378207,1.295756382,-1
552,MODEL1,PARMS,RMB,1.673265396,7.297330441,1.137337221,-0.656298512,0.732904927,-1
553,MODEL1,PARMS,RMB,1.641538888,9.185949884,0.668935448,1.066873417,-2.167626754,-1
554,MODEL1,PARMS,RMB,1.745865571,8.692727414,0.834152323,-0.268639503,0.259993901,-1
555,MODEL1,PARMS,RMB,1.545592641,8.31628341,0.882535501,-0.188417569,0.37320824,-1
556,MODEL1,PARMS,RMB,1.628942636,10.22070952,0.37076858,1.893781365,-3.638720143,-1
557,MODEL1,PARMS,RMB,1.578759653,9.266204542,0.666747104,0.415018514,-0.971223563,-1
558,MODEL1,PARMS,RMB,1.621491028,10.09771497,0.441479194,2.278741101,-4.533980556,-1
559,MODEL1,PARMS,RMB,1.629985437,7.094235333,1.258077887,-1.744827768,2.727156509,-1
