SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,BronInt
638,MODEL1,PARMS,BronInt,1.297977292,6.598576331,0.468096622,0.45570298,-1.101011418,-1
639,MODEL1,PARMS,BronInt,1.301553119,7.75264306,0.099025076,2.792618955,-5.335279853,-1
640,MODEL1,PARMS,BronInt,1.356144651,6.556575364,0.439816327,0.467302514,-1.158953391,-1
641,MODEL1,PARMS,BronInt,1.303633616,5.436611048,0.771872988,-0.519013455,0.632317393,-1
642,MODEL1,PARMS,BronInt,1.326230113,6.395214125,0.520399014,0.419053299,-1.026058,-1
643,MODEL1,PARMS,BronInt,1.269011651,3.706726137,1.247146348,-2.527715105,3.944349622,-1
644,MODEL1,PARMS,BronInt,1.342124179,5.56968417,0.769106356,-1.345568057,2.254540282,-1
645,MODEL1,PARMS,BronInt,1.275698557,5.813232122,0.65622449,-0.286019422,0.221937852,-1
646,MODEL1,PARMS,BronInt,1.287635704,7.789950575,0.171275941,1.002937552,-1.827800825,-1
647,MODEL1,PARMS,BronInt,1.311363563,5.905043957,0.639724571,0.015738857,-0.413829663,-1
648,MODEL1,PARMS,BronInt,1.286115957,4.655268741,0.974238078,-1.024476737,1.269498049,-1
649,MODEL1,PARMS,BronInt,1.257688028,5.691456024,0.663603797,0.356142338,-1.202901663,-1
650,MODEL1,PARMS,BronInt,1.319592516,6.302177973,0.551928023,0.24894265,-0.78051816,-1
651,MODEL1,PARMS,BronInt,1.280866293,6.316361159,0.561560442,-0.200953972,0.090378294,-1
652,MODEL1,PARMS,BronInt,1.293812006,7.708500602,0.159104934,2.190676301,-4.297882722,-1
653,MODEL1,PARMS,BronInt,1.313242227,6.051820547,0.595398887,-0.375368415,0.668015035,-1
654,MODEL1,PARMS,BronInt,1.313349827,6.694345239,0.424923299,0.383249478,-0.742793603,-1
655,MODEL1,PARMS,BronInt,1.250681414,7.239949857,0.258474069,1.431562434,-2.788539914,-1
656,MODEL1,PARMS,BronInt,1.406856972,6.041138424,0.600277664,0.740252005,-2.000628478,-1
657,MODEL1,PARMS,BronInt,1.346358534,8.591161258,-0.102256937,2.94149362,-5.494489148,-1
658,MODEL1,PARMS,BronInt,1.36090616,5.293959789,0.773022715,0.425150881,-1.577988446,-1
659,MODEL1,PARMS,BronInt,1.334771912,5.948127917,0.694643191,-0.801147722,1.029868344,-1
660,MODEL1,PARMS,BronInt,1.244850352,6.311714282,0.553253253,0.219987152,-0.675968808,-1
661,MODEL1,PARMS,BronInt,1.329272217,3.502683371,1.328854513,-2.650368624,3.949625424,-1
662,MODEL1,PARMS,BronInt,1.256095905,5.0103642,0.910028888,-1.374166592,2.106468314,-1
663,MODEL1,PARMS,BronInt,1.399346745,7.179478115,0.274150597,1.424393114,-2.693184572,-1
664,MODEL1,PARMS,BronInt,1.329211992,5.039118163,0.944838654,-2.137824904,3.719727449,-1
665,MODEL1,PARMS,BronInt,1.31776084,6.861199713,0.355908979,1.103184116,-2.096701123,-1
666,MODEL1,PARMS,BronInt,1.261584865,5.50225341,0.739021622,-0.639022305,0.914538515,-1
